,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_24,eq_complex_25,eq_complex_26,eq_complex_27,eq_complex_29,eq_complex_30,eq_complex_31,eq_complex_32,eq_complex_33,eq_complex_34,eq_complex_35,eq_complex_38,eq_complex_39,eq_complex_40,eq_complex_41,eq_complex_42,eq_complex_43,eq_complex_44,eq_complex_45,eq_complex_52,eq_complex_53
412,0.7938746843787575,0.2446453390712501,0.13291600605773146,0.6903524515334185,0.690104893416996,0.8618389989970077,0.8591111774752647,0.8668409385147045,0.8668349401525766,0.8764735301456588,0.8764672827489532,0.8167028811458041,0.8237148971730188,0.8020037818365451,0.8473137385862475,0.8449136234085783,0.8395029789460726,0.8538495705995854,0.8314044017280249,0.8424490984619024,0.8432616186655881,0.8419224649939201,0.8406211553642635,0.8393559326122735,0.8381251520580486,0.8386221017705511,0.837390999240706,0.8373880171659285,0.8373850350756913,0.8390669340333359,0.8378361534791112,0.8378358247647528,0.8377460960951775,0.8364800977015681,0.8355963912174775,0.8344299662805856,0.8332936376192954,0.8332921223391949,0.8327247325556282,0.8327225827118823,0.8316426890163546,0.8321934703961722,0.835358560617316
413,0.7956692282364729,0.2446453390712501,0.1322230731750178,0.677261094390774,0.677002377323038,0.8445442994164554,0.8416896199591781,0.8498044123005677,0.849798127806151,0.8588368093155039,0.8588302694324841,0.8004428446956722,0.8073431706731968,0.7880560506549772,0.8363433983013102,0.8317157402507533,0.8264086101475592,0.8423189693372699,0.8190870017850411,0.8329677270393667,0.8337207589616209,0.8323816052899531,0.8310802956602963,0.8298150729083065,0.8285842923540816,0.8290807365654749,0.8278496349436719,0.8278464136374761,0.8278431923168366,0.8295250340298916,0.828294253475667,0.8282939242789502,0.8279974667336063,0.8267314566012869,0.8251476364661785,0.8239812115292866,0.8228448828679966,0.8228433632720782,0.8222428842977612,0.8222405297477147,0.8211606360521868,0.8216452652377224,0.8244754583558946
414,0.7974637720941884,0.2446453390712501,0.1315301402923041,0.6636807868852072,0.663411086475526,0.8265769738166502,0.8235973048347458,0.8320891679022133,0.8320826012986788,0.8405054982047331,0.8404986700071322,0.7836325809515534,0.7903828804432529,0.7734695854011491,0.8251594434638345,0.8182565331219476,0.8129346181075487,0.8303301394240294,0.8062802084853347,0.8228719301119218,0.8235638551134576,0.8222247014417898,0.820923391812133,0.8196581690601432,0.8184273885059186,0.8189315350434136,0.8177004380498867,0.8176969667287128,0.8176934953943764,0.8193702145280288,0.8181394339738042,0.8181391079444187,0.8176266970628774,0.8163606817793012,0.8141841374815273,0.8130177125446354,0.8118813838833454,0.8118798719687146,0.8112458823466622,0.8112433088596314,0.8101634151641037,0.810575938459164,0.8130515260791777
415,0.7992583159519038,0.2446453390712501,0.1308372074095904,0.6496268777005094,0.6493463856433428,0.8079571677109416,0.8048545581314872,0.8137150738816654,0.8137082295971423,0.8214999368580269,0.8214928249339601,0.7662866590685173,0.7728504749015048,0.7582493455678656,0.8137603920819914,0.804564404873533,0.7991073700481954,0.817886730893453,0.7929939069965604,0.8121499838719914,0.8127795058892917,0.8114403522176239,0.8101390425879671,0.8088738198359771,0.8076430392817524,0.808163780321012,0.8069326919688082,0.8069289600424021,0.806925228104433,0.8085913451181117,0.807360564563887,0.8073602456597837,0.80662285310652,0.8053568398548336,0.802705809347841,0.8015393844109491,0.8004030557496591,0.8004015638525837,0.7997338082971721,0.7997310011242353,0.7986511074287077,0.7989852232368992,0.8010965758715716
416,0.8010528598096192,0.2446453390712501,0.13014427452687674,0.6351152507927686,0.6348241747789002,0.7887057581937169,0.78548243661412,0.7947027377348401,0.7946956206007489,0.8018412280743366,0.8018338374266638,0.7484198452618724,0.7547628537592561,0.7424007683192397,0.8021391212914564,0.7906637438034938,0.7849518322636015,0.8049910172680528,0.779237605853826,0.80079190079547,0.801358080868448,0.8000189271967804,0.7987176175671236,0.7974523948151335,0.7962216142609089,0.7967684142790292,0.7955373388205127,0.7955333360182473,0.79552933320639,0.7971790249874671,0.7959482444332424,0.79594793687142,0.7949768434086284,0.793710839874848,0.7907119593594347,0.7895455344225428,0.7884092057612528,0.7884077463818735,0.7877061389995037,0.7877030829655796,0.7866231892700519,0.7868722945676192,0.7886254398376256
417,0.8028474036673346,0.2446453390712501,0.12945134164416303,0.6201623074380652,0.6198608710434568,0.7688443305323656,0.7655027041260802,0.7750734827791799,0.7750660980280015,0.7815512139820489,0.7815435500261596,0.730047080403162,0.7361373423588298,0.7259298067027451,0.7902827096867844,0.7765742380382745,0.7704910589914962,0.7916438197983269,0.7650203291012707,0.7887896060368234,0.7892918948596528,0.7879527411879848,0.786651431558328,0.7853862088063381,0.7841554282521135,0.7847381741227617,0.7835071159793399,0.7835028324843976,0.7834985489822617,0.7851257426896301,0.7838949621354054,0.7838946703257748,0.7826815856063749,0.7814155998538042,0.7782010845180352,0.7770346595811433,0.7758983309198533,0.7758969165275378,0.775161543034395,0.7751582226572518,0.7740783289617241,0.7742355792994404,0.7756593132296066
418,0.80464194752505,0.2446453390712501,0.12875840876144934,0.6047849476954885,0.6044733902477485,0.7483951539652267,0.7449378071386779,0.7548493242384535,0.7548416775009437,0.7606524517774902,0.7606445203385166,0.7111834552334185,0.7169916636396483,0.7088429697466885,0.7781723282325868,0.7623102339536276,0.7557456643737146,0.7778444509229234,0.7503505084257689,0.7761370825322345,0.7765753502957287,0.7752361966240611,0.7739348869944043,0.7726696642424142,0.7714388836881896,0.7720676959710986,0.770836659645934,0.7708320862357969,0.7708275128213535,0.7724260034231969,0.7711952228689722,0.7711949513308305,0.7697321390405352,0.7684661793505208,0.765170703790699,0.7640042788538071,0.7628679501925171,0.7628665930144265,0.76209771210734,0.7620941117471678,0.7610142180516402,0.7610726024179517,0.7622268161784256
419,0.8064364913827655,0.2446453390712501,0.12806547587873562,0.5890005513064087,0.5886791277288868,0.7273811567326294,0.7238108495333275,0.7340529445515367,0.7340450418533865,0.7391681886537033,0.7391599959631623,0.691844183251157,0.6973439077081469,0.6911473642242861,0.765783183790061,0.7478801562455781,0.7407332877753028,0.76359067861221,0.7352358770456222,0.7628304799877546,0.7632050429333925,0.7618658892617247,0.7605645796320679,0.7592993568800779,0.7580685763258532,0.7587535822079212,0.7575225721820205,0.75751770037335,0.7575128285638091,0.7590764196880633,0.7578456391338386,0.7578453923951183,0.7561257989385228,0.7548598736178711,0.7516172405846098,0.7504508156477179,0.7493144869864279,0.7493131987822086,0.7485112428533298,0.7485073468961807,0.7474274532006531,0.7473798848253672,0.748364063474326
420,0.8082310352404809,0.2446453390712501,0.12737254299602196,0.5728269580516201,0.5724959386851762,0.705825900369063,0.7021455666452288,0.7127076679328961,0.7126995156908346,0.717122335947384,0.7171138886392456,0.6720445713969769,0.6772124990045931,0.6728507378291277,0.7530845208426644,0.7332860069288446,0.7254680639649524,0.7488787131974606,0.7196833673444796,0.7488681837573128,0.7491798270910048,0.747840673419337,0.7465393637896802,0.7452741410376902,0.7440433604834655,0.7447944303151726,0.7435634509278946,0.7435582731235264,0.7435530953223324,0.7450757621323705,0.7438449815781457,0.7438447640582655,0.7418621486690158,0.7405962658256868,0.7375359698130837,0.7363695448761919,0.7352332162149018,0.7352320080407021,0.7343975834479828,0.7343933765257322,0.7333134828302045,0.7331529066261331,0.734112697651186
421,0.8100255790981964,0.2446453390712501,0.12667961011330825,0.5562824475885217,0.5559421179910471,0.6837535532852519,0.6799662985976005,0.690837434213265,0.6908290392306049,0.6945394425326803,0.6945307476388618,0.6517999887278711,0.656616161079737,0.6539615234717576,0.7400396888239142,0.7185229600070467,0.709960110698047,0.7337032182258161,0.703699014450104,0.73425084055511,0.734500837672259,0.7331616840005912,0.7318603743709345,0.7305951516189445,0.7293643710647197,0.7301908218809885,0.7289598771966151,0.7289543868320876,0.7289488964754487,0.7304249684138586,0.729194187859634,0.7291940037374351,0.7269430676108267,0.7256772349007983,0.7229210418908724,0.7217546169539806,0.7206182882926905,0.7206171702579431,0.7197510573696776,0.7197465246181769,0.7186666309226492,0.718386147731474,0.7195147588571569
