,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_24,eq_complex_25,eq_complex_26,eq_complex_27,eq_complex_28,eq_complex_30,eq_complex_31,eq_complex_34,eq_complex_35
303,0.5982694038877755,0.24464534871060592,0.2084457434926681,-0.33225285300782653,-0.5419731442181623,-0.5413270314815284,-0.5412431039019767,-0.5516853766795751,-0.5516848410805464,-0.544084039885695,-0.6340782056019139,-0.7186817328740724,-0.6157959819773231,-0.636924444673002,-0.633688761817655,-0.7108138127610204,-0.6541669983505702,-0.7109053799137537,-0.6190042146906363,-0.6190035188702194,-0.6517989920429166,-0.6515452366155705,-0.6421242553900921,-0.6421235197346997,-0.6628767295340094,-0.654828968990335,-0.6561258941277146,-0.6619902227666641,-0.6781758853518312,-0.6772336898994835,-0.6659078395543216
304,0.600063947745491,0.24464534871060592,0.20775281162869946,-0.32828345299658795,-0.5367315649992042,-0.536089757596161,-0.5360054378577657,-0.5466161008376866,-0.5466154497531304,-0.5390631526289578,-0.6287771589294586,-0.7076300117828642,-0.6077487744580619,-0.6305312341112352,-0.6267290482440553,-0.7012453977845201,-0.6455954819090424,-0.6977926338268723,-0.6115314383855699,-0.6115305996932587,-0.644139450458189,-0.6438333793067152,-0.6344052439251222,-0.634404357063693,-0.6544688616861329,-0.6464309846001106,-0.6477336840117396,-0.6524888948877379,-0.6685761923573659,-0.6675844907944644,-0.6567587894152558
305,0.6018584916032064,0.24464534871060592,0.20705987976473086,-0.3236663926397391,-0.5306122935540984,-0.5299755124043659,-0.5298908639287485,-0.5406585457621451,-0.5406577759835502,-0.5331624651751552,-0.6224490256812558,-0.6948224667291796,-0.598375848449149,-0.6230552006327315,-0.6186839438322489,-0.6901357521719336,-0.6356085683739765,-0.682545946772763,-0.6028152643813791,-0.6028142793764824,-0.635195417995164,-0.6348357444627186,-0.6253999522671538,-0.625398910476145,-0.6446665216901233,-0.6366402501215747,-0.6379493663792362,-0.6414415973132033,-0.6574020023090452,-0.6563478723642235,-0.6460945014961481
306,0.6036530354609219,0.24464534871060592,0.2063669479007622,-0.31840689124491156,-0.5236222034455933,-0.5229911638230778,-0.5229062506462168,-0.5338193994807321,-0.5338185079624966,-0.5263886017117465,-0.6150994557868057,-0.6803184396338271,-0.5876991378242433,-0.6145107641685046,-0.6095711340450971,-0.6775283217957275,-0.6242292167076109,-0.6652274926561867,-0.5928711774857884,-0.5928700430304903,-0.6249814903323292,-0.6245670337407372,-0.6151230154642444,-0.6151218153243014,-0.6334890370273092,-0.6254761003243114,-0.6267921235770277,-0.6288852694576517,-0.6446864878979659,-0.6435588192986335,-0.6339385382229046
307,0.6054475793186372,0.24464534871060592,0.20567401603679364,-0.3125108943604957,-0.515769146396466,-0.5151445571258177,-0.5150594438609946,-0.5261063397068317,-0.5261053235740709,-0.518749166664787,-0.606735518747904,-0.6641858422653348,-0.5757445014208034,-0.6049143064405449,-0.5994103455754738,-0.6634729392963947,-0.6114842130192268,-0.6459150257027251,-0.581716940008731,-0.5817156532821788,-0.6135144430255959,-0.6130441338109227,-0.6035912423130154,-0.6035898807237063,-0.6209587772102387,-0.6129609135753795,-0.614284158901593,-0.6148629420489211,-0.6304690777161679,-0.6292589874647039,-0.6203191337528215
308,0.6072421231763527,0.24464534871060592,0.20498108417282498,-0.30598506705455536,-0.5070619434699553,-0.5064445061303713,-0.5063592579301524,-0.5175280252203287,-0.5175268817764527,-0.5102527361620979,-0.5973657077445937,-0.6465009612858761,-0.5625419668370866,-0.594284130126683,-0.5882232626107393,-0.648025721917161,-0.5974043600694752,-0.6247037992915649,-0.5693725974231694,-0.5693711559350294,-0.600813246815513,-0.6002861315205432,-0.5908236303113514,-0.5908221045054942,-0.6071012258399915,-0.5991201840582703,-0.6004507689010683,-0.5994237645362261,-0.6147956959687755,-0.6134969443959477,-0.6052695725131774
309,0.6090366670340681,0.24464534871060592,0.20428815230885639,-0.29883678638037464,-0.4975103751613747,-0.4969007832985383,-0.4968154658157991,-0.5080940861471535,-0.508092812881203,-0.5009088484055984,-0.5869999413906464,-0.6273481492800854,-0.548125970165926,-0.5826404124707167,-0.5760334349345428,-0.6312488891957779,-0.5820246854927669,-0.6017082755912035,-0.5558604835012761,-0.5558588851046977,-0.5868990838666361,-0.5863143299733431,-0.5768413814816642,-0.5768396890391996,-0.5919450499192378,-0.5839825912324321,-0.585320413090791,-0.5826229072318296,-0.597718860066113,-0.5963282425341989,-0.5888285367215511
310,0.6108312108917835,0.24464534871060592,0.20359522044488781,-0.2910741330371411,-0.48712517041202136,-0.48652410875906754,-0.48643878810706215,-0.49781511314837695,-0.4978137077421018,-0.49072799296359576,-0.5756495630655682,-0.6068193839309832,-0.5325355791661543,-0.570005153253224,-0.5628661783196198,-0.6132104857684335,-0.5653846656298744,-0.5770634776165005,-0.5412052244332799,-0.5412034673372108,-0.5717953645189711,-0.5711522651022671,-0.5616679186450937,-0.5616660575064472,-0.5755221625834763,-0.5675800626840013,-0.5689247772821668,-0.5645213187741114,-0.5792976064545932,-0.5778152931279923,-0.5710403964222863
311,0.612625754749499,0.24464534871060592,0.2029022885809192,-0.2827058822352065,-0.47591799455773504,-0.4753261382661133,-0.47524088097759715,-0.486702645530999,-0.48670110586566767,-0.47972159899506156,-0.5633273377531125,-0.5850136822965024,-0.5158146862137931,-0.5564021170601685,-0.548748467758218,-0.5939839975626344,-0.5475284608215718,-0.5509258325342732,-0.5254337413598495,-0.5254318241406362,-0.5555277440562467,-0.5548257222383912,-0.5453289016531515,-0.5453268701320286,-0.5578677752314278,-0.5499478263362958,-0.5512988265429182,-0.5451853284604289,-0.5595972256876465,-0.558027021698293,-0.5519554148159946
312,0.6144202986072144,0.24464534871060592,0.20220935671695056,-0.2737414937762424,-0.46390143622563756,-0.46331945010673875,-0.46323432309215323,-0.47476915829377625,-0.47476748245670436,-0.4679020224191129,-0.5500474463194667,-0.5620363631985104,-0.498012156460983,-0.5418567698146237,-0.5337088241715457,-0.5736478536848728,-0.5285051567363677,-0.5234733598797534,-0.5085752506671228,-0.508573172279325,-0.538124138912802,-0.5373627520957858,-0.5278522430020196,-0.5278500397975703,-0.539020434936704,-0.531124447889399,-0.5324808437062694,-0.5246860929829533,-0.5386887999512229,-0.5370383006782153,-0.5316298422445667
