,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_8,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_23,eq_complex_24,eq_complex_25,eq_complex_26,eq_complex_27,eq_complex_29,eq_complex_30,eq_complex_31,eq_complex_32,eq_complex_33,eq_complex_34,eq_complex_35,eq_complex_36,eq_complex_37,eq_complex_38,eq_complex_39,eq_complex_40,eq_complex_41,eq_complex_42,eq_complex_43,eq_complex_44,eq_complex_45,eq_complex_46,eq_complex_47,eq_complex_48,eq_complex_49,eq_complex_50,eq_complex_53,eq_complex_54,eq_complex_55,eq_complex_61,eq_complex_62,eq_complex_64,eq_complex_65
451,0.8638618948296592,-0.155339804018437,-0.15539051247507915,-0.15535411542871638,-0.15534955463946057,-0.15537583266840294,-0.15538083792688656,-0.15535761782117427,-0.15535848488812634,-0.15537628102658746,-0.15537573229330007,-0.15537847972020027,-0.1553723703351668,-0.1553720753997588,-0.15537376089635319,-0.15537310881441402,-0.15537267253210282,-0.15537307297122285,-0.1553739167810081,-0.1553738106051389,-0.15537347370065316,-0.15537336890388745,-0.15536997156305477,-0.15536545746336178,-0.15536510768620526,-0.15536465539328997,-0.15536593085738556,-0.15535890819125225,-0.15536385503183348,-0.15536827021608263,-0.15536544080451506,-0.15536344395655763,-0.15536575237809705,-0.15536572044405542,-0.1553645857760287,-0.15537090855414676,-0.1553710498396243,-0.15537037561552058,-0.1553658454568919,-0.15536528131776967,-0.15536822062130567,-0.1553698556349071,-0.1553678652189639,-0.15536725313928,-0.15537181662238325,-0.15537029669388064,-0.15537040041557101,-0.155370417446996,-0.1553713600671576,-0.1553727839208621,-0.15537254793904254,-0.15537254793711877
452,0.8656564386873747,-0.155339804018437,-0.15539168024211808,-0.15535519678325485,-0.1553506279444118,-0.1553771064576182,-0.15538220709557463,-0.1553591423191768,-0.15536005766100994,-0.15537792847328824,-0.15537733526099126,-0.15538008353224841,-0.15537351488865106,-0.155373188505659,-0.15537507852883692,-0.15537435200948752,-0.15537386697117497,-0.15537401701022752,-0.15537499408702873,-0.15537488632372132,-0.15537456418514142,-0.1553744577383478,-0.15537106373929888,-0.15536655350848852,-0.15536614047568564,-0.15536569189656968,-0.15536703479798528,-0.15535996180824732,-0.1553648002555573,-0.155369367909541,-0.15536659866152783,-0.15536441197770642,-0.15536685007388387,-0.15536681128141566,-0.15536547434586542,-0.15537207935139338,-0.15537223525105703,-0.15537157284225803,-0.15536694991625402,-0.15536639102489505,-0.1553693424139277,-0.15537107879829876,-0.1553689898183879,-0.15536838787715296,-0.15537306514659657,-0.1553716256103998,-0.15537170320290228,-0.15537172128648682,-0.15537263206213361,-0.15537409272899666,-0.15537386272288853,-0.15537386272086193
453,0.8674509825450901,-0.155339804018437,-0.15539281513157538,-0.15535627380475422,-0.155351698328374,-0.15537835341602577,-0.15538355036372764,-0.1553606564551622,-0.1553616137155198,-0.15537956364308328,-0.15537892664234793,-0.15538167664936395,-0.15537464697885828,-0.1553742897444243,-0.15537638588239214,-0.15537558532800444,-0.15537505196801513,-0.15537494784132933,-0.1553760567330909,-0.15537594752353256,-0.15537564012170518,-0.15537553216718333,-0.1553721553842428,-0.15536764786180243,-0.1553671693940162,-0.15536672456149353,-0.1553681385485386,-0.15536101070396097,-0.15536574227672934,-0.15537045903332758,-0.1553677422277147,-0.1553653785778637,-0.1553679429143827,-0.15536789638285275,-0.15536634999486582,-0.15537323803250594,-0.1553734092179067,-0.15537275900807518,-0.1553680449943496,-0.15536749129328573,-0.1553704548233073,-0.155372292319561,-0.15537010228295975,-0.15536951059274998,-0.15537430277479314,-0.1553729376828247,-0.15537299794017972,-0.15537301708513088,-0.15537388656240977,-0.15537538451118696,-0.15537516028114612,-0.15537516027901624
454,0.8692455264028056,-0.155339804018437,-0.1553939154313782,-0.1553573461900263,-0.15535276550247767,-0.1553795730370109,-0.15538486701923052,-0.15536215991127095,-0.1553631524083881,-0.15538118621326621,-0.1553805061166513,-0.15538325875578335,-0.1553757665980771,-0.15537537910235227,-0.15537768292459483,-0.15537680875460516,-0.15537622750395455,-0.15537586552614766,-0.1553771046742655,-0.1553769941567923,-0.15537670146367719,-0.15537659214088337,-0.15537324641755415,-0.15536874009390245,-0.15536819418939982,-0.15536775314051465,-0.15536924180148198,-0.15536205375465098,-0.15536668151058078,-0.15537154408471274,-0.15536887117407563,-0.1553663439721911,-0.15536903066494553,-0.1553689754792451,-0.15536721326143346,-0.15537438524350763,-0.1553745723925498,-0.15537393469307656,-0.15536913053601228,-0.15536858196914363,-0.15537155771175074,-0.15537349659323896,-0.15537120295422233,-0.15537062160352325,-0.15537552948381134,-0.15537423285245278,-0.15537428439374362,-0.15537430460695664,-0.1553751232586581,-0.155376658902999,-0.15537644025741087,-0.15537644025517738
455,0.871040070260521,-0.155339804018437,-0.1553949794121949,-0.15535841363718794,-0.15535382917871943,-0.15538076485776128,-0.1553861563420957,-0.15536365237182284,-0.15536467311769533,-0.15538279586369497,-0.155382073365595,-0.15538482953789878,-0.1553768737423294,-0.15537645656941976,-0.15537896962721912,-0.1553780222776878,-0.15537739356396826,-0.15537677012913848,-0.15537813786839885,-0.15537802617852353,-0.15537774816702224,-0.15537763761259724,-0.15537433671888062,-0.1553698297483944,-0.15536921457300157,-0.15536877734903803,-0.1553703442015479,-0.15536308979333294,-0.1553676183975607,-0.15537262360394294,-0.1553699850264889,-0.15536730835649476,-0.15537011308649928,-0.15537004830590134,-0.15536806473224157,-0.15537552169877766,-0.1553757254977467,-0.15537510054678638,-0.155370206386302,-0.15536966289907383,-0.15537265094065603,-0.15537469205891616,-0.15537229225461963,-0.1553717213046236,-0.15537674529600098,-0.15537551120201953,-0.15537556232877756,-0.15537558361480075,-0.15537634189510224,-0.1553779155934433,-0.15537770234966086,-0.15537770234732354
456,0.8728346141182365,-0.155339804018437,-0.15539600532927392,-0.15535947584574614,-0.15535488907003997,-0.15538192845941382,-0.1553874176040268,-0.1553651335234018,-0.15536617524373536,-0.15538439227687184,-0.1553836280733673,-0.15538638868433752,-0.1553779684112985,-0.1553775221392158,-0.15538024596618022,-0.15537922588935285,-0.1553785501366239,-0.15537766171748651,-0.15537915627611873,-0.15537904354655815,-0.15537878019031465,-0.1553786685381115,-0.1553754261261598,-0.15537091634441969,-0.1553702302180679,-0.1553697968645171,-0.15537144534439565,-0.15536411761592378,-0.1553685533981953,-0.15537369816660732,-0.155371083148194,-0.15536827189996136,-0.15537118992945173,-0.15537111459783517,-0.15536890503448353,-0.15537664817194025,-0.15537686931758204,-0.15537625728011828,-0.1553712723905742,-0.15537073393014444,-0.15537373437047,-0.15537587919511067,-0.15537337068824283,-0.15537281016985155,-0.1553779502821877,-0.15537677295315466,-0.1553768315093695,-0.15537685387037464,-0.15537754227446615,-0.15537915433032576,-0.15537894631532737,-0.15537894631288615
457,0.8746291579759519,-0.155339804018437,-0.1553969914244097,-0.15536053251668255,-0.15535594489040144,-0.15538306346710462,-0.15538865006798158,-0.15536660305494013,-0.1553676582098205,-0.15538597513802366,-0.15538516992673326,-0.15538793588604113,-0.1553790506082571,-0.15537857580887404,-0.15538151192147742,-0.15538041958534735,-0.15537969721403028,-0.1553785403609989,-0.1553801598608448,-0.15538004622154733,-0.15537979749472014,-0.1553796848758317,-0.15537651443402212,-0.1553719993791964,-0.1553712407591788,-0.15537081132568337,-0.15537254477539367,-0.1553651359874929,-0.15536948698680964,-0.15537476837475137,-0.15537216473116475,-0.15536923473743544,-0.1553722609268508,-0.1553721740842627,-0.15536973482720093,-0.15537776548549861,-0.1553780046871313,-0.15537740565603103,-0.1553723283945549,-0.1553717949099533,-0.1553748078606515,-0.15537705851241224,-0.15537443883990218,-0.15537388875102023,-0.15537914456374838,-0.15537801846063665,-0.1553780916985769,-0.15537811513433497,-0.15537872426272686,-0.1553803749254461,-0.15538017197616563,-0.15538017197362058
458,0.8764237018336674,-0.155339804018437,-0.1553979359280388,-0.15536158335253777,-0.1553569963548646,-0.155384169549924,-0.15538985298773525,-0.15536806065780195,-0.15536912146302476,-0.15538754413518122,-0.15538669861511603,-0.15538947083634433,-0.15538012033999485,-0.1553796175790049,-0.15538276747713586,-0.155381603365009,-0.15538083479178538,-0.15537940613200016,-0.1553811485888037,-0.15538103416697618,-0.15538080004398236,-0.1553806865867687,-0.15537760139230983,-0.15537307833051486,-0.15537224579164882,-0.15537182033192393,-0.15537364198857417,-0.15536614364854345,-0.15537041964413598,-0.15537583484680653,-0.155373228796716,-0.15537019696132223,-0.1553733257869174,-0.15537322648241492,-0.15537055479179362,-0.15537887449933113,-0.15537913248096968,-0.15537854647896757,-0.1553733742444229,-0.1553728456867008,-0.1553758712696399,-0.1553782305459372,-0.1553754973722705,-0.15537495767547654,-0.1553803283135275,-0.15537924820342006,-0.1553793426584951,-0.15537936716635792,-0.15537988779339182,-0.15538157725934945,-0.1553813792226383,-0.1553813792199896
459,0.8782182456913827,-0.155339804018437,-0.15539883706146992,-0.15536262805749498,-0.15535804317966578,-0.15538524642077778,-0.1553910256074443,-0.15536950602586644,-0.15537056447486414,-0.15538909895925848,-0.15538821383067813,-0.15539099323105315,-0.1553811776167461,-0.1553806474536274,-0.15538401262114845,-0.15538277723121008,-0.15538196286892453,-0.1553802591052285,-0.1553821224290488,-0.15538200734918337,-0.15538178780441428,-0.15538167363452973,-0.1553786867047363,-0.15537415265912857,-0.15537324487109397,-0.15537282344282463,-0.15537473642578267,-0.15536713932124913,-0.15537135184886045,-0.15537689820643044,-0.15537427420583752,-0.15537115861321535,-0.1553743841850979,-0.1553742714907833,-0.1553713656218394,-0.15537997609819826,-0.15538025360067031,-0.1553796805832063,-0.15537440978689818,-0.15537388610926975,-0.15537692445483034,-0.1553793958471965,-0.15537654702087245,-0.15537601764155026,-0.1553815017553207,-0.15538046277250128,-0.15538058415033051,-0.15538060972521747,-0.15538103287094446,-0.1553827612852526,-0.15538256801744563,-0.15538256801469355
460,0.8800127895490981,-0.155339804018437,-0.15539969303925077,-0.15536366633746324,-0.15535908508229343,-0.1553862938361568,-0.15539216716121168,-0.15537093885561037,-0.1553719867419119,-0.15539063930413122,-0.15538971526840178,-0.15539250276852307,-0.15538222245211739,-0.15538166544010085,-0.15538524734541703,-0.15538394119030116,-0.15538308144786767,-0.15538109935773375,-0.15538308135348428,-0.15538296573738486,-0.1553827607448937,-0.15538264598531373,-0.1553797700277125,-0.15537522181098076,-0.1553742375131815,-0.155373820177896,-0.15537582747604642,-0.15536812171558081,-0.1553722840681851,-0.15537795907038118,-0.15537529967993674,-0.15537211967536702,-0.15537543575581267,-0.15537530878194236,-0.15537216801237289,-0.1553810711784381,-0.15538136896146798,-0.15538080882028904,-0.1553754348693373,-0.15537491602731188,-0.1553779672725551,-0.1553805549754895,-0.15537758858673487,-0.15537706941173932,-0.15538266516166432,-0.15538166285578117,-0.1553818159344772,-0.15538184256886808,-0.1553821595730269,-0.1553839270316821,-0.15538373839775854,-0.1553837383949035
