,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_6,eq_complex_9,eq_complex_10,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_24,eq_complex_25,eq_complex_26,eq_complex_28,eq_complex_34
295,0.5839130530260521,0.16664867020081062,0.13232850701323579,-0.48538313024498025,-0.7205956577730713,-0.7180523353024479,-0.722579683251244,-0.8185874103968453,-0.7989113881935497,-0.8927081704806445,-0.8436881800903953,-0.8526091210945805,-0.8599798954493767,-0.8600027499713914,-0.8600265384816441,-0.8600502919218802,-0.8600598229910295,-0.8665357502476589,-0.8666342228151427,-0.8674665000845081,-0.8481537626203135,-0.8719291753664253
296,0.5857075968837675,0.16664867020081062,0.13155301916064066,-0.48684426622969035,-0.722707856955003,-0.7204564859917169,-0.7247469846158701,-0.8218990675202212,-0.802264162692646,-0.8964826232344951,-0.8466660261610335,-0.8562408334023492,-0.8636112523064243,-0.8636344622791601,-0.863658250789413,-0.8636820042296489,-0.8636915352987984,-0.869930686334401,-0.8700290992074959,-0.8708644945554589,-0.8512715638883084,-0.8758283663819229
297,0.587502140741483,0.16664867020081062,0.1307775313080455,-0.4875666708628851,-0.723820468716268,-0.7218635797124509,-0.7259191849298993,-0.8240722160146927,-0.8044989141544239,-0.8984415257334011,-0.8482409491177259,-0.8581555071266895,-0.8655255507627919,-0.8655491360035004,-0.8655729245137533,-0.8655966779539892,-0.8656062090231387,-0.8717184626775922,-0.8718168432348807,-0.8726538814464773,-0.8529120548300468,-0.8778831513736141
298,0.5892966845991984,0.16664867020081062,0.1300020434554504,-0.48754952749719604,-0.7239322425251467,-0.7222720349468269,-0.7260952623481914,-0.8251009216650909,-0.8056087382174941,-0.8985807824917396,-0.8484128409296758,-0.8583478856886946,-0.8657175360228428,-0.8657415145655054,-0.8657653030757582,-0.865789056515994,-0.8657985875851437,-0.8718975581470108,-0.8719959354335101,-0.8728331382570054,-0.8530763443888827,-0.8780890509964334
299,0.5910912284569138,0.16664867020081062,0.1292265556028553,-0.4867928555124611,-0.7230430527522876,-0.7216813926072776,-0.7252753069948663,-0.8249807095632861,-0.8055881619455916,-0.8969001576514679,-0.8471817267514588,-0.8568174410441007,-0.864186681996105,-0.8642110699209116,-0.8642348584311645,-0.8642586118714002,-0.8642681429405497,-0.8704678212490615,-0.8705662244767418,-0.8714021133569729,-0.85176454471389,-0.876445617238172
300,0.5928857723146292,0.16664867020081062,0.12845106775026013,-0.4852975102938153,-0.7211538988119115,-0.720092316552488,-0.7234605201164581,-0.8237085864241289,-0.8044331764327227,-0.8934032749123002,-0.8445477598596351,-0.8535683745695006,-0.8609371921798814,-0.8609620034463112,-0.8609857919565642,-0.8610095453968001,-0.8610190764659496,-0.8674304658895629,-0.8675289229376606,-0.8683620217457657,-0.8489757658735471,-0.8729564302739754
301,0.5946803161723446,0.16664867020081062,0.12767557989766504,-0.48306518226471573,-0.7182669040385083,-0.7175065928412446,-0.7206532119961132,-0.8212830610236259,-0.8021412678552277,-0.8880976207396207,-0.8405112499221346,-0.8486096099374583,-0.8559779925301543,-0.8560032388142691,-0.8560270273245221,-0.8560507807647579,-0.8560603118339074,-0.8627881051609474,-0.8628866410779199,-0.8637154788698633,-0.8447081581645439,-0.8676291234933404
302,0.5964748600300601,0.16664867020081062,0.12690009204506988,-0.4800983949759895,-0.7143853133002923,-0.7139271277249749,-0.7168567986324617,-0.8177041626619742,-0.798711446776634,-0.8809945505838399,-0.8350727244963017,-0.8419547774262619,-0.8493227157661245,-0.8493484063030725,-0.8493721948133257,-0.8493959482535614,-0.8494054793227108,-0.8565448228231467,-0.8566434583323688,-0.8574665721681203,-0.8389590028096623,-0.8604754360289506
303,0.5982694038877755,0.16664867020081062,0.1261246041924748,-0.4764005022530693,-0.7095134893521002,-0.7093579443812373,-0.7120757971881735,-0.8129734575549918,-0.7941442755046243,-0.8721092975705258,-0.8282330235202175,-0.8336221885064976,-0.8409896759501405,-0.8410158173833084,-0.8410396058935614,-0.8410633593337971,-0.8410728904029467,-0.8487062817651208,-0.8488050317769966,-0.8496209696310035,-0.8317248527248157,-0.8515112913498588
304,0.600063947745491,0.16664867020081062,0.1253491163398796,-0.47197568440463644,-0.7036569079318243,-0.7038041783918262,-0.7063158202145694,-0.8070940630587199,-0.7884418932939035,-0.8614609828544066,-0.8199934264115227,-0.8236347989870028,-0.831001831625128,-0.8310284278638136,-0.8310522163740665,-0.8310759698143023,-0.8310855008834519,-0.839279868330076,-0.8393787404640929,-0.8401860642558283,-0.8230017259032855,-0.8407568996893946
305,0.6018584916032064,0.16664867020081062,0.12457362848728451,-0.4668289434969636,-0.6968221516059022,-0.6972720719705822,-0.6995835686600225,-0.8000706596335421,-0.7816080391843583,-0.8490726265765169,-0.8103558112084503,-0.8120201585100053,-0.8193867352988776,-0.819413787386816,-0.8194375758970689,-0.8194613293373049,-0.8194708604064543,-0.8282748709513674,-0.828373864072772,-0.8291711528435883,-0.8127853547991025,-0.8282368812503993
306,0.6036530354609219,0.16664867020081062,0.12379814063468936,-0.46096609769929164,-0.6890169023707681,-0.6897689669473888,-0.6918868236712197,-0.7919095004560317,-0.7736480722607215,-0.8349711581263615,-0.7993228449695712,-0.7988103437817891,-0.8061764666611027,-0.8062039726585999,-0.8062277611688528,-0.8062515146090886,-0.8062610456782382,-0.8157026910683649,-0.815801793845564,-0.8165876471048283,-0.8010714958667524,-0.8139804062602113
307,0.6054475793186372,0.16664867020081062,0.12302265278209425,-0.45439377470664233,-0.680249933018596,-0.6813032965162471,-0.6832344371977084,-0.7826184185889327,-0.7645689891181341,-0.8191874241942249,-0.7868982043830627,-0.7840418726326226,-0.7914075466266256,-0.7914355015094334,-0.7914592900196863,-0.7914830434599223,-0.7914925745290716,-0.8015770837644437,-0.8016762732549325,-0.8024493145144175,-0.7878563040942412,-0.7980213470336531
