,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_17,eq_complex_18,eq_complex_19
0,0.054522615,-0.9534435095327148,-0.9526048587900011,-0.9534173764907097,-0.9368834487468136,-0.9559299553190654,-0.9372619544379162,-0.9489034570646423,-0.9433387222655358,-0.9520725731214836,-0.9520735782186776,-0.9495772937172337,-0.9495776029043299,-0.9494411703664581,-0.9488925651420232,-0.9471747485794293,-0.94733446484351
1,0.059045225,-0.9503555734316038,-0.9495253513339955,-0.9503291750797047,-0.934122227816793,-0.9528854412148844,-0.9342498335880913,-0.9458582380779922,-0.9398921174500529,-0.9489967948297051,-0.948997791013444,-0.9462315048690593,-0.9462318801351091,-0.9460858463324637,-0.945498812339364,-0.9438858849744891,-0.944042525413872
2,0.06356784,-0.9472676339166055,-0.9464458404734211,-0.9472409648122596,-0.9313578377323639,-0.9498416652410353,-0.9312523718555895,-0.9428138139009965,-0.9364583189358642,-0.94592260941662,-0.9459235955165877,-0.9428953439331031,-0.9428957911179194,-0.9427404157185064,-0.9421160230081012,-0.9406066045532044,-0.9407601465564158
3,0.068090454,-0.9441796950843846,-0.9433663302937603,-0.9441527496162015,-0.9285902794864263,-0.9467986431875615,-0.9282694908667615,-0.9397702037930677,-0.9330377547207069,-0.9428500660318229,-0.9428510408446726,-0.9395688918992644,-0.9395694163303605,-0.9394049614254832,-0.9387442877508484,-0.9373369491198289,-0.9374873721493037
4,0.07261306,-0.9410917617143835,-0.9402868255614097,-0.9410645340951418,-0.9258195546996967,-0.9437563916489347,-0.9253010995519829,-0.9367274279665375,-0.9296308372819095,-0.9397792146946383,-0.9397801769838559,-0.936252225530643,-0.9362528319434975,-0.9360795619787798,-0.9353836921953667,-0.9340769567806557,-0.9342242423763112
5,0.07713568,-0.9380038187854979,-0.9372073112962664,-0.9379763030428547,-0.9230456472134949,-0.9407149078490729,-0.9223470746706997,-0.9336854874144143,-0.9262379405980556,-0.936710085907255,-0.936711034402951,-0.932945395424883,-0.9329460878952416,-0.9327642695338321,-0.9320342947753144,-0.9308266404049139,-0.9309707721661316
6,0.08165829,-0.9349158826843869,-0.9341278038402607,-0.9348880726559228,-0.9202685690674887,-0.9376742200831706,-0.9194073100010878,-0.9306444143661456,-0.9228594560380423,-0.9336427415306643,-0.9336436749296102,-0.9296484809005265,-0.9296492627866397,-0.9294591649046018,-0.9286961823315036,-0.9275860415965111,-0.927727005215714
7,0.0861809,-0.9318279465832757,-0.9310482963842551,-0.9317998359060585,-0.9174883114534864,-0.9346343339102502,-0.9164816641025889,-0.9276042184777051,-0.9194957317937809,-0.9305772204494868,-0.9305781374149398,-0.9263615314163949,-0.9263624053139201,-0.9261642988313754,-0.9253694107687906,-0.9243551731372093,-0.9244929563771807
8,0.09070352,-0.9287400036543902,-0.9279687821191117,-0.9287115857561801,-0.9147048655331781,-0.931595255025188,-0.9135699828059345,-0.9245649097141764,-0.9161470981170314,-0.9275135616298821,-0.9275144607915261,-0.9230845915242107,-0.9230855592314348,-0.9228797170000549,-0.9220540303440543,-0.9211340435339965,-0.9212686362282063
9,0.09522613,-0.9256520675532792,-0.9248892746631061,-0.9256233356453533,-0.9119182409332653,-0.9285570094075166,-0.9106721185213291,-0.9215265185058306,-0.9128138889717945,-0.9244518243868165,-0.9244527043408602,-0.9198177224885107,-0.9198187849815829,-0.9196054817100787,-0.9187501075275994,-0.9179226782923886,-0.9180540723660617
10,0.099748746,-0.9225641273555035,-0.9218097631216178,-0.922535074420459,-0.9091284251152081,-0.9255195989712283,-0.9077878879393777,-0.9184890514015815,-0.909496392826725,-0.9213920436432821,-0.9213929029523211,-0.9165609544821962,-0.9165621119020548,-0.916341623959466,-0.9154576766428424,-0.9147210729457975,-0.9148492623898656
11,0.10427135,-0.9194761953510572,-0.9187302597510949,-0.9194468141349199,-0.9063354265025187,-0.9224830485878492,-0.9049171170585004,-0.9154525381013141,-0.9061949038917836,-0.9183342772812769,-0.9183351144744816,-0.913314337146288,-0.9133155887940723,-0.9130881941190502,-0.9121767910019116,-0.9115292427756864,-0.9116542236696992
12,0.10879397,-0.9163882524221716,-0.9156507454859515,-0.9163585354201874,-0.9035392251108593,-0.9194473523605184,-0.9020595904220932,-0.9124169777368408,-0.9029096632007398,-0.9152785519906688,-0.9152793655636257,-0.9100778820358104,-0.9100792263794464,-0.9098452042550345,-0.9089074647311659,-0.9083471662487792,-0.9084689367266259
