,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_6,eq_complex_8,eq_complex_9,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_24
347,0.6772293336272545,0.1666591446581434,0.0920430974972374,0.22829535525341688,0.24230094381301942,0.23128188086476062,0.2301465949759715,0.3565885664858498,0.36868077416340234,0.37413067175470993,0.39733818502396334,0.40149950532952283,0.3989883016886118,0.40017920524454004,0.382490546587423,0.3788175360250568,0.38751040144268245,0.38762770876311303,0.3914922858039026
348,0.67902387748497,0.1666591446581434,0.09126802484476082,0.2501582158251182,0.2720048427892814,0.2610211593691271,0.25989445556009033,0.38615123018053077,0.4001253702895565,0.4060628853647402,0.42815566344709904,0.4322115517236848,0.429764078199538,0.43092479885447554,0.40651057419307524,0.4051029718243415,0.413554558146949,0.4132604936976018,0.41757332229947997
349,0.6808184213426853,0.1666591446581434,0.0904929521922843,0.2719266572432259,0.30159031070726294,0.29065435210998986,0.289537474503908,0.4148974526431319,0.4307015512732649,0.4371099357191205,0.4580550962392448,0.4620020390972419,0.45962041537533793,0.4607499477016182,0.4298815745279458,0.4307079657529456,0.4389130205594517,0.43823681986563184,0.44298642025113355
350,0.6826129652004008,0.1666591446581434,0.08971787953980771,0.2935760709872586,0.3310240944852308,0.32014815236450234,0.3190423269664968,0.44277293416813907,0.4603515607388747,0.46721322213633304,0.4869849786092704,0.49081974206193363,0.48850591900077045,0.4896033375518174,0.45259167913453974,0.455618073621724,0.4635716728349006,0.462542658716319,0.46771730578466203
351,0.6844075090581162,0.1666591446581434,0.08894280688733121,0.3150819830936712,0.3602731115293698,0.34946941008232624,0.3483758434344184,0.4697284828231801,0.4890230752400922,0.4963196788447051,0.5148992373576412,0.5186188833449753,0.516374633009257,0.5174390970480109,0.4746328077403338,0.4798217585480138,0.48751933055942687,0.48616682161595154,0.491754594605892
352,0.6862020529158317,0.1666591446581434,0.08816773423485462,0.33642008182289646,0.38930448691753683,0.37858516914520446,0.3775050470110878,0.4957202936850026,0.5166695012718725,0.5243820760032369,0.541757467141087,0.5453593681072986,0.5431862749769817,0.5442170326471691,0.4960008292369769,0.503310434873849,0.5107477808067944,0.5091009995173916,0.5150898323637962
353,0.6879965967735471,0.1666591446581434,0.0873926615823781,0.3575662451429669,0.41808559034955944,0.4074627044085212,0.4063971904895606,0.5207101771939613,0.5432502181617458,0.5513592656298602,0.5675251165754439,0.5710069680205465,0.5689064214235977,0.569902813341127,0.5166956482590799,0.5260784500312372,0.5332517602119462,0.5313397415737223,0.5377174728901478
354,0.6897911406312625,0.1666591446581434,0.08661758892990158,0.3784965679987067,0.44658407282262674,0.43606955848329526,0.4350197931671325,0.5446657345058182,0.5687307645843545,0.5772163701559097,0.5921736225578174,0.595533453507515,0.5935066413100165,0.5944681035585113,0.5367212148762139,0.5481230035283269,0.5550288703811777,0.5528803719185755,0.5596347935245496
355,0.691585684488978,0.1666591446581434,0.08584251627742501,0.3991873893356167,0.47476790299048194,0.4643735782171946,0.46334067736031337,0.5675604784693675,0.5930829672404041,0.6019249121368673,0.615680491880424,0.6189166732422384,0.6169645768150727,0.6178906433363898,0.5560854563871482,0.5694440044725824,0.5760794321941338,0.5737228460301294,0.5808417489666077
356,0.6933802283466933,0.1666591446581434,0.08506744362494849,0.4196153188479334,0.5026054031655878,0.4923429508336081,0.4913280045791468,0.5893738996134297,0.616285011044331,0.6254628844662222,0.6380293298990191,0.6411405806963768,0.6392639711633841,0.6401542755407507,0.574800131586095,0.5900438712526165,0.5964062827472156,0.5938695502566853,0.6013407672957249
357,0.6951747722044088,0.1666591446581434,0.0842923709724719,0.43975726342062116,0.5300652849238043,0.5199462396881585,0.518950311320223,0.6100914772721266,0.638321450957801,0.647814761245432,0.6592098166956504,0.6621952081949283,0.6603946439533726,0.6612489205914502,0.5928806091392469,0.6099272791124168,0.616014520784236,0.6133250501539,0.6211364939073983
358,0.6969693160621242,0.1666591446581434,0.0835172983199954,0.4595904532353828,0.5571166842715225,0.5471524196024312,0.5461765444381053,0.6297046366991862,0.6591831663739502,0.6689714502433897,0.6792176318266656,0.6820765895946592,0.6803524150852693,0.6811704997978735,0.6103455728594382,0.6291008633143658,0.6349112084023371,0.63209579521266,0.6402354910775419
359,0.6987638599198397,0.1666591446581434,0.0827422256675188,0.4790924675112171,0.5837291963357822,0.5739309117352586,0.5729760960554559,0.648210653707251,0.6788672596861182,0.6889301886194452,0.6980543293612684,0.700786633311837,0.6991389790028432,0.6999208090251485,0.6272166576998556,0.647572887344509,0.6531050385533916,0.6501897892873507,0.6586459026273932
360,0.7005584037775551,0.1666591446581434,0.0819671530150423,0.49824125985037543,0.6098729095383217,0.600251617952303,0.5993188379725619,0.665612509004807,0.6973769013519967,0.7076943842719039,0.7157271654833207,0.7183329479917812,0.7167617315294,0.7175073449771278,0.6435180212143812,0.665352887108166,0.6706059793268712,0.6676162375111743,0.6763770946642874
361,0.7023529476352706,0.1666591446581434,0.08119208036256571,0.5170151831611149,0.6355184392152127,0.6260849546553755,0.625175155537634,0.6819186949813328,0.7147211243788977,0.7252734057981959,0.7322488814410876,0.734728623623009,0.7332335520899237,0.7339430868931814,0.659275856068581,0.6824513032392743,0.6874249071430919,0.6843851816521493,0.6934392845609699
362,0.7041474914929859,0.1666591446581434,0.0804170077100892,0.5353930141290246,0.6606369606442284,0.6514018860334003,0.6505159809397405,0.6971429782017557,0.7309145716988197,0.7416823246039986,0.747637445078872,0.7499919713460147,0.748572544559677,0.7492462369037346,0.6745178499514826,0.6988791144447619,0.703573241748536,0.7005071366629336,0.7098431711496085
363,0.7059420353507013,0.1666591446581434,0.07964193505761266,0.5533539772093097,0.6852002414428876,0.6761739566977135,0.6753128258870127,0.7113041213078903,0.7459772003663842,0.7569416131696501,0.7619157545658161,0.7641462255858865,0.7628017403600753,0.7634399226693348,0.6892725999575569,0.7146474851686807,0.7190625962314393,0.7159927415528282,0.725599579488447
