,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_10,eq_complex_19,eq_complex_21
10,0.099748746,-0.5777160340155636,-0.5776931929779531,-0.5777136729416597,-0.5792685084734779,-0.5810280373635439,-0.581952566707493,-0.5822856922094805,-0.5826205265624134,-0.5826231611415389
11,0.10427135,-0.5697901074596805,-0.5697675216286874,-0.569787719707029,-0.5713080650844095,-0.5730285131756231,-0.5738954497009466,-0.5741385682105197,-0.5745669017690045,-0.57456953634813
12,0.10879397,-0.5618641528635742,-0.5618418222401015,-0.5618617378222788,-0.563347981989279,-0.5650297876295295,-0.5658383556686217,-0.5659973682389008,-0.5664998864477738,-0.5665025210268994
13,0.11331658,-0.5539382157926073,-0.5539161403760906,-0.5539357728317781,-0.5553883049361956,-0.5570319067106229,-0.5577813710704311,-0.5578619476604323,-0.5584192502121146,-0.5584218847912402
14,0.11783919,-0.5460122787216405,-0.5459904585120798,-0.5460098071881895,-0.5474290163099015,-0.5490348527319452,-0.5497245182036437,-0.5497321054083489,-0.550324856067594,-0.5503274906467196
15,0.12236181,-0.5380863241255343,-0.5380647591234938,-0.5380838233431212,-0.5394700984985752,-0.5410386080138522,-0.5416678193263705,-0.5416076484136909,-0.5422167488543801,-0.5422193834335057
16,0.12688442,-0.5301603870545675,-0.5301390772594832,-0.5301578563226845,-0.5315115866840403,-0.5330432079174608,-0.5336113500866778,-0.5334884450286482,-0.5340952295734753,-0.5340978641526009
17,0.13140704,-0.5222344324584612,-0.522213377870897,-0.5222318710509923,-0.5235534456577393,-0.5250486170853109,-0.5255551148119316,-0.5253742989194436,-0.5259607448735991,-0.5259633794527248
18,0.13592964,-0.5143085129126339,-0.5142877135314615,-0.5143059200769435,-0.5155957281930807,-0.5170548885453647,-0.517499206818451,-0.5172651102490184,-0.5178140572280384,-0.517816691807164
19,0.14045227,-0.5063825407913882,-0.5063619966183005,-0.5063799157464371,-0.5076383462998864,-0.5090619339249994,-0.509443576833042,-0.5091606421786012,-0.5096560119012881,-0.5096586464804137
20,0.14497487,-0.4984566212455608,-0.49843633227886475,-0.49845396318127155,-0.49968140553146967,-0.5010698592636824,-0.5013883714135231,-0.5010608611460498,-0.5014878722333718,-0.5014905068124974
21,0.14949748,-0.490530684174594,-0.490510650414854,-0.4905279922496364,-0.49172483549610757,-0.493078593870264,-0.4933335588867003,-0.49296556022040094,-0.49331092544288246,-0.4933135600220081
22,0.1540201,-0.48260472957848777,-0.4825849510262681,-0.4826020029189607,-0.4837686361821525,-0.4850881377502295,-0.48527917870302006,-0.48487460970420004,-0.48512671163833876,-0.4851293462174644
23,0.15854271,-0.474678792507521,-0.4746592691622573,-0.4746760302054097,-0.4758128427594097,-0.47709852623909743,-0.4772253057905642,-0.476787920918045,-0.4769369571107539,-0.47693959168987954
24,0.16306531,-0.46675287296169343,-0.46673360482282145,-0.46675007407290625,-0.467857455211081,-0.4691097593313822,-0.4691719793059408,-0.46870537439099114,-0.4687434649479325,-0.46874609952705804
25,0.16758794,-0.45882690084044797,-0.45880788790966065,-0.4588240643825423,-0.4599024031643342,-0.4611217663761602,-0.4611191670236747,-0.46062678399920276,-0.4605480371301719,-0.46055067170929753
26,0.17211054,-0.4509009812946204,-0.4508822235702248,-0.45089810624556315,-0.4519477921415759,-0.45313465334707437,-0.4530670146017345,-0.45255214680845524,-0.45235268393551764,-0.4523553185146433
