,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_7,eq_complex_9,eq_complex_11,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_21,eq_complex_24,eq_complex_26,eq_complex_27,eq_complex_31,eq_complex_34,eq_complex_36
0,0.054522615,-0.8571797871386937,-0.6491951995881668,-0.6491949519033262,-0.5814270479475994,-0.5647000621438699,-0.5647003111477118,-0.5489946673851904,-0.5579604593586546,-0.5488996819669616,-0.5471723211342885,-0.5416649425784317,-0.5349568626278891,-0.5381360931299206,-0.542084063999456,-0.5394444284467035,-0.5387973289536638,-0.5391535278958788,-0.5388226414251462,-0.538764652821307,-0.5403963486770675
1,0.059045225,-0.8571797871386937,-0.6512854897395588,-0.6512852420547182,-0.5851510452584896,-0.5693124409733479,-0.5693126873612604,-0.5547055609539779,-0.5631549508578175,-0.5542967365340008,-0.552619253298898,-0.547893810060122,-0.54131626178413,-0.5444203420651545,-0.5481761999926067,-0.5456706272993568,-0.5450216832539756,-0.5453808370902226,-0.5450601806215405,-0.5449969994613848,-0.5464209265553099
2,0.06356784,-0.8571797871386937,-0.653375782201884,-0.6533755345170433,-0.5888491457733362,-0.5738993493664584,-0.573899593153786,-0.5603744617720571,-0.5683150866662554,-0.5596572524624022,-0.5580345399781468,-0.554058970949443,-0.5476104368570207,-0.5506404540769159,-0.5542069947771233,-0.5518336340350407,-0.5511830440714136,-0.551544847639623,-0.5512347145659262,-0.551166360182918,-0.5523968237439218
3,0.068090454,-0.8571797871386937,-0.6554660742020226,-0.655465826517182,-0.5925216138316008,-0.5784607812041076,-0.5784610224061986,-0.5660009416081574,-0.5734406361782459,-0.5649809846638995,-0.5634176687765386,-0.560160101103274,-0.5538390588418882,-0.5567960996793763,-0.5601762949609563,-0.5579331248380865,-0.5572810880965571,-0.5576452309783068,-0.5573459158992119,-0.5572724092171826,-0.5583229243077947
4,0.07261306,-0.8571797871386937,-0.6575563625046676,-0.657556114819827,-0.5961687093849053,-0.5829967295022588,-0.5829969681344652,-0.5715845841477433,-0.5785313747217906,-0.5702676943891379,-0.5687681351125946,-0.5661969133254467,-0.5600018364588395,-0.5628869866448412,-0.5660839756589624,-0.563968812684289,-0.5633155287496907,-0.5636816958843187,-0.5633934939940396,-0.5633148575218015,-0.5641981838853982
5,0.07713568,-0.8571797871386937,-0.6596466572779264,-0.6596464095930857,-0.5997907120283896,-0.5875072162751187,-0.5875074523527801,-0.5771250217936696,-0.5835871170945335,-0.5755171840487524,-0.5740854776993483,-0.5721691967444995,-0.5660985563475062,-0.5689128997388768,-0.5719299788986674,-0.5699404867164838,-0.5692861555497362,-0.5696540278692833,-0.5693772344119299,-0.5692934922035755,-0.5700216675216695
6,0.08165829,-0.8571797871386937,-0.6617369474293182,-0.6617366997444776,-0.603387860818804,-0.5919922175532766,-0.5919924510917463,-0.5826218436098627,-0.5886076335419954,-0.5807292099671416,-0.5793691903958282,-0.5780767171438892,-0.5721289813162314,-0.574873600159903,-0.5777142159517479,-0.5758479125893181,-0.5751927344777115,-0.5755619895200699,-0.5752968990503241,-0.5752080767498897,-0.5757924519044187
7,0.0861809,-0.8571797871386937,-0.66382723758071,-0.6638269898958694,-0.6069604185710751,-0.5964517433380692,-0.5964519743526946,-0.5880746937405565,-0.5935927394884835,-0.5859035755596442,-0.5846188167486444,-0.5839193228033591,-0.5780929583869401,-0.5807689323335161,-0.5834366708335579,-0.5816909382971975,-0.5810351137847272,-0.5814054263464654,-0.581152332183941,-0.5810584569791161,-0.5815097277864603
8,0.09070352,-0.8571797871386937,-0.6659175323539688,-0.6659172846691281,-0.610508644411018,-0.6008858034055162,-0.6008860319116396,-0.5934832293854868,-0.598542257195178,-0.5910400915128563,-0.5898339098907994,-0.5896968985762583,-0.5839903719106309,-0.5865987775822843,-0.5890973553001984,-0.5874694482627837,-0.5868131780905389,-0.5871842208692353,-0.5869434144656214,-0.5868445150796668,-0.58717275456058
9,0.09522613,-0.8571797871386937,-0.6680078225053606,-0.66800757482052,-0.6140327705424293,-0.6052943781472493,-0.6052946041602233,-0.5988470854761951,-0.6034559833420625,-0.5961385421524252,-0.5950139985367522,-0.5954093278566153,-0.5898211047444846,-0.5923630157507814,-0.5946962715193389,-0.5931833252935654,-0.592526810341019,-0.5928982545805583,-0.5926700247989878,-0.5925661315152375,-0.5927808220776768
