,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12
311,0.612625754749499,0.22004319045646026,0.22003719698306462,0.2200210788503319,0.2200611112433954,0.21868687403343667,0.21866636029626285,0.218899216977885,0.2188989060065935,0.21889859598393058,0.21845936490671386
312,0.6144202986072144,0.22352198105859017,0.2235158880917833,0.2235002305178001,0.22354080925861197,0.22215170112684135,0.2221309760559761,0.22236667508540142,0.2223663684773417,0.22236606281910598,0.2219238526529571
313,0.6162148424649299,0.22700077166072025,0.2269945792005022,0.2269793705828937,0.22702053740151057,0.2256169142276257,0.2255959836567255,0.22583448128865746,0.22583417944884804,0.2258338785593757,0.22538887952891612
314,0.6180093863226452,0.23047956226285016,0.23047327030922088,0.2304584995960104,0.23050029616429973,0.2290825167608972,0.22906138657552028,0.2293026388972716,0.2293023422322646,0.22930204651741753,0.22885445017779282
315,0.6198039301803607,0.2339583528649803,0.23395196141793972,0.2339376180732774,0.23398008603920117,0.23254851202212473,0.23252718815777623,0.23277115111498403,0.2327708600326478,0.232770569899596,0.23232056905934811
316,0.6215984740380761,0.23743714346711015,0.2374306525266584,0.2374167264991761,0.2374599075184477,0.2360149031758516,0.23599339161600896,0.2362400210386898,0.23623973594798964,0.2362394518049925,0.23578724044839505
317,0.6233930178957916,0.24091593406924028,0.2409093436353773,0.24089582532893267,0.2409397610942856,0.2394816932544473,0.23946000002856666,0.2397092516575074,0.23970897296828564,0.23970869522447202,0.239254468433359
318,0.625187561753507,0.2443947246713702,0.24438803474409604,0.24437491499069153,0.2444196472589728,0.24294888515689156,0.2429270163383958,0.24317884585187632,0.24317857397463122,0.24317830303977828,0.24272225691489646
319,0.6269821056112225,0.24787351527350032,0.24786672585281494,0.2478539958875018,0.24789956650478095,0.24641648164759872,0.2463944433518474,0.24664880639269093,0.24664854173835432,0.2466482780226657,0.2461906096045806
320,0.6287766494689379,0.25135230587563023,0.25134541696153356,0.2513330683991272,0.25137951932399377,0.24988448535527485,0.24986228373751684,0.25011913594046387,0.2501188789201783,0.25011862283406133,0.2496595300236481
321,0.6305711933266532,0.2548310964777601,0.25482410807025224,0.2548121328837058,0.25485950620890885,0.2533528987718155,0.2533305400251246,0.2535898370445262,0.2535895880694209,0.2535893400232627,0.2531290215018121
322,0.6323657371843687,0.2583098870798902,0.25830279917897114,0.2582911896792665,0.2583395276518372,0.25682172425123817,0.2567992146044331,0.2570609121422581,0.2570606716232248,0.2570604320271682,0.2565990871761387
323,0.6341602810420841,0.26178867768202013,0.2617814902876898,0.26177023910512076,0.26181958414510276,0.260290964008653,0.2602683097242009,0.26053236355835446,0.260532131905822,0.2605319011695404,0.26006972998998795
324,0.6359548248997996,0.26526746828415027,0.2652601813964087,0.2652492814631416,0.265299676181044,0.2637606201192733,0.26373782749117863,0.26400419350412535,0.2640039711278342,0.26400374966030654,0.2635409526920222
325,0.637749368757515,0.2687462588862801,0.2687388725051274,0.26872831703893635,0.26877980425201253,0.2672306945174612,0.26720776986913963,0.2674764040768285,0.2674761913856048,0.26747597959488933,0.26701275783527717
326,0.6395439126152305,0.27222504948841025,0.2722175636138463,0.2722073461029297,0.2722599688503752,0.27070118899581547,0.2706781386779543,0.2709489972590389,0.27094879466056826,0.27094859295357676,0.2704851477763029
327,0.6413384564729459,0.2757038400905401,0.2756962547225649,0.2756863689113569,0.27574017046851185,0.2741721052042944,0.27414893559269937,0.27442197491804976,0.27442178281865054,0.2744215916009221,0.27395812467436614
328,0.6431330003306613,0.2791826306926703,0.2791749458312839,0.27916538570718497,0.27922040959881833,0.277643444649382,0.277620162142811,0.27789533880531153,0.2778951576097087,0.2778949772851832,0.2774316904907245
329,0.6449275441883767,0.28266142129480015,0.2826536369400025,0.2826443967209581,0.28270068673370385,0.2811152086932891,0.2810918197112741,0.2813690905559026,0.28136892066700087,0.2813687516377926,0.2809058469879626
330,0.6467220880460922,0.2861402118969303,0.28613232804872146,0.28612340217158366,0.28618100236559385,0.284587398553199,0.28456390953385613,0.2848432316880383,0.2848430735066959,0.2848429161728676,0.28438059572939944
