,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16
0,0.054522615,-0.7214632857172262,-0.7207225188449536,-0.7214346181806285,-0.6987977031076659,-0.7251176751909283,-0.7010944410748295,-0.7137973943662179,-0.721771004774395,-0.7116928882176993,-0.7116981710643006,-0.71054696626725,-0.7105482252917524,-0.7105494838806895,-0.7110563040908171
1,0.059045225,-0.7142031489007968,-0.7134698269167886,-0.714174190323413,-0.6919873264265667,-0.7179213567329683,-0.6939413261271261,-0.7066316527292626,-0.7145217677743791,-0.7045227578299439,-0.7045281318621733,-0.7033805884773159,-0.7033818153395226,-0.703383041784549,-0.7038920031613928
2,0.06356784,-0.7069430040578776,-0.7062171269703643,-0.7069137484693123,-0.6851725057033283,-0.7107261201139818,-0.686806408597905,-0.6994675151105095,-0.7072729066927698,-0.6973541725029124,-0.6973596392198237,-0.6962158238642877,-0.6962170185748895,-0.6962182128863715,-0.696729348874326
3,0.068090454,-0.6996828608202562,-0.6989644286275919,-0.6996533020649025,-0.6783532478290777,-0.7035319921517977,-0.6796895854597638,-0.692305016562009,-0.700024444514022,-0.6901871672454356,-0.6901927281664914,-0.6890527087348017,-0.6890538713197214,-0.6890550335232466,-0.689568377923981
4,0.07261306,-0.6924227304250191,-0.6917117431140343,-0.692392862154386,-0.6715295612268675,-0.6963390014483369,-0.6725907389006883,-0.6851441940055674,-0.6927764062770294,-0.683021778989455,-0.6830274356545427,-0.6818912813457049,-0.6818924118466019,-0.6818935419834841,-0.6824091289494251
5,0.07713568,-0.6851625775556098,-0.6844590351493508,-0.6851323932181309,-0.6647014105485454,-0.6891471306838477,-0.6655096895098567,-0.6779850387441095,-0.685528771014574,-0.675857999074297,-0.6758637530443773,-0.6747315344160091,-0.6747326328905721,-0.6747337310181437,-0.675251595060389
6,0.08165829,-0.6779024407391805,-0.6772063432211858,-0.6778719335747786,-0.6578688298761481,-0.681956435887745,-0.6584463139628169,-0.6708276151927814,-0.6782815919611664,-0.6686958920579752,-0.6687017449141114,-0.6675735338726477,-0.6675746003954175,-0.6675756665878533,-0.6680958425457776
7,0.0861809,-0.6706423039227511,-0.6699536512930208,-0.6706114669513895,-0.6510318019691623,-0.6747669192122236,-0.6514004197924885,-0.663671934226289,-0.671034868363175,-0.6615354689872712,-0.6615414223313493,-0.6604172921922541,-0.6604183268548792,-0.6604193612034518,-0.660941884253518
8,0.09070352,-0.6633821510533419,-0.6627009433283372,-0.6633509770653766,-0.6441903095468213,-0.6675785830091462,-0.6443717989792642,-0.6565180070146719,-0.6637885999857598,-0.6543767412720028,-0.6543827967267203,-0.6532628222468273,-0.653263825158557,-0.6532648277721308,-0.6537897334190828
9,0.09522613,-0.6561220142369126,-0.6554482514001722,-0.6560904957852214,-0.6373443807141843,-0.6603914774973292,-0.6373602745731867,-0.6493658924550267,-0.6565428351914154,-0.6472197681538124,-0.6472259273619515,-0.6461101847444356,-0.6461111560328193,-0.6461121270385501,-0.6466394510894986
10,0.099748746,-0.6488618677886954,-0.6481955498500961,-0.6488299971752975,-0.630493989107349,-0.6532055958609578,-0.63036559836681,-0.6422155927720811,-0.6492975652111932,-0.6400645522413906,-0.6400708168665646,-0.6389593838277731,-0.6389603236388907,-0.6389612631824558,-0.6394910417548446
11,0.10427135,-0.6416017406040542,-0.6409428675438422,-0.641569509871454,-0.6236391598483901,-0.646020985486778,-0.6233875596403682,-0.635067164212221,-0.6420528363105488,-0.6329111502848083,-0.6329175220105794,-0.631810477782428,-0.6318113862816009,-0.6318122945279121,-0.632344564019017
12,0.10879397,-0.6343415877346449,-0.6336901595791586,-0.6343089886502449,-0.6167798483400414,-0.6388376208575327,-0.6164258617556517,-0.6279205905680635,-0.634808621649843,-0.625759546618211,-0.6257660271490587,-0.6246634525592414,-0.6246643299311803,-0.6246652070645304,-0.6252000041634868
13,0.11331658,-0.6270814509182155,-0.6264374676509936,-0.6270484749660409,-0.6099160918536128,-0.6316555624008837,-0.6094802766048858,-0.6207759412220311,-0.6275649814891828,-0.6186098113193768,-0.6186164023792624,-0.6175183798351331,-0.6175192262847646,-0.6175200725096563,-0.6180574341530409
14,0.11783919,-0.6198213141017863,-0.6191847757228287,-0.6197879524662225,-0.6030478730732605,-0.6244748135220488,-0.6025505061515809,-0.6136332289022051,-0.6203219190417916,-0.6114619578721164,-0.6114686612051669,-0.6103752747668827,-0.6103760905195418,-0.6103769060608795,-0.610916869436954
15,0.12236181,-0.6125611612323769,-0.611932067758145,-0.612527404783946,-0.5961751746427506,-0.6172953777923197,-0.5956362382895034,-0.6064924665823098,-0.6130794381635442,-0.6043160001120561,-0.6043228174823714,-0.6032341529026168,-0.6032349382044743,-0.6032357233079926,-0.6037783258399176
16,0.12688442,-0.6053010244159478,-0.6046793758299801,-0.6052668636989438,-0.5892980247986902,-0.610117306552412,-0.588737192816639,-0.5993537148188686,-0.6058375914082386,-0.5971719996055772,-0.5971789327962298,-0.5960950775289964,-0.5960958326476669,-0.5960965875805397,-0.5966418668902842
17,0.13140704,-0.5980408715465384,-0.5974266678652964,-0.598006296759591,-0.5824163909718978,-0.6029405877906162,-0.5818530147808596,-0.5922169712277819,-0.5985963679534387,-0.5900299550528328,-0.5900370058666083,-0.5889580491507985,-0.5889587743754601,-0.58895949942642,-0.5895074933382116
18,0.13592964,-0.5907807507830892,-0.5901739919736502,-0.5907457517668561,-0.5755303166675111,-0.5957652889702035,-0.5749834119849909,-0.5850823125214636,-0.5913558377296736,-0.5828899444371415,-0.5828971146949243,-0.581823147543043,-0.5818238431851301,-0.5818245386651628,-0.5823752851538577
19,0.14045227,-0.5835205818606999,-0.5829212679724479,-0.5834851480724339,-0.5686397235823761,-0.5885913507530675,-0.5681279576452055,-0.5779496893883078,-0.5841159433077134,-0.5757519197591987,-0.5757592113017309,-0.5746903266322784,-0.5746909930252958,-0.5746916592674548,-0.5752451964838751
20,0.14497487,-0.5762604610972507,-0.5756685920808016,-0.5762245816022425,-0.5617447009717168,-0.5814188884093608,-0.5612863790751744,-0.5708192261789305,-0.576876804091653,-0.568616006957344,-0.5686234216418917,-0.5675597142019955,-0.5675603517025402,-0.5675609890629688,-0.5681173552411724
21,0.14949748,-0.5690003242808215,-0.5684159001526367,-0.568963987722495,-0.5548451857218367,-0.5742478586904989,-0.5544582396111732,-0.5636908896887557,-0.5696383801656325,-0.5614821744484524,-0.5614897141510493,-0.5604312806760667,-0.5604318896634564,-0.560432498521018,-0.5609917320130476
22,0.1540201,-0.5617401714114121,-0.561163192187953,-0.561703365993543,-0.5479411756415407,-0.5670782818933191,-0.5476431511904876,-0.5565647099392955,-0.5624006964316721,-0.5543504540856389,-0.5543581206995322,-0.5533050599170846,-0.5533056407938571,-0.5533062215506348,-0.5538683607729596
23,0.15854271,-0.554480034594983,-0.553910500259788,-0.5544427480608639,-0.5410326990994317,-0.559910210087566,-0.5408407440595763,-0.5494407485653958,-0.5551638105977332,-0.5472209095325409,-0.547228704967075,-0.546181117622788,-0.5461816708150223,-0.5461822238966407,-0.5467473072858879
24,0.16306531,-0.5472199138315337,-0.5466578243681415,-0.5471821334374785,-0.5341197539619065,-0.5527436636912597,-0.5340506068645731,-0.5423190357678124,-0.5479277491868251,-0.5400935731771898,-0.5401014993577605,-0.5390594882901494,-0.5390600142474925,-0.5390605401031461,-0.5396286060952944
25,0.16758794,-0.5399597449091443,-0.5394051003669394,-0.5399214573937984,-0.5272022768936073,-0.5455785998074101,-0.5272722573466466,-0.5351995388620209,-0.5406924755837322,-0.5329684146656714,-0.5329764735342549,-0.5319401437789508,-0.5319406429744901,-0.531941142076816,-0.5325122290983204
26,0.17211054,-0.532699624145695,-0.5321524244752929,-0.5326608157132894,-0.5202803575008633,-0.5384151340030008,-0.5205053525180625,-0.5280823826376867,-0.5334581140279989,-0.5258455614484236,-0.5258537549599337,-0.5248232136796331,-0.5248236866105428,-0.5248241594562687,-0.5253983058190865
27,0.17663316,-0.5254394712762858,-0.5248997165106094,-0.5254001275543372,-0.5133539171065482,-0.5312532076045141,-0.5137493743705922,-0.5209675187662122,-0.5262246136861705,-0.5187249679367963,-0.5187332980615491,-0.5177086547422505,-0.5177091019291422,-0.5177095490384371,-0.5182867929729048
28,0.18115577,-0.5181793344598565,-0.5176470245824444,-0.5181394404764413,-0.5064229994740376,-0.524092888651611,-0.5070039147534563,-0.5138550248125618,-0.5189920526144479,-0.5116067147663091,-0.5116151834867968,-0.5105965498945649,-0.5105969718818859,-0.5105973937987599,-0.5111777733557993
29,0.1856784,-0.5109191655374671,-0.5103943005812422,-0.510878705679804,-0.4994875564453196,-0.5169341501600856,-0.5002684665137825,-0.5067448839378251,-0.5117604138573443,-0.5044907883356647,-0.5044993976474623,-0.5034868879686485,-0.5034872853242109,-0.5034876826160456,-0.5040712356618935
