,x,eq_complex_3,eq_complex_15,eq_complex_27
107,0.5384422,-0.15527970206089847,-0.15535530372386994,-0.15536384890212346
108,0.5429648,-0.15527915870698908,-0.15535251145678872,-0.15536564852411422
109,0.54748744,-0.1552786309738491,-0.1553470177485912,-0.15536331344417467
110,0.55201006,-0.15527812026946958,-0.1553387536554704,-0.155357161058562
111,0.5565327,-0.15527762805551304,-0.15532799517396953,-0.15534607649831642
112,0.5610553,-0.15527715587149393,-0.15531542379059574,-0.15532977931207148
113,0.5655779,-0.1552767053146069,-0.15530192041891472,-0.15530968431951184
114,0.57010055,-0.15527627805193253,-0.15528833182619015,-0.15528839582224735
115,0.5746231,-0.15527587584033087,-0.155275326228436,-0.15526838221041897
116,0.5791457,-0.15527550048181588,-0.15526334745705614,-0.1552510827212503
117,0.58366835,-0.15527515386688023,-0.1552526373184563,-0.1552368923695651
118,0.588191,-0.15527483796418237,-0.15524328333786297,-0.15522558006052656
119,0.5927136,-0.15527455481647273,-0.15523526922996905,-0.1552166838146304
120,0.5972362,-0.1552743065357722,-0.1552285167285817,-0.15520973489798534
121,0.60175884,-0.1552740953122495,-0.15522291633969368,-0.15520434458788587
122,0.60628146,-0.1552739234169724,-0.15521834758480643,-0.15520021827672503
123,0.610804,-0.15527379319458393,-0.15521469111029992,-0.15519714138676077
124,0.61532664,-0.15527370705885996,-0.1552118353501028,-0.15519495910206188
125,0.61984926,-0.15527366750572758,-0.15520968012692468,-0.15519355855032407
126,0.6243719,-0.15527367709947779,-0.1552081373005121,-0.15519285459183071
127,0.62889445,-0.15527373847327777,-0.15520713067347014,-0.15519278007022
128,0.63341707,-0.1552738543308117,-0.15520659496978534,-0.15519327914488487
129,0.6379397,-0.15527402743782673,-0.15520647475648344,-0.15519430301124576
130,0.6424623,-0.15527426061818767,-0.15520672309289166,-0.15519580718239034
131,0.6469849,-0.15527455675381535,-0.15520730032690802,-0.155197749931342
132,0.6515075,-0.15527491877533747,-0.15520817297821426,-0.15520009137915633
133,0.6560301,-0.15527534965662054,-0.15520931274618352,-0.15520279305915097
134,0.66055274,-0.15527585241216996,-0.1552106956654838,-0.15520581777748918
135,0.6650754,-0.1552764300784861,-0.155212301345142,-0.15520912953963295
136,0.66959804,-0.15527708570570525,-0.15521411235125043,-0.1552126936385024
137,0.67412066,-0.15527782235526175,-0.15521611371083952,-0.15521647681368728
138,0.6786433,-0.15527864309142253,-0.15521829248518063,-0.15522044737998653
139,0.68316585,-0.1552795509318461,-0.15522063731197472,-0.15522457516612123
140,0.68768847,-0.155280548914802,-0.15522313831660178,-0.15522883198401133
141,0.6922111,-0.15528163998695754,-0.15522578661150133,-0.15523319125306004
142,0.6967337,-0.15528282702829355,-0.1552285742036943,-0.1552376282573092
143,0.7012563,-0.1552841128489638,-0.15523149385903184,-0.15524212022208048
144,0.7057789,-0.15528550014361778,-0.1552345389005092,-0.15524664621960527
145,0.7103015,-0.1552869914748239,-0.15523770310687532,-0.1552511871820034
146,0.71482414,-0.15528858926216704,-0.15524098064406305,-0.15525572591046716
147,0.7193467,-0.1552902956816027,-0.15524436583679485,-0.15526024683121817
148,0.7238693,-0.15529211278177876,-0.155247853396444,-0.1552647363424276
149,0.72839195,-0.15529404232790958,-0.15525143811142772,-0.1552691824001582
150,0.73291457,-0.15529608576325937,-0.15525511480627116,-0.1552735744736459
