,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_28,eq_complex_29,eq_complex_30,eq_complex_31,eq_complex_32,eq_complex_33,eq_complex_34,eq_complex_35
0,0.054522615,-1.2507585351173567,-1.2316076262575715,-1.2316365794344155,-1.1145897404189513,-1.149738294755585,-1.0376752453738993,-1.0471475733898676,-1.0137565197592588,-0.9580250734124653,-0.9488563021132026,-0.9623480304018255,-0.9628662970822492,-0.925135003038057,-0.9502465109598854,-0.9844947833367232,-0.983156185540778,-0.9818570482273874,-0.9790355915076228,-0.967497712824096,-0.9707600336639857,-0.9428303450174218,-0.942685767960209,-0.9532612948022767,-0.9531210226360549,-0.952983551007047,-0.9346970023337602,-0.9343377697474113,-0.951489173123115
1,0.059045225,-1.2411310845151802,-1.222172646973912,-1.2222013100756697,-1.1075853543387035,-1.1385915910385975,-1.033026538205214,-1.0413719905800338,-1.0092570927791487,-0.9566516721738489,-0.9458435091316517,-0.9593458161468207,-0.959856114085063,-0.9229386279014611,-0.9465938810772321,-0.9814911565021849,-0.9801525587062396,-0.978853421392849,-0.975923590773212,-0.9639764011014882,-0.9672243279028934,-0.9425892279210717,-0.9426554504433831,-0.9518716589187277,-0.9517332397215039,-0.9515975824516962,-0.9347573638068805,-0.9344067135328478,-0.9500447857929246
2,0.06356784,-1.231503623269315,-1.212737657259352,-1.2127660302857022,-1.1005574027273237,-1.1276036367179372,-1.028391234533929,-1.0356665813555717,-1.004770638880724,-0.9552494913365288,-0.9428842490964071,-0.9563959956480157,-0.9568976454155578,-0.9208032582196632,-0.9430402616369256,-0.9785269432879244,-0.9771883454919792,-0.9758892081785886,-0.9728551961287168,-0.9605189566327563,-0.9637510730196519,-0.9422415691109289,-0.942510009116764,-0.9504742814531981,-0.9503378466191919,-0.9502041326056032,-0.9347042637748944,-0.9343621856121065,-0.9485934439372099
3,0.068090454,-1.2218761641521876,-1.203302669630972,-1.203330752581979,-1.0935058388763523,-1.1167765112539487,-1.023767812471607,-1.0300294279543425,-1.000295685046725,-0.953816116014246,-0.9399747805474534,-0.9534948245420016,-0.9539871745780273,-0.9187247328975112,-0.9395832495425371,-0.975598429215297,-0.9742598314193518,-0.9729606941059612,-0.9698266968282407,-0.9571233412021394,-0.9603383652511468,-0.9417883035790773,-0.9422505505043364,-0.9490644075587846,-0.9489300830977829,-0.9487984359568606,-0.934538787293224,-0.9342052720720793,-0.9471305188462786
4,0.07261306,-1.2122487220649623,-1.1938676986920336,-1.1938954915682103,-1.0864306176530523,-1.1061120549523096,-1.0191547474512312,-1.0244585049278703,-0.9958307556673269,-0.9523491562189186,-0.9371113305616647,-0.9506385273564508,-0.9511209559404268,-0.9166988703320031,-0.9362202733111311,-0.9727019093302487,-0.9713633115343034,-0.9700641742209128,-0.9668343896114959,-0.9537874366940795,-0.9569842159146398,-0.9412303825634765,-0.9418781961152509,-0.9476375179125838,-0.9475054246018713,-0.9473759628183624,-0.9342620341666765,-0.9339370737933761,-0.9456516165594071
5,0.07713568,-1.2026212501754083,-1.1844326985465727,-1.1844602013470216,-1.0793316483586133,-1.0956117955804758,-1.0145504821917486,-1.0189516461166894,-0.9913743434691893,-0.9508462376047129,-0.9342900794389992,-0.9478232822344224,-0.9482951992569677,-0.9147214579610163,-0.9329485705045051,-0.9698336709260977,-0.9684950731301525,-0.9671959358167619,-0.9638745608367292,-0.9505090245216308,-0.9536865270016888,-0.9405687629369348,-0.9413940728794612,-0.9461893093186473,-0.9460595628718178,-0.9459323999641869,-0.9338751100057132,-0.9335586975577186,-0.9441525577414134
6,0.08165829,-1.1929937995732318,-1.1749977192629133,-1.1750249319882755,-1.0722089122816965,-1.08527712013999,-1.0099535035817755,-1.0135066400303578,-0.9869249839302554,-0.949305026880803,-0.9315072110727085,-0.9450452711973949,-0.9455061199639663,-0.9127882879136022,-0.9297652420538902,-0.9669900429371516,-0.9656514451412064,-0.9643523078278156,-0.9609435374326412,-0.9472858415089556,-0.9504431438982552,-0.9398044114992452,-0.9407993143371136,-0.9447157083969437,-0.9445884195946423,-0.9444636642432098,-0.9333791257862663,-0.9330712554602272,-0.9426293918415354
7,0.0861809,-1.1833663489710555,-1.165562739979254,-1.1655896626295297,-1.0650623372830081,-1.075109085044467,-1.0053622616503874,-1.0081211358718365,-0.9824811768525679,-0.9477232062097665,-0.928758866084197,-0.9423006333945365,-0.9427498921033559,-0.9108951242455479,-0.9266671937366528,-0.9641673466453708,-0.9628287488494256,-0.961529611536035,-0.9580376359671952,-0.9441155226788567,-0.9472517945976473,-0.9389382880963211,-0.9400950468583815,-0.9432128356695639,-0.9430881105301281,-0.9429658667443006,-0.9327751857481927,-0.9324758529532431,-0.9410783598996073
8,0.09070352,-1.1737388770815016,-1.156127739833793,-1.1561543724083407,-1.0578918508948052,-1.0651084944991782,-1.0007752047214433,-1.0027926897106927,-0.9780414203877121,-0.9460984847829801,-0.9260411667648152,-0.9395854899868408,-0.940022673130537,-0.9090377208025662,-0.9236511622323877,-0.9613619191026106,-0.9600233213066653,-0.9587241839932745,-0.9551531868166168,-0.9409956276736533,-0.9441101132563943,-0.9379713436802668,-0.9392823861986606,-0.9416770054894168,-0.9415549454214274,-0.9414353126892119,-0.9320643832063296,-0.9317735845870603,-0.9394958945103891
9,0.09522613,-1.164111426479325,-1.1466927605501338,-1.1467191030495947,-1.0506974281220174,-1.0552759633153588,-0.9961908102557944,-0.9975188035614784,-0.9736042408886123,-0.9444286107167559,-0.923350238107076,-0.9368959651731772,-0.9373206248714483,-0.9072118356819043,-0.9207137353207588,-0.9585701331326737,-0.9572315353367284,-0.9559323980233378,-0.9522865546617139,-0.937923662081521,-0.9410156589182319,-0.9369045220998853,-0.9383624382694267,-0.9401047257645314,-0.9399854276982489,-0.9398685011150889,-0.931247800598594,-0.93096553399535,-0.9378786194926283
10,0.099748746,-1.1544839631047223,-1.1372577687493937,-1.1372838211733831,-1.0434789867214902,-1.0456117702343926,-0.9916075183933386,-0.9922968523464601,-0.9691681285856981,-0.9427113478962408,-0.9206821715957976,-0.9342281500151532,-0.9346398770112094,-0.9054132067772649,-0.917851309726432,-0.9557883580282474,-0.9544497602323021,-0.9531506229189115,-0.9494340980580793,-0.9348970331819275,-0.9379658684342265,-0.93573874017461,-0.93733628137523,-0.9384926646392364,-0.9383762211942401,-0.9382620916273228,-0.9303264931823645,-0.9300527577098934,-0.9362233155569426
11,0.10427135,-1.1448565252749725,-1.1278228019828154,-1.127848564332103,-1.036236498529697,-1.0361160095865647,-0.9870238034029393,-0.9871241703545974,-0.9647316067424068,-0.9409445024858998,-0.9180330703007551,-0.9315781475069005,-0.931976572194843,-0.9036375826687233,-0.9150601388698565,-0.9530130043954248,-0.9516744065994795,-0.950375269286089,-0.9465922154572317,-0.9319130986231965,-0.9349581032388949,-0.9344748987807319,-0.936204974962271,-0.9368376640793064,-0.93672416368597,-0.9366129178933071,-0.9293014961528236,-0.9290362921406192,-0.9345269342633351
