,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_24,eq_complex_25,eq_complex_26,eq_complex_27,eq_complex_30,eq_complex_31,eq_complex_33
0,0.054522615,-0.9027245520575412,-0.7504475579995786,-0.7504477049017475,-0.7258181901297088,-0.7061990038667693,-0.7088953835809639,-0.679593699455919,-0.6815190774275633,-0.6837383791296859,-0.6794760561388011,-0.6777542292477199,-0.6763888586446289,-0.6639958826272784,-0.6640301098044603,-0.6640638630278581,-0.669650157736106,-0.6712248827960317,-0.6625048633990565,-0.6647795626769474,-0.6665201768723299,-0.6612200241942631,-0.6669111284684,-0.6664421829682875,-0.6654285639187532,-0.6654349806959216,-0.6654413020935033,-0.666587706464569
1,0.059045225,-0.9027245520575412,-0.751977979773238,-0.7519781260277332,-0.7287728608222854,-0.7086143753964145,-0.7100892317993863,-0.6832428425820487,-0.6850850530442947,-0.6872599698624161,-0.683150534496883,-0.6813626789509754,-0.6799408840200125,-0.6681985588566517,-0.6682234895732522,-0.6682481406226455,-0.6738682948732468,-0.6750217644149559,-0.6666390131956998,-0.6689589207740089,-0.6708000512143667,-0.6655116247416977,-0.6711192268182771,-0.6706587706182638,-0.6696308814941344,-0.6696373689794392,-0.6696437598294573,-0.6707984656332981
2,0.06356784,-0.9027245520575412,-0.7535084032388648,-0.7535085488456855,-0.7316995356235277,-0.7110208106847282,-0.7113242187502192,-0.686870588383595,-0.68863047169147,-0.6907614519091272,-0.6868076014712476,-0.6849594102787196,-0.6834925652112982,-0.6723963480723767,-0.6724137846740977,-0.6724310670390857,-0.6780657855886114,-0.6788145719462093,-0.6707799701716217,-0.6731418416245329,-0.6750740281921297,-0.6698228724313379,-0.6753270923109448,-0.6748747577637911,-0.673834559792922,-0.6738411089222351,-0.6738475603000523,-0.6750091253915396
3,0.068090454,-0.9027245520575412,-0.7550388263660981,-0.7550389713252446,-0.7345981395992601,-0.7134183065273156,-0.7125999648309272,-0.690476932019358,-0.692155328638225,-0.694242820597839,-0.690447064767682,-0.6885441063375768,-0.6870435736112305,-0.6765880076965718,-0.6765995888931182,-0.6766110920391761,-0.6822418396109562,-0.6826030035282247,-0.6749264326000538,-0.6773267866905542,-0.679339656306648,-0.674151362576751,-0.679533058144812,-0.6790883949965257,-0.6780379099952503,-0.6780445113866537,-0.6780510140553946,-0.6792179588981889
4,0.07261306,-0.9027245520575412,-0.7565692467861835,-0.7565693910976568,-0.7374686059247911,-0.7158068592400688,-0.7139160774516813,-0.6940618679714033,-0.6956596184902398,-0.6977040706002037,-0.6940687336196175,-0.6921164495690304,-0.6905935565184014,-0.6807722922634774,-0.6807794781013734,-0.6807866286764328,-0.6863956799663485,-0.6863867215002843,-0.6790770189830779,-0.681512144002791,-0.683594516119884,-0.6784944414872838,-0.6837353916432126,-0.6832978783663919,-0.6822391824522493,-0.6822458264229958,-0.6822523708502026,-0.6834231796736614
5,0.07713568,-0.9027245520575412,-0.7580996719437778,-0.7580998156075759,-0.7403108946961903,-0.7181864804242,-0.7152721602431956,-0.6976254136358913,-0.6991433582530483,-0.7011452187132818,-0.6976724426703609,-0.6956761454665654,-0.6941421610134014,-0.6849479827421779,-0.6849520411677099,-0.6849560859719525,-0.6905265712789306,-0.6901653772023195,-0.6832302972172302,-0.6856962594830526,-0.6878362631280233,-0.6828492443521934,-0.6879323261375585,-0.687501382424838,-0.6864365995373449,-0.6864432761237813,-0.6864498525009795,-0.6876229747734042
6,0.08165829,-0.9027245520575412,-0.7596300937174372,-0.7596302367335616,-0.7431249456095299,-0.7205571574400128,-0.7166677909780232,-0.7011675500739095,-0.7026065294123556,-0.7045662466493926,-0.7012579920971943,-0.6992228635827871,-0.6976889754472193,-0.6891138188541418,-0.6891158140353421,-0.689117805040881,-0.6946337520023135,-0.6939385481045532,-0.6873847179149222,-0.6898773717199254,-0.6920625710110289,-0.687212636108856,-0.6921219960895325,-0.691696996229342,-0.690628291587303,-0.6906349905669201,-0.6906415888312741,-0.6918154409950549
7,0.0861809,-0.9027245520575412,-0.7611605154910965,-0.7611606578595471,-0.7459107284386114,-0.7229188955589886,-0.7181025454208407,-0.7046882851885017,-0.7060491396938167,-0.7079671620395209,-0.7048252114912905,-0.7027563007125508,-0.7012335925806015,-0.6932685746214953,-0.6932693569846005,-0.6932701384694946,-0.6987165085051181,-0.6977058046031395,-0.6915386906414251,-0.6940536907849428,-0.6962712192194644,-0.6915813055290949,-0.6963025168625897,-0.6958828040877529,-0.6948123773152955,-0.6948190882320978,-0.6948256980913281,-0.6959986656648521
8,0.09070352,-0.9027245520575412,-0.7626909406486908,-0.7626910823694663,-0.7486682213598659,-0.7252716999735489,-0.7195759877068832,-0.7081876266934284,-0.709471196641237,-0.7113479723367669,-0.7083739325743712,-0.7062761541159935,-0.7047755832545102,-0.6974110284729474,-0.6974112266158193,-0.6974114246695502,-0.7027741445614828,-0.7014666815644383,-0.6956905560920013,-0.698223372124551,-0.7004600719835636,-0.6959517537352264,-0.7004719592842557,-0.7000568607533233,-0.6989869388332823,-0.6989936510253729,-0.6990002619848518,-0.7001707019449301
9,0.09522613,-0.9027245520575412,-0.7642213624223502,-0.7642215034954519,-0.7513973929507931,-0.7276155602790858,-0.721087660313303,-0.7116655591138475,-0.7128726851215437,-0.7147086625904592,-0.7119039658557356,-0.7097820984363089,-0.708314473303015,-0.7015399374848601,-0.7015399519801424,-0.7015399664742825,-0.7068059554535084,-0.705220653553909,-0.6998385625776428,-0.7023844949271985,-0.7046270603080742,-0.700320290224163,-0.7046283289881036,-0.7042171712495359,-0.7031500011728276,-0.7031567038025344,-0.7031633051948776,-0.7043295487050656
