,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_23,eq_complex_28,eq_complex_31,eq_complex_32,eq_complex_33,eq_complex_40
290,0.5749403337374749,0.24470046483837002,0.21745384813015017,-0.3238950978008616,-0.5283140179625416,-0.5283172384932815,-0.5253546258959538,-0.52532899916763,-0.5256116447693251,-0.5220333676798405,-0.6088513281655847,-0.5247964215139083,-0.6577754407119183,-0.6513251702475382,-0.6410601748534299,-0.6375965003316808,-0.6374294370634914,-0.670270109777424,-0.6610076656377022,-0.6640268237574771,-0.6549410020770356,-0.6558342346476345,-0.6633096865898982,-0.6595814261025779,-0.658784695084496,-0.6546937238776231
291,0.5767348775951904,0.24470046483837002,0.21676091602168274,-0.3284822761526172,-0.5346406319036447,-0.5346432797773546,-0.5320512071508945,-0.5320297078050651,-0.5323131076973842,-0.5283949074148548,-0.6168564872747617,-0.5319681822194897,-0.6680764618099333,-0.6615733964181463,-0.6512243828902777,-0.6477829442857632,-0.6476158810175738,-0.6838987725639336,-0.6743421488480574,-0.6773176133041949,-0.6679757458298312,-0.66886897840043,-0.6753856932916686,-0.6716464694713606,-0.6708471333247088,-0.6666668421198108
292,0.5785294214529058,0.24470046483837002,0.21606798391321533,-0.3324215426047736,-0.5400914421785203,-0.5400934800388071,-0.5378753002228986,-0.5378575463185136,-0.5381413411839868,-0.5338875757180972,-0.6238895127095516,-0.5381535664367552,-0.6769680558335309,-0.6704195040252952,-0.6599981031676363,-0.6565806950579325,-0.6564136317897429,-0.695717064762482,-0.6858918658064848,-0.6888275043075878,-0.6792613413145048,-0.6801545738851034,-0.6858523682214539,-0.6821035180294519,-0.6813019799120552,-0.6770435632953962
293,0.5803239653106212,0.24470046483837002,0.21537505180474786,-0.33570844387055615,-0.5446603228650695,-0.5446617138006549,-0.5428203627135089,-0.5428059650549943,-0.5430897948260773,-0.5385049137051496,-0.629938855979147,-0.54334299048139,-0.6844326969405703,-0.6778460183470394,-0.6673639423165159,-0.6639723181543384,-0.663805254886149,-0.705674617847202,-0.6956087506675477,-0.6985094588284222,-0.6887527848740054,-0.6896460174446042,-0.6946645106697855,-0.6909074677477645,-0.6901041154514729,-0.6857794201423411
294,0.5821185091683366,0.24470046483837002,0.21468211969628045,-0.3383392641530984,-0.5483421392024477,-0.5483428468275624,-0.5468808396687062,-0.5468694027029737,-0.5471529070129315,-0.5422414462899854,-0.6349941467028419,-0.5475283972089859,-0.6904557383844714,-0.6838383354858257,-0.6733073646295384,-0.6699432298858408,-0.6697761666176514,-0.7137296890669109,-0.703453098026183,-0.7063246575477911,-0.6964129816997473,-0.6973062142703461,-0.7017835420815544,-0.6980198225226975,-0.6972150307903038,-0.6928364598552383
295,0.5839130530260521,0.24470046483837002,0.213989187587813,-0.34031102934610086,-0.5511327533617945,-0.5511327418962075,-0.550052169818978,-0.5500432925424843,-0.5503261111769018,-0.5450926886586998,-0.6390462196877802,-0.5507032762568356,-0.6950254069912047,-0.6883847167973296,-0.6778166864131365,-0.6744816917493341,-0.6743146284811445,-0.7198490061620699,-0.7093933877005503,-0.7122423092458721,-0.7022125401053607,-0.7031057726759593,-0.7071779649926022,-0.7034091521054207,-0.7026032850651331,-0.6981836951899145
296,0.5857075968837675,0.24470046483837002,0.21329625547934558,-0.34162151039601646,-0.5530290290965547,-0.553028263445104,-0.5523307907031425,-0.5523240675774592,-0.5526058409258205,-0.5470551516303068,-0.6420871407779489,-0.5528626804530414,-0.6981327975888967,-0.6914762832812495,-0.6808830703165927,-0.6775788047553009,-0.6774117414871115,-0.7240075865549038,-0.7134060896438821,-0.7162394437131114,-0.7061295534034364,-0.707022785974035,-0.7108237249232592,-0.7070514532577614,-0.7062448669523567,-0.7017974606605377
297,0.587502140741483,0.24470046483837002,0.21260332337087812,-0.3422692258219657,-0.5540288352671641,-0.5540272810986575,-0.5537141426701824,-0.5537091645445253,-0.5539895340513021,-0.5481263458982253,-0.6441102313879548,-0.5540032383231119,-0.6997718681146139,-0.6931070106586827,-0.6825005203626051,-0.6792285044276953,-0.679061441159506,-0.7261885655193776,-0.7154754829024517,-0.7183007218703228,-0.708149402477035,-0.7090426350476335,-0.7127044773592743,-0.7089304162273691,-0.7081234612149023,-0.7036616756448988
298,0.5892966845991984,0.24470046483837002,0.2119103912624107,-0.34225344339052993,-0.5541310482361439,-0.5541286720614935,-0.5542006717545851,-0.5541970267937404,-0.5544756354084306,-0.5483047851473228,-0.645110091634419,-0.5541231626406518,-0.6999394359570794,-0.6932737256948516,-0.6826658782382091,-0.6794275570378343,-0.6792604937696449,-0.7263830619476557,-0.7155935165450902,-0.718418290865066,-0.7082646061974034,-0.7091578387680022,-0.7128117638649074,-0.7090376005480721,-0.7082306245508574,-0.703768018119241
299,0.5910912284569138,0.24470046483837002,0.2112174591539433,-0.3415741809435319,-0.5533355531309059,-0.5533323223803663,-0.5537898314219645,-0.5537871060380464,-0.5540635986636,-0.5475899880426573,-0.6450826219774355,-0.5532222549855441,-0.6986351759197096,-0.6919761041516044,-0.6813788212305059,-0.6781755574609671,-0.6780084941927778,-0.7245901023963799,-0.7137597325430423,-0.7165917039897243,-0.7064747390674768,-0.7073679716380756,-0.7111451013945564,-0.7073725242000395,-0.706565874778498,-0.7021160128247934
300,0.5928857723146292,0.24470046483837002,0.21052452704547583,-0.3402322063778654,-0.5516432439728522,-0.5516391270722312,-0.5524820831830011,-0.5524798629694638,-0.5527538869085447,-0.5459824790873191,-0.6440250432844286,-0.5513019062900295,-0.6958616200081662,-0.6892166705738891,-0.6786418620114247,-0.6754749288652881,-0.6753078655970988,-0.7208166147124597,-0.7099812612592236,-0.7128279160028117,-0.7027864264163521,-0.703679658986951,-0.7077119873539364,-0.7039426686625299,-0.703136695890459,-0.6987130362653704
