,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_10,eq_complex_15,eq_complex_17,eq_complex_19
247,0.4977749478557114,-0.0025994080798596164,-0.0025990078260014725,-0.002599059297386741,-0.0022451567241984893,-0.0025994119375030503,-0.0024990367935082917,-0.002477169375289681,-0.0029249889351514666,-0.0025456003899562724,-0.002817027868702639,-0.0027962823247770427
248,0.49956949171342685,0.0008793825222703899,0.0008796763283934108,0.0008796385458515448,0.0013619812863780844,0.0008793809964690921,0.0009530831393700506,0.0009691446832377545,0.0005218773323083271,0.0009000952694405411,0.000628751603985199,0.0006498874138931039
249,0.5013640355711423,0.004358173124400399,0.004358360482788293,0.004358336389089831,0.005114960549027206,0.004358172728728833,0.0044051817894967035,0.004415428462367384,0.003968864196707283,0.0043457397546236886,0.004074571434600534,0.00409611197618422
250,0.5031585794288578,0.007836963726530515,0.007837044637183283,0.007837034232328224,0.009589396403873919,0.007836963694664151,0.0078572668644681,0.007861692927599856,0.007415982386374859,0.007791343056564062,0.007520441554965125,0.007542402041767045
251,0.5049531232865732,0.011315754328660416,0.011315728791578057,0.0113157320755664,0.005763417931209901,0.011315754329662326,0.011309346076225094,0.011307949050950544,0.010863242585340245,0.011236915112428162,0.010966371812239828,0.010988768255889785
252,0.5067476671442885,0.014794544930790316,0.014794412945972831,0.014794429918804579,0.01372025112517874,0.014794545069111065,0.014761427138585602,0.014754207807249302,0.014310655429729278,0.014682465797150317,0.014412371960527174,0.014435221225148686
253,0.508542211002004,0.01827333553292043,0.018273097100367824,0.01827312776204297,0.017678658043184307,0.01827333634839811,0.018213517764775262,0.018200480170437825,0.01775823150417604,0.0181280049145508,0.017858451652030254,0.017881771513228846
254,0.5103367548597194,0.021752126135050332,0.021751781254762598,0.021751825605281147,0.02134099660141372,0.02175212860291074,0.021665625664958117,0.021646777109867163,0.021205981338251707,0.021573542187951322,0.021304620427719346,0.02132842963661483
255,0.5121312987174349,0.025230916737180448,0.025230465409157587,0.025230523448519542,0.0249167539449874,0.02523092226803745,0.02511775854377028,0.02509310958659893,0.02465391540291411,0.025019087250233496,0.024750887707451905,0.02477520606027135
256,0.5139258425751503,0.028709707339310345,0.02870914956355236,0.028709221291757722,0.028455500393550076,0.02870971777916634,0.028569924097851824,0.028539488549706126,0.02810204410697387,0.028464649633270563,0.028197262779476144,0.028222111193286246
257,0.5157203864328658,0.032188497941440464,0.03218783371794735,0.03218791913499612,0.03197502992453477,0.03218851557168703,0.03202213001338427,0.031985924932581386,0.03155037779358492,0.0319102387566657,0.031643754789251514,0.03166915538447972
