,theta,rho,rho_nn
0,0.0,204.12414523193152,204.01898833550513
1,0.06283185307179587,192.40677880870788,192.33350139685285
2,0.12566370614359174,182.31222338509116,182.47002066132427
3,0.1884955592153876,173.84937105835493,173.7957143360768
4,0.25132741228718347,166.9757468461845,166.81932015420443
5,0.3141592653589793,161.6273749717225,161.60545437896118
6,0.3769911184307752,157.73824891359786,157.65893869668548
7,0.4398229715025711,155.25233581738453,155.29339089654604
8,0.5026548245743669,154.13055939892104,154.3254615609742
9,0.5654866776461628,154.35450031465894,154.51221675380202
10,0.6283185307179586,155.92787363639943,156.18404370103923
11,0.6911503837897546,158.87624338414597,158.61372913890045
12,0.7539822368615504,163.2448833020546,163.0497670845366
13,0.8168140899333463,169.09413195577133,169.07884573612955
14,0.8796459430051422,176.4909647498782,176.75424849322098
15,0.942477796076938,185.49480492741003,185.43887635998271
16,1.0053096491487339,196.1349224184167,196.05735182762146
17,1.0681415022205298,208.3764668812065,208.83031838573515
18,1.1309733552923256,222.07302258376373,222.0158795718712
19,1.1938052083641215,236.90691409878178,237.73738084842012
20,1.2566370614359172,252.3260410919737,250.74405074119568
21,1.3194689145077132,267.4984998770447,266.6103946864605
22,1.3823007675795091,281.3202799538261,281.75071813026443
23,1.4451326206513049,292.51579544861204,292.2397228398477
24,1.5079644737231008,299.8489213098376,300.07353851230437
25,1.5707963267948968,302.40614108434295,302.4361952499612
26,1.6336281798666925,299.8489213098376,300.10351266132784
27,1.6964600329384885,292.51579544861204,292.3058155194158
28,1.7592918860102844,281.320279953826,281.17871516154264
29,1.8221237390820801,267.4984998770447,267.0343053638935
30,1.884955592153876,252.32604109197362,251.07479882240295
31,1.9477874452256718,236.90691409878167,237.61606560557448
32,2.0106192982974678,222.07302258376367,222.0187541597261
33,2.0734511513692637,208.37646688120648,208.78010273864493
34,2.1362830044410597,196.13492241841664,195.92587518692017
35,2.199114857512855,185.49480492741003,185.46671888823482
36,2.261946710584651,176.4909647498782,176.70822890494242
37,2.324778563656447,169.09413195577127,169.04034089885363
38,2.387610416728243,163.2448833020546,163.35276205997116
39,2.450442269800039,158.87624338414597,158.61478955623716
40,2.5132741228718345,155.92787363639943,156.05363080749703
41,2.5761059759436304,154.35450031465894,154.59611240093773
42,2.6389378290154264,154.13055939892104,154.17093240782538
43,2.7017696820872223,155.25233581738453,155.37284956112762
44,2.7646015351590183,157.7382489135979,157.6671649081651
45,2.8274333882308142,161.6273749717225,161.58108882546958
46,2.8902652413026098,166.9757468461845,166.88122414325971
47,2.9530970943744057,173.8493710583549,173.82292002191878
48,3.0159289474462017,182.31222338509116,182.256123719426
49,3.0787608005179976,192.40677880870794,192.7248278818006
50,3.1415926535897936,204.12414523193164,204.00992325134575
51,3.204424506661589,217.36120972803593,217.2556949624759
52,3.267256359733385,231.86452864666865,232.58601262583397
53,3.330088212805181,247.16666483051006,246.2151480121538
54,3.392920065876977,262.5316006498216,263.3848553064863
55,3.455751918948773,276.9401686667944,275.9776062425226
56,3.518583772020569,289.15585957039946,289.15472354753
57,3.5814156250923643,297.89992036680786,298.4251838824125
58,3.6442474781641603,302.1190996251813,301.9458540839496
59,3.7070793312359562,301.26236078554695,300.9609596207738
60,3.769911184307752,295.443893165059,295.4682779841678
61,3.832743037379548,285.40834918435854,285.9492185115814
62,3.8955748904513436,272.3168639512567,272.7223023846282
63,3.9584067435231396,257.46035172688306,256.9243389285839
64,4.0212385965949355,242.01668389682425,243.09875536652225
65,4.084070449666731,226.91315177974673,227.36334897577763
66,4.1469023027385274,212.79186010025305,212.6483071334378
67,4.209734155810323,200.04190628438164,199.75708150397986
68,4.272566008882119,188.8597079105928,188.73031599650994
69,4.335397861953915,179.3113507649865,179.61780194895846
70,4.39822971502571,171.38452411457544,171.29053196217978
71,4.461061568097507,165.02684306659862,165.2534028910468
72,4.523893421169302,160.1719177458663,159.8929473457424
73,4.586725274241099,156.75602404804093,156.85213650899004
74,4.649557127312894,154.72819645309335,154.83899204692602
75,4.71238898038469,154.0559586656087,154.24622420959622
76,4.775220833456486,154.72819645309335,154.8692053989107
77,4.838052686528282,156.75602404804096,156.75016176098893
78,4.900884539600078,160.17191774586638,159.87619095992522
79,4.9637163926718735,165.02684306659873,165.15748707254443
80,5.026548245743669,171.38452411457536,171.40219509173994
81,5.089380098815465,179.31135076498666,179.47918030672554
82,5.152211951887261,188.85970791059293,188.72414584979697
83,5.215043804959057,200.0419062843817,199.82404115982354
84,5.277875658030853,212.7918601002531,212.47636539249606
85,5.340707511102649,226.9131517797468,227.33818277716637
86,5.403539364174445,242.0166838968243,242.63494026497983
87,5.46637121724624,257.4603517268829,258.42343165416514
88,5.529203070318037,272.31686395125695,272.5913206553241
89,5.592034923389832,285.4083491843587,286.10889518260956
90,5.6548667764616285,295.44389316505925,295.45178435240086
91,5.717698629533424,301.26236078554695,301.061537518166
92,5.7805304826052195,302.1190996251813,302.0259878293549
93,5.843362335677016,297.89992036680775,298.38283006601625
94,5.906194188748811,289.15585957039946,289.11891504705454
95,5.969026041820608,276.94016866679425,275.9768435601145
96,6.031857894892403,262.53160064982154,262.72273762353143
97,6.094689747964199,247.16666483051014,245.92894783616066
98,6.157521601035995,231.86452864666845,232.5948823739309
99,6.220353454107791,217.36120972803587,217.60299373996895
