,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_6,eq_complex_8,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_25,eq_complex_26,eq_complex_28,eq_complex_29,eq_complex_30,eq_complex_31,eq_complex_32,eq_complex_33,eq_complex_34,eq_complex_35,eq_complex_36
173,0.36497870238476954,0.1666382252141244,0.22690573902815633,0.49571554189776135,0.6200822169473602,0.62055585075835,0.6091295951574083,0.6057691247604318,0.6064481303591098,0.6045483506875007,0.7187322293485294,0.6643797023171067,0.6652110219877616,0.6662760713124691,0.6663119181807473,0.6972191356790624,0.6646873165262991,0.6669571943098043,0.6669953403312373,0.666396899842031,0.666529617933515,0.6665617879408068,0.6663265733020365,0.6661785766722097,0.6660142551579143,0.6660134977371506,0.6658961563959142,0.6658962792060523,0.6658953995490317,0.6665225467728626
174,0.366773246242485,0.1666382252141244,0.22613066637567977,0.5145403224773648,0.6455183107940065,0.6459852225622198,0.6348073218238757,0.6304600495185947,0.63132701875659,0.6292243137978185,0.7366828252514827,0.6838452875321801,0.6844627649852102,0.6850089976986886,0.6847986603565237,0.7144248271088763,0.6822173225041669,0.6852154815469582,0.6852725994240356,0.6846405558649153,0.6846035982053387,0.6846469569309995,0.6848688652562738,0.684494151704391,0.6842114672346356,0.6842107676017225,0.6840270662694821,0.6840241016932703,0.6840227873900683,0.6846503105225624
175,0.3685677901002004,0.1666382252141244,0.22535559372320324,0.532971818381377,0.6704160641419162,0.6708759304590353,0.659958748860904,0.6546412926389015,0.6557188142514198,0.653404392947837,0.7537372305157392,0.7027075860881103,0.7031184072795101,0.7031305425500455,0.7026727309905528,0.7309785151361922,0.6991484355474364,0.7029196950975976,0.7029958667756797,0.702330930867531,0.7021149184274796,0.7021696106008771,0.7027991758405908,0.7021993060878828,0.7017990899525545,0.7017987786358143,0.7015490214649471,0.70154079631527,0.7015390748736683,0.7021669177752659
176,0.37036233395791585,0.1666382252141244,0.22458052107072668,0.5509891939239182,0.6947474879235361,0.6952000037632792,0.6845556020310322,0.6782854575944604,0.6795961464473698,0.6770615314766317,0.7699111843612811,0.7209603248269318,0.7211708921768708,0.7206336651085502,0.7199265706987631,0.7468659081563763,0.7154637572255361,0.7200561546327938,0.7201515614493076,0.7194544808998324,0.7190491300632635,0.7191153562622009,0.7201067572080352,0.7192843301499497,0.7187678288986694,0.718768186307173,0.7184529045202432,0.7184372390118793,0.7184351425481226,0.7190632401175178
177,0.3721568778156312,0.1666382252141244,0.22380544841825017,0.5685720815570056,0.718485229716563,0.7189301085394212,0.7085702305267585,0.7013657380905579,0.7029321748677,0.7001692301212075,0.7852225302856537,0.7385972202751205,0.7386132563856446,0.7375115716216755,0.7365530067424794,0.7620739024082245,0.7311473012651808,0.7366115267099472,0.7367264303962192,0.7359979890591537,0.7353922694836267,0.7354702747345918,0.7367815910817107,0.7357401964252448,0.7351090705894685,0.7351103301343094,0.7347302859016049,0.7347049935629714,0.7347025581015163,0.735330836118861
178,0.37395142167334666,0.1666382252141244,0.22303037576577361,0.5857006048948329,0.7416026044924603,0.7420395783181635,0.7319756380544884,0.7238559484243617,0.7257006176944564,0.7227015756446614,0.7996909505642139,0.7556120949114933,0.7554387501102822,0.7537578895143029,0.7525454396642934,0.7765910100050603,0.7461843629061605,0.7525730720941229,0.7527077955510308,0.7519488125447166,0.75113112970478,0.7512211918425168,0.7528145578243889,0.7515587387729423,0.750815066363494,0.7508174167187448,0.750373609836819,0.7503365037883762,0.7503337685120091,0.7509621438844277
179,0.3757459655310621,0.1666382252141244,0.22225530311329705,0.6023554011828121,0.7640736246147023,0.7645024440626111,0.7547455131826925,0.7457305531626003,0.7478757799113195,0.7446332688090422,0.8133376999516304,0.7719989912243079,0.7716409531130082,0.7693668308669598,0.7678980162844832,0.7904077569709552,0.760561872338083,0.7679288794129281,0.7680837872648952,0.7672951160511963,0.7662535176845553,0.7663559354723456,0.7681976028012374,0.7667328224565944,0.7658791034485158,0.7658826901097558,0.7653763652056633,0.7653252710874784,0.7653222775301619,0.7659506589467885
180,0.37754050938877753,0.1666382252141244,0.22148023046082052,0.6185176431859931,0.7858730290530491,0.7862934633507255,0.7768542589201772,0.7669646961036379,0.7694325808218949,0.7659396516633195,0.8261853412619264,0.7877522799587667,0.7872138832375859,0.7843333406705506,0.7826057843568912,0.8035170419706513,0.7742687255004608,0.7826680815920549,0.7828435605595938,0.782026087984195,0.7807484930277604,0.7808635740656646,0.7829238940484426,0.7812564996180662,0.7802956580084316,0.780300584345695,0.7797332365547001,0.7796660120474463,0.7796628032317172,0.7802910922234733
181,0.37933505324649297,0.1666382252141244,0.220705157808344,0.6341690604721084,0.8069763117809952,0.8073881487412438,0.7982770214912087,0.7875342284911216,0.7903465809160929,0.7865967341176886,0.8382574852975054,0.8028667593599115,0.8021520942956429,0.7986532258982798,0.7966648247972126,0.8159144463173962,0.7872960847446588,0.796781051377103,0.7969774905487084,0.7961321358438751,0.7946065837037971,0.7947346321816507,0.7969879651968007,0.7951251449171156,0.7940605254680696,0.7940668534929152,0.7934402308575267,0.7933547913839054,0.7933514109146854,0.793979503299271
182,0.3811295971042084,0.1666382252141244,0.21993008515586743,0.6492919600651856,0.8273597493244724,0.8277627952911958,0.8189897182751408,0.8074157364472033,0.8105940080580971,0.8065812197763519,0.8495785373620682,0.8173377426572689,0.8164507606625276,0.8123232620679283,0.8100723580819481,0.8275984860835714,0.7996376412650954,0.8102595721774699,0.8104773433056535,0.8096050570565714,0.8078199742239223,0.8079612786079092,0.8103858377835282,0.8083355666007831,0.8071709240240085,0.8071786750981589,0.8064947762981846,0.8063891261256247,0.8063856172617581,0.8070134049381794
