,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_6,eq_complex_8,eq_complex_9,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_24,eq_complex_25,eq_complex_27,eq_complex_28,eq_complex_29,eq_complex_30,eq_complex_32,eq_complex_33,eq_complex_34,eq_complex_35,eq_complex_36,eq_complex_37,eq_complex_43,eq_complex_44,eq_complex_47,eq_complex_48,eq_complex_49,eq_complex_50,eq_complex_51,eq_complex_53,eq_complex_61,eq_complex_62,eq_complex_63,eq_complex_65,eq_complex_66,eq_complex_68,eq_complex_87,eq_complex_88
0,0.054522615,-0.15533980433711161,-0.1553282645325063,-0.15528495113794918,-0.15532043940028387,-0.15535658953175127,-0.15533784299244827,-0.15533758891617075,-0.15538079488894482,-0.15538082766772698,-0.15537997399527423,-0.15537988031854547,-0.1553774802036058,-0.15536198836515752,-0.155362338018581,-0.15535444223326617,-0.15535460277807148,-0.15535449349714517,-0.15535446406319275,-0.1553544996262341,-0.1553544701800002,-0.1553533170744045,-0.15535331598192983,-0.15535466172268633,-0.15535331947362085,-0.15535350931093042,-0.1553535093109304,-0.15535479016059692,-0.15535382365633474,-0.15535372742836004,-0.15535526894900037,-0.15535256928899666,-0.1553545088038516,-0.15535340345440204,-0.15535467319024243,-0.15535134219356808,-0.15535519394927025,-0.1553570718745886,-0.15535728965847495,-0.15532993844611745,-0.15533883296659443,-0.15533894377372823,-0.15533991355422994,-0.15533991085107599,-0.15533990033270847,-0.15530556047711697,-0.15530370541027025
1,0.05631715885771543,-0.15533980433711161,-0.15532818497620354,-0.155285565586992,-0.15532127723098996,-0.15535672481892104,-0.1553377848269828,-0.15533752321625377,-0.1553805359964138,-0.15538056594535182,-0.15537980190823758,-0.15537970153400885,-0.15537733270525728,-0.1553621082324149,-0.15536245820928415,-0.15535450478979243,-0.1553546701531577,-0.15535455718363986,-0.15535452766501787,-0.15535456357249508,-0.15535453404108968,-0.15535350026536157,-0.15535349919895966,-0.15535473147144446,-0.15535352229609573,-0.15535370858059447,-0.15535370858050598,-0.15535503789027913,-0.15535405607981764,-0.15535395750161313,-0.15535550200342488,-0.15535255710764864,-0.15535455583629085,-0.15535335922503463,-0.15535465559557088,-0.15535130021804308,-0.15535514418759833,-0.15535697563128928,-0.1553571908802226,-0.1553309214187934,-0.15533981905513855,-0.15533992895107118,-0.15534089005814994,-0.15534088719422018,-0.1553408767651677,-0.15531088815061572,-0.1553090672008288
2,0.05811170271543087,-0.15533980433711161,-0.15532810488321083,-0.15528619467411672,-0.15532211215775904,-0.15535686033813287,-0.15533772782641217,-0.15533745883212605,-0.15538028275610272,-0.15538031002379077,-0.1553796314219292,-0.1553795243466675,-0.15537718626417088,-0.15536222782078335,-0.15536257806165435,-0.15535456766756633,-0.15535473808698738,-0.15535462140450979,-0.155354591798684,-0.15535462805462624,-0.1553545984355128,-0.1553536832595118,-0.15535368221924817,-0.15535480158860113,-0.15535372403113168,-0.1553539065431595,-0.15535390654252518,-0.1553552844600046,-0.1553542874472777,-0.15535418649281207,-0.15535573383820886,-0.1553525500601491,-0.15535460736527587,-0.15535331895924276,-0.15535464206145846,-0.1553512618562471,-0.15535509863633937,-0.1553568838582282,-0.15535709659199767,-0.15533229670020993,-0.15534116577418156,-0.15534127437237097,-0.1553422261519864,-0.15534222309431944,-0.15534221279305802,-0.1553158739423488,-0.15531410574585053
3,0.0599062465731463,-0.15533980433711161,-0.15532802425015693,-0.15528683822954412,-0.15532294396801102,-0.15535699607948217,-0.15533767202188636,-0.15533739579897257,-0.15538003509162523,-0.1553800598231118,-0.15537946253032334,-0.1553793487496726,-0.15537704088273316,-0.1553623471184019,-0.15536269756254406,-0.15535463086940113,-0.1553548065855721,-0.15535468616538586,-0.15535465646979646,-0.15535469307828245,-0.15535466336889875,-0.15535386603912593,-0.15535386502505885,-0.15535487207168613,-0.1553539246444359,-0.1553541031654635,-0.15535410316342632,-0.1553555297959539,-0.15535451768957434,-0.15535441433291788,-0.15535596438721075,-0.1553525481075346,-0.15535466332929337,-0.15535328262611556,-0.15535463255131884,-0.1553512270805349,-0.15535505725143564,-0.1553567964986145,-0.15535700673699818,-0.1553340261003341,-0.15534280932546887,-0.15534291625661026,-0.155343860777124,-0.15534385749449015,-0.15534384735837853,-0.15532048397419124,-0.15531878347558625
4,0.06170079043086173,-0.15533980433711161,-0.15532794307365483,-0.1552874960795903,-0.15532377245544404,-0.1553571320329136,-0.15533761744492727,-0.1553373341523984,-0.15537979292810208,-0.15537981526502648,-0.15537929522711835,-0.1553791747358906,-0.15537689656294174,-0.15536246611333268,-0.15536281669871052,-0.15535469439802863,-0.1553548756548988,-0.15535475147187305,-0.15535472168393413,-0.15535475864909265,-0.15535472884685025,-0.1553540485866382,-0.15535404759881866,-0.15535494291793384,-0.15535412410248564,-0.1553542984152326,-0.15535429841057002,-0.15535577382518836,-0.15535474673841612,-0.15535464095374266,-0.1553561935851588,-0.15535255121183703,-0.1553547236675314,-0.15535325019581492,-0.15535462702910874,-0.1553511958644114,-0.15535501998975113,-0.1553567134968852,-0.15535692125964431,-0.15533605368936068,-0.15534466495369706,-0.15534476988898874,-0.1553457123941495,-0.1553457088591097,-0.15534569892226371,-0.15532470095842701,-0.15532307933371642
5,0.06349533428857716,-0.15533980433711161,-0.15532786135030172,-0.1552881680467135,-0.15532459741997917,-0.15535726818822038,-0.15533756412744779,-0.15533727392845026,-0.15537955619214464,-0.15537957627287008,-0.15537912950574845,-0.15537900229791501,-0.1553767533064153,-0.1553625847935618,-0.15536293545681673,-0.15535475825609746,-0.15535494530092928,-0.15535481732954975,-0.15535478744664905,-0.1553548247726593,-0.1553547948749432,-0.15535423088465292,-0.1553542299231246,-0.15535501412428132,-0.15535432237254795,-0.1553544922610991,-0.15535449225225995,-0.1553560164757063,-0.15535497452641658,-0.15535486628800538,-0.15535642136769967,-0.15535255933604966,-0.1553547883198412,-0.15535322163956325,-0.15535462545929302,-0.1553511681825259,-0.1553549868090472,-0.15535663479868866,-0.15535684010556222,-0.15533830681434282,-0.15534663198783677,-0.1553467346691237,-0.15534768365795357,-0.155347679848838,-0.1553476701392713,-0.15532852190538277,-0.15532698675660644
6,0.06528987814629258,-0.15533980433711161,-0.1553277790766791,-0.155288853949562,-0.15532541866770266,-0.15535740453504343,-0.15533751210177113,-0.15533721516363835,-0.15537932481183842,-0.15537934277158144,-0.1553789653593953,-0.15537883142807776,-0.15537661111440348,-0.1553627031470006,-0.15536305382343224,-0.15535482244617127,-0.1553550155295995,-0.15535488374396747,-0.15535485376346572,-0.15535489145455791,-0.15535486145872607,-0.15535441291595103,-0.1553544119807503,-0.15535508568736725,-0.1553545194226987,-0.15535468467261818,-0.15535468465776267,-0.15535625767649805,-0.15535520098714928,-0.15535509026938654,-0.15535664767144622,-0.1553525724440914,-0.15535485722669926,-0.15535319692963054,-0.15535462780680895,-0.15535114401066571,-0.15535495766795773,-0.15535656035086776,-0.15535676322156733,-0.1553406990247231,-0.15534860169828865,-0.15534870197108092,-0.1553496688039922,-0.15534966470652115,-0.15534965524288782,-0.1553319553485143,-0.1553305110862113
7,0.06708442200400802,-0.15533980433711161,-0.15532769624935291,-0.15528955360302307,-0.1553262360108051,-0.1553575410628705,-0.15533746140064986,-0.15533715789495786,-0.1553790987167262,-0.15537911468768278,-0.15537880278099883,-0.1553786621184603,-0.15537646998779658,-0.1553628211614868,-0.15536317178503392,-0.15535488697072694,-0.15535508634681905,-0.15535495072065017,-0.15535492063988082,-0.1553549587003365,-0.15535492860371938,-0.1553545946634966,-0.15535459375465266,-0.15535515760353127,-0.15535471522184105,-0.1553548756202842,-0.15535487559732689,-0.1553564973575999,-0.15535542605520183,-0.15535531283258175,-0.15535687243402393,-0.1553525905007693,-0.15535493032916914,-0.15535317603932058,-0.15535463403702995,-0.1553511233257497,-0.15535493252596333,-0.15535649010144265,-0.15535669055564735,-0.15534313513686981,-0.15535046730290758,-0.15535056514535245,-0.15535156315133325,-0.15535155875959938,-0.15535154954816138,-0.1553350184727897,-0.15533366680436153
8,0.06887896586172346,-0.15533980433711161,-0.15532761286487345,-0.15529026681827296,-0.1553270492675183,-0.15535767776103537,-0.1553374120572851,-0.15533710215991056,-0.15537887783779103,-0.1553788919492595,-0.15537864176326804,-0.15537849436090426,-0.1553763299271352,-0.15536293882478547,-0.15536328932800708,-0.1553549518321527,-0.1553551577584703,-0.1553550182650936,-0.15535498808136236,-0.15535502651551483,-0.15535499631541502,-0.15535477611044327,-0.15535477522797797,-0.15535522986881456,-0.15535490973972282,-0.15535506507554592,-0.15535506504220145,-0.15535673545014678,-0.15535564966622867,-0.15535553391335413,-0.1553570955941166,-0.15535261347173915,-0.15535500756886358,-0.15535315894295676,-0.1553546441157288,-0.15535110610582128,-0.15535491134336518,-0.1553564239995932,-0.15535662205694514,-0.15534551819133152,-0.1553521346940585,-0.15535223023327743,-0.1553532733846907,-0.1553532687012882,-0.15535325973392053,-0.1553377344276476,-0.15533647488226487
9,0.07067350971943888,-0.15533980433711161,-0.15532752891977553,-0.15529099340282787,-0.15532785826204928,-0.15535781461871712,-0.15533736410534535,-0.15533704799652626,-0.1553786621074391,-0.1553786744859398,-0.15537848229869125,-0.15537832814702163,-0.1553761909326194,-0.15536305612459045,-0.15536340643864632,-0.15535501703274632,-0.15535522977040767,-0.15535508638276485,-0.15535505609334907,-0.15535509490558397,-0.15535506459927562,-0.1553549572401404,-0.15535495638406832,-0.15535530247896087,-0.15535510294695368,-0.15535525301082112,-0.155355252964653,-0.15535697188642353,-0.15535587175700252,-0.15535575344858554,-0.15535731709151038,-0.15535264132346452,-0.1553550888879068,-0.15535314561586683,-0.1553546580090404,-0.1553510923300408,-0.15535489408125788,-0.15535636199564135,-0.15535655767574116,-0.15534775748288587,-0.15535353205179858,-0.15535362555985308,-0.15535472684920795,-0.15535472188442717,-0.15535471313843674,-0.15534012999678556,-0.1553389604350445
