,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_8,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_24,eq_complex_25,eq_complex_26,eq_complex_28,eq_complex_29,eq_complex_30,eq_complex_31,eq_complex_32,eq_complex_34,eq_complex_35,eq_complex_36,eq_complex_37,eq_complex_38,eq_complex_39,eq_complex_40,eq_complex_41,eq_complex_42,eq_complex_43,eq_complex_44,eq_complex_45,eq_complex_47,eq_complex_48,eq_complex_49,eq_complex_50,eq_complex_51,eq_complex_53,eq_complex_54,eq_complex_55,eq_complex_56,eq_complex_57,eq_complex_58,eq_complex_59,eq_complex_60,eq_complex_61
380,0.7364492809318637,-0.15533980403372086,-0.15529776289476352,-0.15528512912815987,-0.15528237312013787,-0.15528428006866715,-0.15526091581666804,-0.155225634542008,-0.1552412358131738,-0.15525046685326482,-0.15525583000952414,-0.15528779438746623,-0.1552668452368575,-0.15526775886384078,-0.15525743532857997,-0.1552556173260392,-0.15525953119707092,-0.15526387314884504,-0.15527056647842966,-0.15526895048660222,-0.15526675097934972,-0.15527070241563456,-0.1552659433732589,-0.15526927715527203,-0.15526015822319095,-0.15526998773203723,-0.15525645539125438,-0.15525582564337953,-0.15525767055027503,-0.1552577075205971,-0.15525974081462915,-0.15526799114686202,-0.1552663580724886,-0.15526619498880256,-0.1552710436351926,-0.15526683552579684,-0.15526517617195695,-0.15526596626532743,-0.1552703188540891,-0.1552708034113846,-0.15526957080628995,-0.155275370314185,-0.1552745126482159,-0.15527335876250653,-0.15527325921628263,-0.15527622880875797,-0.15527302218931135,-0.15527132776582028,-0.15527297157439773,-0.15527151297925065,-0.15527301240930527,-0.15527306081589493,-0.15527311364854088,-0.15527357866186153
381,0.7382438247895792,-0.15533980403372086,-0.15529864139705654,-0.1552857612155741,-0.1552829110189667,-0.15528511659690383,-0.15526210434988003,-0.15522739080889206,-0.15524245892369837,-0.15525202401861898,-0.15525732114222077,-0.15528983069007707,-0.15526856619296558,-0.15526961942847206,-0.1552590771489515,-0.15525691120833143,-0.15526083953572692,-0.15526527516803248,-0.1552719839585428,-0.15527036462964405,-0.15526817356164085,-0.15527219722560756,-0.15526749004955348,-0.15527096567836263,-0.15526179046961547,-0.1552716580409037,-0.15525818766795846,-0.15525750882247116,-0.15525922308664827,-0.15525925839568813,-0.15526118824920146,-0.15526991753772773,-0.15526825700767105,-0.15526809213297113,-0.1552727405950274,-0.15526857862027837,-0.15526688627721447,-0.155267722763562,-0.15527190062983623,-0.15527241327863847,-0.15527107636134907,-0.15527666600471784,-0.15527582550531788,-0.15527486043156324,-0.1552747164169116,-0.1552775233188067,-0.15527446979370046,-0.1552728105975074,-0.15527442940546235,-0.15527298956131777,-0.15527448880282269,-0.15527453969844635,-0.15527459310228872,-0.15527494172103345
382,0.7400383686472946,-0.15533980403372086,-0.15529953816188102,-0.15528640851649328,-0.1552834637924984,-0.15528598544665922,-0.15526333880526988,-0.1552292022562766,-0.155243724506346,-0.15525360982301645,-0.1552588365588947,-0.15529186536692982,-0.15527030054016244,-0.1552714929855522,-0.15526073697081785,-0.1552582245251411,-0.15526216465574114,-0.15526669303108978,-0.15527341403816322,-0.1552717814946207,-0.15526960023088418,-0.155273694922992,-0.1552690405030877,-0.1552726565358294,-0.15526343967603787,-0.1552733279278361,-0.15525993666886018,-0.1552592091991397,-0.1552607900376691,-0.15526082337568334,-0.1552626495030749,-0.15527184488316687,-0.15527015970420724,-0.1552699934778737,-0.15527443889112705,-0.15527032117783965,-0.1552685982158792,-0.15526948139175642,-0.15527348269897412,-0.1552740235963589,-0.15527258151983273,-0.1552779739682711,-0.15527715079172902,-0.15527636661495656,-0.15527617887915404,-0.15527882491920766,-0.1552759181702568,-0.15527429488608444,-0.1552758877982783,-0.15527446645158471,-0.15527596542043307,-0.1552760186967462,-0.15527607272900132,-0.15527631321326654
383,0.74183291250501,-0.15533980403372086,-0.15530045321796437,-0.1552870708486981,-0.15528403129621118,-0.15528688651978004,-0.1552646190433821,-0.15523106764558034,-0.15524503313647098,-0.1552552235001951,-0.15526037558388464,-0.1552938972821184,-0.15527204761168115,-0.1552733786906884,-0.15526241418420048,-0.1552595569853936,-0.15526350618145915,-0.15526812627814,-0.15527485622858328,-0.15527320080108067,-0.15527103071167792,-0.15527519517469518,-0.15527059433585658,-0.1552743490553817,-0.15526510544687172,-0.15527499691309873,-0.155261700751703,-0.15526092525858404,-0.15526237051579617,-0.1552624015732111,-0.15526412385321015,-0.15527377168877932,-0.15527206480288247,-0.15527189767741134,-0.1552761376894921,-0.15527206248065395,-0.1552703114133018,-0.155271241412882,-0.15527506469920993,-0.15527563390468843,-0.15527408626240696,-0.1552792939453541,-0.15527848824486445,-0.1552778768575217,-0.15527764627367868,-0.1552801335623076,-0.15527736715918947,-0.15527578039393522,-0.15527734666255932,-0.15527594347510074,-0.15527744210976957,-0.15527749765711038,-0.15527755236476726,-0.15527769263030836
384,0.7436274563627254,-0.15533980403372086,-0.15530138658355852,-0.15528774802573797,-0.155284613381732,-0.15528781969271963,-0.1552659448886825,-0.15523298567055407,-0.15524638537280008,-0.15525686426106158,-0.15526193753901588,-0.15529592533335868,-0.15527380674278807,-0.15527527571417604,-0.15526410818378825,-0.155260908290524,-0.15526486373002266,-0.15526957444257738,-0.15527631003675704,-0.15527462226842914,-0.15527246472790954,-0.15527669764789917,-0.15527215115288703,-0.15527604257891028,-0.15526678735829577,-0.15527666453483063,-0.15526347828013437,-0.1552626554930973,-0.15526396364669515,-0.15526399211630734,-0.15526561059226898,-0.15527569648546236,-0.15527397095842482,-0.15527380339649424,-0.1552778361678137,-0.15527380181251502,-0.1552720252885428,-0.15527300207816205,-0.1552766462664179,-0.1552772437388072,-0.15527559056330426,-0.15528062556809,-0.15527983749237892,-0.15527939065781995,-0.15527911821797516,-0.1552814491406491,-0.15527881658487225,-0.15527726687354873,-0.15527880590561477,-0.15527742046075832,-0.15527891872104518,-0.155278976429107,-0.15527903184957076,-0.15527907945952898
385,0.7454220002204408,-0.15533980403372086,-0.15530233826600467,-0.15528843985698335,-0.15528520989687541,-0.15528878481603622,-0.1552673161288453,-0.15523495495854278,-0.15524778174911566,-0.1552585312940619,-0.15526352174407798,-0.15529794845215833,-0.15527557727025704,-0.15527718324027678,-0.15526581836828887,-0.1552622781346982,-0.15526623691165384,-0.15527103705142697,-0.15527777496570253,-0.1552760456160666,-0.15527390200289953,-0.15527820201023712,-0.1552737105623078,-0.1552777364625633,-0.15526848495880935,-0.15527833034877137,-0.15526526762724502,-0.1552643984053297,-0.1552655685697218,-0.15526559414894334,-0.15526710902878177,-0.1552776178339662,-0.15527587684351696,-0.15527570931499182,-0.15527953351763912,-0.1552755384614974,-0.15527373925646493,-0.15527476263038872,-0.15527822703584881,-0.15527885263086916,-0.15527709439014928,-0.15528196837015973,-0.15528119806224006,-0.15528090747222228,-0.15528059428015148,-0.15528277149395422,-0.1552802662573581,-0.1552787540684893,-0.155280265432664,-0.15527889724141064,-0.15528039510719874,-0.1552804548656385,-0.15528051102735024,-0.15528047318871474
386,0.7472165440781563,-0.15533980403372086,-0.15530330826128896,-0.1552891461476794,-0.15528582068568347,-0.15528978171390337,-0.15526873251405762,-0.1552369740718969,-0.1552492227655744,-0.1552602237656008,-0.1552651275172952,-0.15529996560392478,-0.15527735853187347,-0.15527910046649773,-0.15526754413980196,-0.1552636662050403,-0.1552676253299458,-0.155272513625709,-0.15527925051490438,-0.15527747056353103,-0.15527534225954873,-0.15527970792997156,-0.15527527217542594,-0.15527943007680675,-0.15527019776994072,-0.1552799939279656,-0.15526706717912378,-0.1552661525115708,-0.15526718443839627,-0.15526720683153225,-0.1552686184872655,-0.15527953432930355,-0.15527778115275598,-0.15527761413165378,-0.15528122894650762,-0.15527727172269098,-0.1552754527299617,-0.15527652230739458,-0.15527980664341529,-0.15528046011202276,-0.1552785977039024,-0.15528332179728851,-0.15528256939335106,-0.15528242671947917,-0.15528207398329302,-0.15528410041600865,-0.15528171597404306,-0.15528024171451504,-0.1552817251471478,-0.15528037365396957,-0.15528187112402386,-0.15528193282300531,-0.15528198974603896,-0.15528187331012044
387,0.7490110879358717,-0.15533980403372086,-0.15530429655358927,-0.15528986669900094,-0.1552864455884663,-0.15529081018363336,-0.15527019375634213,-0.15523904150953197,-0.15525070887971773,-0.15526194082051067,-0.1552667541757899,-0.1553019757880129,-0.15527914986597002,-0.15528102660287527,-0.15526928490321493,-0.1552650721818658,-0.1552690285821581,-0.1552740036808076,-0.15528073618071608,-0.15527889683064208,-0.15527678522048793,-0.1552812150761742,-0.15527683560680833,-0.1552811228064704,-0.15527192528709663,-0.1552816548624476,-0.15526887533840555,-0.15526791634503165,-0.15526881042086932,-0.1552688293414131,-0.15527013830829683,-0.15528144460497265,-0.1552796826065223,-0.15527951656796235,-0.15528292168003516,-0.15527900090097907,-0.1552771651222941,-0.15527828034564053,-0.15528138472703598,-0.15528206571449302,-0.15528010045890805,-0.1552846852181187,-0.1552839508465638,-0.1552839477857092,-0.15528355681031478,-0.15528543566137246,-0.15528316552145469,-0.155281729540833,-0.15528318495103435,-0.15528184953948407,-0.1552833466302803,-0.15528341016095282,-0.15528346785758806,-0.15528327932382782
388,0.7508056317935872,-0.15533980403372086,-0.1553053031148134,-0.1552906013081083,-0.155287084441844,-0.15529186999521452,-0.15527169952890005,-0.15524115570863475,-0.15525224049723466,-0.1552636815825691,-0.15526840103603792,-0.15530397803771578,-0.1552809506109964,-0.1552829608712677,-0.1552710400656229,-0.1552664957389197,-0.15527044625951694,-0.15527550672684268,-0.15528223145676123,-0.15528032413764703,-0.15527823060823004,-0.15528272311890645,-0.155278400474368,-0.15528281405077946,-0.1552736669805394,-0.1552833127589076,-0.1552706905277901,-0.155269688459106,-0.1552704457003786,-0.1552704608733116,-0.15527166784854332,-0.1552833473369582,-0.15528157995472122,-0.15528141537187914,-0.1552846109639273,-0.1552807253138291,-0.155278875849507,-0.1552800359838801,-0.15528296092802235,-0.15528366897370258,-0.15528160260303622,-0.15528605793532188,-0.15528534171593472,-0.15528547002973317,-0.15528504220923425,-0.15528677695185839,-0.15528461467713972,-0.15528321727147654,-0.15528464474511644,-0.15528332474319934,-0.15528482148778763,-0.15528488674270005,-0.15528494521797268,-0.15528469074046153
389,0.7526001756513025,-0.15533980403372086,-0.1553063279041289,-0.15529134976820438,-0.15528773707878926,-0.15529296089086375,-0.15527324946547494,-0.15524331504651456,-0.15525381796254484,-0.15526544515506577,-0.15527006741431662,-0.1553059714202003,-0.15528276010512446,-0.15528490250466082,-0.15527280903577304,-0.1552679365436197,-0.1552718779475198,-0.15527702226904486,-0.15528373583433283,-0.15528175220536825,-0.15527967814532326,-0.15528423172940012,-0.15527996639945446,-0.1552845032233726,-0.1552754222964775,-0.15528496724034155,-0.15527251119350977,-0.15527146743059062,-0.1552720894756946,-0.15527210063977578,-0.15527320648075674,-0.1552852412474776,-0.1552834719803642,-0.15528330932145223,-0.15528629606590197,-0.1552824442940676,-0.15528058433289738,-0.15528178846686158,-0.15528453489249086,-0.15528526943040902,-0.15528310407790488,-0.15528743919681484,-0.15528674124008532,-0.15528699278867836,-0.15528652959878658,-0.1552881239827321,-0.15528606321162494,-0.15528470462678917,-0.15528610442929813,-0.15528479911459694,-0.15528629556150114,-0.15528636243495217,-0.15528642168718157,-0.1552861070833158
