,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_14,eq_complex_15,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_26,eq_complex_29,eq_complex_31,eq_complex_34,eq_complex_36,eq_complex_37
303,0.5982694038877755,0.24464534071129712,0.20845106540705077,-0.33841451702781217,-0.3322795087574179,-0.33227910193792093,-0.541383601667822,-0.5413830476117265,-0.5425047527521685,-0.5425042230076484,-0.5453699362198317,-0.6659384345135262,-0.645310253304411,-0.6196116963534897,-0.6615819378950332,-0.6465851044770927,-0.6704217639133103,-0.6518088906100534,-0.6657115243585503,-0.6572706467618799,-0.6584550586210691,-0.6547718455284022,-0.6853503623686019,-0.6820769635534916,-0.6670740439854055,-0.6653897657403345,-0.6640073346829001
304,0.600063947745491,0.24464534071129712,0.2077582354175904,-0.3400768206670048,-0.3283154678903359,-0.328314979235143,-0.5361376054115594,-0.5361369372949005,-0.537468942448625,-0.5374682989469883,-0.5401731338834068,-0.6582288661625655,-0.6383279205585757,-0.6124165251131775,-0.6558763977544433,-0.6384622641630084,-0.6623856831939428,-0.6440137479611499,-0.6573829820912656,-0.6488498515954901,-0.6500456267040537,-0.6463435831254274,-0.6749198905597322,-0.6707421772371529,-0.6583204360950037,-0.6566040349099853,-0.6552027093532014
305,0.6018584916032064,0.24464534071129712,0.20706540542813007,-0.3412855469888138,-0.3237039119645227,-0.3237033392545688,-0.5300143096504588,-0.5300135243516912,-0.5315543367281186,-0.531553576313559,-0.534093393916214,-0.649226883953125,-0.6301483359431055,-0.6040173790496504,-0.6491195435061625,-0.628977170361491,-0.6529976424828969,-0.6349182799507276,-0.6476608407507236,-0.6390244248236885,-0.640232874771121,-0.6365087120995092,-0.6624773010716996,-0.657337238784284,-0.6480678531419064,-0.6463199902805692,-0.6449014901326222
306,0.6036530354609219,0.24464534071129712,0.20637257543866966,-0.34203975836554795,-0.31845005260453135,-0.318449393738049,-0.5230205946200401,-0.5230196891796546,-0.5247675813386177,-0.5247667010160284,-0.5271373779438318,-0.6389355750536769,-0.6207751220457527,-0.5944180594061099,-0.6412716112391041,-0.618133243974059,-0.6422605458268527,-0.6245285975574468,-0.6365532077614924,-0.6278048102102864,-0.6290269361972858,-0.6252783550665697,-0.6480228389809428,-0.6419084536374908,-0.6363111127671035,-0.6345350939765917,-0.6331032416897389
307,0.6054475793186372,0.24464534071129712,0.20567974544920933,-0.3423388697437842,-0.3125598273166797,-0.31255908031468155,-0.5151643185731889,-0.515163290201355,-0.5171163019897618,-0.517115298932425,-0.5193127336207528,-0.6273590249371446,-0.6102128527448432,-0.5836233559830244,-0.6322889313740543,-0.6059349574229667,-0.6301781792579304,-0.6128519000055968,-0.6240704601169151,-0.615204001229054,-0.6164404574990636,-0.6126662430010787,-0.6316100011274866,-0.6245585206664435,-0.6230489923404745,-0.6212509907579915,-0.6198118653422766
308,0.6072421231763527,0.24464534071129712,0.20498691545974895,-0.3421826490982031,-0.30603989277893656,-0.30603905579052954,-0.5064543089504898,-0.5064531550344686,-0.5086090957844844,-0.5086079673415367,-0.5106280862263854,-0.6145025261199766,-0.5984672142824972,-0.5716392131239894,-0.6221247814766573,-0.5923881052435742,-0.6167554585701913,-0.599896581171415,-0.6102256532426971,-0.6012379212983485,-0.6024889826005111,-0.5986890841791794,-0.613344151429837,-0.6054386290461513,-0.6082858529412913,-0.6064750465416779,-0.6050370626402732
309,0.6090366670340681,0.24464534071129712,0.2042940854702886,-0.3415712176115741,-0.2988976173180608,-0.298896688625584,-0.4969003524615743,-0.4968990705728879,-0.499255521559172,-0.4992542652628266,-0.50109302916077,-0.6003728041923293,-0.5855451800574423,-0.5584729092759197,-0.6107304075785045,-0.5775001339227066,-0.6019987351681517,-0.5856723641326689,-0.5950349492910258,-0.5859258181072062,-0.5871913519022409,-0.5833669460118365,-0.593374387506773,-0.5847348565517143,-0.5920332706894684,-0.590221874949405,-0.5887957724188975
310,0.6108312108917835,0.24464534071129712,0.20360125548082825,-0.3405050495807525,-0.29114107258248495,-0.29114005060646025,-0.4865131840886094,-0.48651177198995504,-0.4890660891431943,-0.48906470271571184,-0.4907181133504574,-0.5849782580283935,-0.5714551967128214,-0.5441332476071818,-0.5980562249242469,-0.5612805367168208,-0.5859161666744059,-0.5701904692336823,-0.5785180527909548,-0.5692906597268772,-0.570570103868377,-0.5667236375163966,-0.5718806965772272,-0.5626517847277617,-0.5743115923986897,-0.572514769929551,-0.5711135008742823
311,0.612625754749499,0.24464534071129712,0.2029084254913679,-0.3389849720487597,-0.28277902442036124,-0.28277790772425043,-0.4753044750242969,-0.47530293067619306,-0.47805224754988956,-0.4780507289102833,-0.4795148355762651,-0.568329210773753,-0.5562073788692032,-0.5286307549397631,-0.5840532037108583,-0.5437413176969224,-0.5685181577750973,-0.5534638214984899,-0.560698640344856,-0.5513595191362095,-0.5526518657574624,-0.5487870791617115,-0.5490590789571039,-0.5393963593395037,-0.5551513234685035,-0.5533869555464876,-0.5520254589320497
312,0.6144202986072144,0.24464534071129712,0.20221559550190754,-0.3370121641632337,-0.27382092297307953,-0.2738197102678355,-0.46328681955793244,-0.4632851411250854,-0.46622637211226786,-0.46622471938272964,-0.46749562573580966,-0.550438167938158,-0.5398137096475151,-0.5119778860449484,-0.5686744377894051,-0.5248975269215423,-0.5498178747414524,-0.5355073034682982,-0.5416047700412747,-0.5321639329858847,-0.5334677192907742,-0.5295896460788123,-0.5251072604348241,-0.5151644329011289,-0.534594251663199,-0.5328825620907462,-0.5315774210148201
313,0.6162148424649299,0.24464534071129712,0.20152276551244716,-0.33458815626174504,-0.2642768919954423,-0.26427558214384966,-0.45047372092425036,-0.4504719067816278,-0.4536017505778786,-0.4535999620899169,-0.45467383305492287,-0.5313200786821488,-0.5222882439443686,-0.4941892301698369,-0.5518768843794031,-0.5047678653214778,-0.5298318340638482,-0.5163380594496274,-0.521269255539691,-0.5117402199671104,-0.5130535265582281,-0.5091684702349812,-0.5002129946383331,-0.490131426608659,-0.5126942127921565,-0.511057242330561,-0.5098262256512629
