,x,eq_complex_3,eq_complex_13,eq_complex_24
0,0.054522615,-0.1553282645325063,-0.15535795616632633,-0.15535130718164547
1,0.059045225,-0.15532806300548188,-0.1553581555001714,-0.15535149813700666
2,0.06356784,-0.15532785803685617,-0.15535835126180886,-0.15535169267026308
3,0.068090454,-0.1553276495723587,-0.1553585432345182,-0.15535189088926057
4,0.07261306,-0.15532743755715447,-0.1553587311974624,-0.1553520929025334
5,0.07713568,-0.15532722193441273,-0.15535891492693063,-0.1553522988205953
6,0.08165829,-0.15532700264886443,-0.15535909419329624,-0.15535250875246254
7,0.0861809,-0.1553267796430209,-0.15535926876433617,-0.15535272280917034
8,0.09070352,-0.15532655285876293,-0.15535943840384386,-0.1553529411021615
9,0.09522613,-0.1553263222388933,-0.1553596028706031,-0.15535316374167646
10,0.099748746,-0.15532608772382728,-0.1553597619209052,-0.15535339083982094
11,0.10427135,-0.1553258492551723,-0.15535991530606602,-0.1553536225069784
12,0.10879397,-0.15532560677156845,-0.15536006277527128,-0.1553538588557001
13,0.11331658,-0.15532536021399634,-0.15536020407229248,-0.15535409999538868
14,0.11783919,-0.15532510952101047,-0.15536033893856882,-0.15535434603676634
15,0.12236181,-0.1553248546306408,-0.15536046711205503,-0.1553545970898469
16,0.12688442,-0.15532459548214747,-0.15536058832654173,-0.15535485326199971
17,0.13140704,-0.15532433201207635,-0.15536070231371754,-0.15535511466162402
18,0.13592964,-0.15532406415946784,-0.15536080880092876,-0.15535538139276134
19,0.14045227,-0.15532379185823883,-0.15536090751446774,-0.1553556535624204
20,0.14497487,-0.15532351504854142,-0.1553609981753839,-0.15535593126898037
21,0.14949748,-0.1553232336641771,-0.15536108050427544,-0.15535621461447827
22,0.1540201,-0.1553229476410521,-0.15536115421839514,-0.15535650369585374
23,0.15854271,-0.15532265691612432,-0.15536121903249075,-0.15535679860564916
24,0.16306531,-0.15532236142491732,-0.15536127465967856,-0.15535709943417583
25,0.16758794,-0.15532206110012228,-0.15536132081166262,-0.1553574062706022
26,0.17211054,-0.155321755880954,-0.1553613571975822,-0.15535771919300817
27,0.17663316,-0.15532144569923076,-0.1553613835263796,-0.1553580382822084
28,0.18115577,-0.1553211304921727,-0.15536139950541902,-0.15535836360822616
29,0.1856784,-0.15532081019291386,-0.1553614048417399,-0.15535869523960272
30,0.190201,-0.15532048474038154,-0.15536139924205097,-0.15535903323273406
31,0.1947236,-0.15532015406803407,-0.1553613824133164,-0.15535937764306412
32,0.19924621,-0.15531981811095832,-0.15536135406294532,-0.155359728517269
33,0.20376883,-0.1553194768053023,-0.1553613138994067,-0.15536008589334696
34,0.20829144,-0.15531913008919002,-0.15536126163300207,-0.15536044979916128
35,0.21281406,-0.15531877789822318,-0.1553611969757627,-0.15536082025667727
36,0.21733667,-0.15531842017170958,-0.15536111964298913,-0.15536119727495332
37,0.22185928,-0.1553180568473429,-0.1553610293529864,-0.15536158085527843
38,0.2263819,-0.15531768786359018,-0.1553609258280924,-0.15536197098824106
39,0.2309045,-0.15531731316314368,-0.15536080879656217,-0.1553623676496844
40,0.23542711,-0.15531693268481994,-0.15536067799099748,-0.15536277080894262
41,0.23994973,-0.15531654637104883,-0.15536053315139484,-0.15536318042065234
42,0.24447234,-0.15531615416732816,-0.1553603740262713,-0.15536359642513986
43,0.24899496,-0.1553157560171781,-0.1553602003717147,-0.15536401875369918
44,0.25351757,-0.1553153518692317,-0.1553600119554316,-0.15536444732112858
45,0.2580402,-0.1553149416694397,-0.15535980855454992,-0.15536488203421167
46,0.26256278,-0.15531452537481386,-0.15535958996375415,-0.15536532277755924
47,0.26708543,-0.15531410292700085,-0.1553593559830852,-0.1553657694422217
48,0.27160805,-0.15531367429031573,-0.15535910643976292,-0.15536622188633206
49,0.27613065,-0.15531323942149455,-0.15535884117396462,-0.15536667996834083
50,0.28065327,-0.1553127982770111,-0.15535856004412146,-0.15536714354081474
51,0.2851759,-0.15531235082106262,-0.1553582629340613,-0.15536761244403827
52,0.28969848,-0.155311897026157,-0.1553579497563833,-0.15536808650797168
53,0.2942211,-0.15531143685322693,-0.15535762044115697,-0.15536856557608836
54,0.29874372,-0.15531097027992016,-0.1553572749581101,-0.1553690494795358
55,0.30326632,-0.1553104972860049,-0.15535691330994292,-0.15536953805691953
56,0.30778894,-0.1553100178492553,-0.15535653553211654,-0.15537003116384113
57,0.31231153,-0.15530953196155697,-0.1553561417090056,-0.15537052866263631
58,0.31683415,-0.15530903960796114,-0.1553557319612717,-0.15537103045135486
59,0.32135677,-0.15530854078844536,-0.1553553064677558,-0.15537153645020665
60,0.3258794,-0.15530803550430278,-0.1553548654592317,-0.15537204662571769
61,0.330402,-0.1553075237684862,-0.1553544092325155,-0.15537256099215635
62,0.3349246,-0.1553070055925313,-0.15535393814467544,-0.1553730796385496
63,0.33944723,-0.15530648099465036,-0.15535345262616648,-0.15537360273653977
64,0.34396985,-0.15530595000844527,-0.15535295319595918,-0.1553741305504309
65,0.34849244,-0.15530541267311032,-0.15535244046018198,-0.15537466346875117
66,0.35301507,-0.15530486902531607,-0.1553519151122088,-0.15537520203764868
67,0.3575377,-0.15530431912355588,-0.15535137796489848,-0.15537574696661358
68,0.3620603,-0.15530376303460697,-0.15535082994754648,-0.1553762991772227
69,0.3665829,-0.15530320082777307,-0.1553502721105531,-0.1553768598510735
70,0.37110552,-0.15530263258391494,-0.1553497056455935,-0.15537743047204183
71,0.37562814,-0.15530205839997008,-0.15534913190244307,-0.15537801288467765
72,0.38015077,-0.155301478380841,-0.1553485523939637,-0.15537860938127845
