,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_6,eq_complex_7,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_16,eq_complex_18,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_25,eq_complex_26,eq_complex_28
387,0.7490110879358717,0.16663821765881331,0.06104019139817557,0.8152739393728577,1.047903456008204,1.047937838599807,1.04683780006411,1.0459397620833197,1.0562122547181763,1.0163552879490678,1.044702472294425,0.9147689532305571,0.8895320573800632,0.9059423097054349,0.9500480767848415,0.9349997503093916,0.9297780852554974,0.9249978093138752,0.9260413996628781,0.9398642136178769,0.9257723705734421
388,0.7508056317935872,0.16663821765881331,0.06026511874569901,0.8177913673778925,1.0517343985108867,1.0517475813816568,1.0510316409084903,1.0501995040536731,1.0602692764751067,1.0180120804649122,1.05042854935702,0.9160666221190242,0.8906228290017216,0.906935398345833,0.9522008076090162,0.9367225937523512,0.9314396573200858,0.9266045038682404,0.9276599797226012,0.9417437015766624,0.9275834594345621
389,0.7526001756513025,0.16663821765881331,0.059490046093222476,0.8195726989840222,1.054570861492973,1.0545625140309887,1.0542322342333423,1.0534664910813198,1.0633239598164432,1.0187597307965777,1.0546791679591565,0.917022383603037,0.8914249065458467,0.9076645245368462,0.9537937360989887,0.9379933296407829,0.9326646365099066,0.927788509966231,0.9288528591439146,0.9431313006636542,0.9289248564940027
390,0.754394719509018,0.16663821765881331,0.0587149734407459,0.82061592049087,1.0564096579592146,1.0563794727392786,1.0564359855145828,1.0557370524424745,1.065372501169509,1.0186049182969183,1.0574396724472415,0.9176410748514916,0.8919453082612449,0.9081370718522174,0.954829971385107,0.9388180761460521,0.9334594242554184,0.9285564750700043,0.9296266327424719,0.9440325038217318,0.9297980953761762
391,0.7561892633667334,0.16663821765881331,0.05793990078826937,0.8209198525921605,1.0572487218732687,1.057196415358395,1.0576404197620284,1.0570086369780634,1.0664122253925716,1.017554884194205,1.058700609706086,0.9179258450225573,0.892188628108667,0.9083578733141743,0.9553115749497448,0.939200874487811,0.9338282467562357,0.9289127858544761,0.9299856528702437,0.9444509528444471,0.9302041225128014
392,0.7579838072244489,0.16663821765881331,0.05716482813579281,0.8204841517088628,1.0570871104790611,1.057012423695846,1.0578441842990132,1.057279815960161,1.0664415891986043,1.0156174011151076,1.0584576790653908,0.917878148364505,0.8921570250516248,0.908329200217152,0.9552395154482493,0.9391436194309678,0.9337730849328126,0.9288594979296103,0.9299319591667394,0.94438835888649,0.9301433636982487
393,0.7597783510821643,0.16663821765881331,0.056389755483316276,0.8193093103775884,1.0559250053600455,1.0558277045467719,1.0570470502815499,1.0565502846972783,1.0654601833097415,1.012800745593752,1.056711708235886,0.9174977410930513,0.8918502182801185,0.9080507571412106,0.9546136475181993,0.9386460268021178,0.9332936417135287,0.928396303044282,0.9294652457711101,0.9438444651637609,0.9296157557977167
394,0.7615728949398798,0.16663821765881331,0.055614682830839715,0.817396656693804,1.0537637122351815,1.0536435894615184,1.055249912955343,1.0548208628767108,1.063468733339535,1.0091136735224517,1.0534686580033437,0.9167826819120314,0.8912654878225528,0.9075196825909733,0.9534327149578655,0.9377056383571261,0.932387346935598,0.9275205339986828,0.9285828662335321,0.9428170525487343,0.9286207419715042
395,0.7633674387975952,0.16663821765881331,0.05483961017836318,0.8147483528104924,1.0506056594918536,1.0504625332490587,1.052454790650354,1.052093493643552,1.0604690994015482,1.0045653984550613,1.0487396551526478,0.9157293361997888,0.8903976806170089,0.9067305553337864,0.9516943782168813,0.9363178639506413,0.9310493998186353,0.9262272072318627,0.927279876090747,0.9413019879555793,0.9271572306605844
396,0.7651619826553105,0.16663821765881331,0.05406453752588668,0.8113673924939514,1.046454395457381,1.0462881112179396,1.0486648225140542,1.0483712414174131,1.05646427444425,0.9991655726320972,1.0425410498593766,0.9143323840387039,0.8892392227263026,0.9056754071459852,0.9493952657041433,0.9344760605739993,0.9292728486460944,0.9245091027860936,0.9255491127926645,0.9392933145976553,0.9252235204585798
397,0.766956526513026,0.16663821765881331,0.053289464873410075,0.8072575977395017,1.041314584412186,1.04112501515786,1.0438842649859108,1.0436582884493004,1.0514583813135951,0.9929242705582144,1.0348944907048252,0.9125848324161936,0.8877801389690341,0.9043437432848828,0.946531047979288,0.9321716474146516,0.9270487069322726,0.9223568810464665,0.9233813123515824,0.9367833823835026,0.922817194856195
398,0.7687510703707414,0.16663821765881331,0.052514392220933556,0.8024236144509267,1.0351920013491003,1.0349790480663918,1.0381184870170614,1.0379599301225197,1.0454566685461295,0.9858519749275783,1.0258270076732385,0.9104780320687029,0.8860080817783613,0.9027225725629093,0.9430965334551529,0.9293942556259539,0.9243661049349853,0.9197592352825669,0.9207652617037104,0.933763015895534,0.9199349926631057
399,0.7705456142284569,0.16663821765881331,0.051739319568456996,0.7968709071885223,1.0280935254846881,1.0278571176267715,1.0313739640405488,1.0312825690028826,1.038465504896843,0.977959564661412,1.0153710911063052,0.9080016995721719,0.883908371569118,0.9007964493859354,0.9390857838018848,0.9261319109654047,0.9212124748771967,0.9167030785566455,0.9176879853024947,0.9302217165735139,0.9165726616551427
400,0.7723401580861723,0.16663821765881331,0.05096424691598045,0.7906057529917072,1.0200271325298982,1.0197672284440975,1.0236582706988901,1.023633707644909,1.0304923726074615,0.9692583047947221,1.0035647527437872,0.9051439453998742,0.8814640512702485,0.8985475305075903,0.934492246813646,0.9223712468557043,0.9175737676552165,0.9131737629968676,0.9141349638928088,0.9261478949152488,0.9127248046122034
401,0.7741347019438878,0.16663821765881331,0.05018917426350389,0.7836352342831608,1.011001885728703,1.010718473048653,1.0149800723371407,1.0150219401621008,1.0215458594222422,0.9597598379259479,0.9904515537846946,0.9018913087681211,0.8786559579425378,0.8959556495237577,0.929308904083942,0.9180977447503939,0.9134346981384285,0.9091553287647078,0.9100903827446202,0.9215291277306112,0.9083847283380047
402,0.7759292458016032,0.16663821765881331,0.04941410161102738,0.7759672308625258,1.0010279256748156,1.0007210216764695,1.005349115271018,1.0054569425707616,1.0116356493597813,0.9494761769242713,0.9760805844587894,0.8982288001691826,0.8754628145319416,0.892998412266366,0.9235284304461158,0.9132959979599994,0.9087790154203863,0.9046307792855651,0.9055374058677701,0.9163524347706292,0.903544307401775
