,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_12,eq_complex_13,eq_complex_17,eq_complex_18,eq_complex_20,eq_complex_21,eq_complex_22
10,0.3426083,-0.1512213714777187,-0.1512159608535223,-0.1512162543658355,-0.15121596301777196,-0.15122117801610874,-0.15138926665031358,-0.15138926664535246,-0.15161516758595517,-0.15211899546632435,-0.15219224356056693,-0.15219224052071437,-0.15219223976075605,-0.15219223824084516,-0.1521922374808926,-0.15219223672094198
11,0.3737545,-0.09656393331323788,-0.09656854686320085,-0.0965682965900951,-0.09656854501778087,-0.09656405325170685,-0.09671775953334524,-0.0967177595295297,-0.09652513753347376,-0.09738463387876414,-0.09732599934964666,-0.09732599702624939,-0.09732599644540314,-0.09732599528371434,-0.09732599470287179,-0.09732599412203047
12,0.4049007,-0.04190649514875708,-0.04192113287287941,-0.041920338814354696,-0.04192112701778976,-0.04191032578012234,-0.04204842795975949,-0.04204842795676232,-0.04143728302437495,-0.042662415786448166,-0.0424719279458641,-0.04247192613035693,-0.04247192567648217,-0.04247192476873511,-0.04247192431486281,-0.042471923860991315
13,0.43604693,0.012750995661733322,0.012726333753796337,0.012727671598263796,0.01272634361855951,0.012732675752554073,0.0126192491304368,0.01261924913283391,0.013648917404455424,0.012050376678995528,0.012372695085529739,0.012372696531019883,0.01237269689239101,0.0123726976151316,0.012372697976501063,0.01237269833786997
14,0.46719313,0.06740843382621411,0.06737374774411778,0.06737562937400421,0.0673737616185506,0.06735746561441164,0.06728550936850328,0.06728550937045033,0.06873370057803493,0.06675557654859546,0.06720970720319708,0.06720970837276172,0.06720970866515188,0.06720970924993108,0.06720970954232008,0.0672097098347087
15,0.49833933,0.12206587199069494,0.12202116173443925,0.1220235871497446,0.12202117961854173,0.1219567173444632,0.12195066226140658,0.12195066226300957,0.12381737640645132,0.12145468011259483,0.1220406083097186,0.12204060926934515,0.12204060950925108,0.12204060998906208,0.12204061022896717,0.12204061046887199
16,0.5294855,0.17672325750916612,0.17666852308840636,0.1766714922886069,0.17666854498217466,0.1765230012193869,0.1766148513354866,0.1766148513368221,0.1789000880129234,0.1761487318681345,0.17686644542360186,0.17686644622067432,0.17686644641994193,0.17686644681847652,0.17686644701774346,0.17686644721701023
17,0.56063175,0.23138078341699614,0.2313160248059849,0.23131953779247733,0.23131605070942923,0.23104913514416425,0.23127842207048738,0.2312784220716117,0.2339821823553056,0.23083877376297535,0.2316882630063431,0.23168826367559664,0.23168826384290964,0.23168826417753513,0.23168826434484763,0.23168826451216007
18,0.591778,0.28603830932482643,0.2859635265235636,0.285967583296348,0.2859635564366842,0.28552760719199105,0.2859413542800889,0.28594135428104434,0.2890636381722886,0.28552533224323934,0.2865065887747372,0.2865065893421035,0.28650658948394475,0.286506589767627,0.2865065899094679,0.28650659005130863
19,5.5282085e-17,-0.7524533667737059,-0.7523376902015723,-0.75234396535524,-0.7523377364722011,-0.7505637557068626,-0.724751326053779,-0.7247736050257039,-0.7295809806238011,-0.7235692864920791,-0.7249940620557215,-0.7250951884838435,-0.7251203049887542,-0.7251703418825253,-0.7251952628377132,-0.7252201191731306
