,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17
0,0.054522615,-0.813369366928074,-0.8115315001844701,-0.8115309941035984,-0.8133216521665158,-0.7802896224722468,-0.8173846824662274,-0.7774847417841773,-0.7998940780195049,-0.7999561364764213,-0.8031438922239896,-0.7981725707025797,-0.798317763537957,-0.7967028300625649,-0.7955312287439631,-0.7927700423772226
1,0.059045225,-0.8094536114149058,-0.8076342156816332,-0.807633714686998,-0.8094054122398483,-0.7770212004038652,-0.8135390483367337,-0.7744074390781006,-0.79608581236512,-0.7961473757933349,-0.7993310414441399,-0.794364016585539,-0.7945092094209163,-0.7929018735287015,-0.7917361944999077,-0.7890745928122049
2,0.06356784,-0.8055378515726495,-0.8037369268701287,-0.8037364309617356,-0.8054891580468602,-0.7737466593868603,-0.8096946073842636,-0.7713323910716245,-0.7922795711409427,-0.7923406301973042,-0.7955199616428887,-0.7905573885505133,-0.7907025813858906,-0.7891029780023024,-0.7879433302644603,-0.7853818702372204
3,0.068090454,-0.8016220925962108,-0.7998396389203577,-0.7998391480982057,-0.8015728944741867,-0.7704659954474545,-0.8058513836871448,-0.7682593445127746,-0.7884753987704882,-0.788535943931183,-0.791710687004342,-0.7867527261041449,-0.7868979189395222,-0.785306185380948,-0.784152679959303,-0.7816919072183106
4,0.07261306,-0.7977063405463132,-0.7959423578644547,-0.7959418721285348,-0.7976566272615123,-0.7671792053618434,-0.8020094023859746,-0.76518804620581,-0.7846733412670266,-0.7847333628242452,-0.7879032529403656,-0.7829500701520329,-0.7830952629874102,-0.7815115390012384,-0.7803642889800868,-0.7780047371336802
5,0.07713568,-0.7937905763749686,-0.7920450647442827,-0.7920445840946106,-0.7937403370228466,-0.7638862647995648,-0.7981686642070253,-0.7621182227333277,-0.7808734210441073,-0.7809329090990961,-0.784097670851359,-0.7791494377977721,-0.7792946306331494,-0.7777190584929258,-0.7765781790935902,-0.7743203697258915
6,0.08165829,-0.7898748208618005,-0.7881477802414457,-0.7881473046780102,-0.7898240441907636,-0.7605871828871924,-0.7943292091607955,-0.7590496314533043,-0.7770756999586744,-0.7771346444235037,-0.7802939912491832,-0.7753508853902811,-0.7754960782256584,-0.7739288026928282,-0.7727944112473535,-0.7706388522062964
7,0.0861809,-0.7859590653486322,-0.7842504957386087,-0.7842500252614097,-0.7859077397409822,-0.7572819440006997,-0.7904910485923191,-0.7559820062673017,-0.7732802120927745,-0.7733386026826807,-0.7764922364283064,-0.7715544412867117,-0.771699634122089,-0.7701408025517413,-0.7690130185890446,-0.766960204048424
8,0.09070352,-0.7820433011772877,-0.7803532026184368,-0.7803527372274857,-0.7819914146331641,-0.7539705324516006,-0.7866541940660181,-0.7529150807897129,-0.7694869923577883,-0.769544818587355,-0.7726924290965039,-0.7677601344534698,-0.767905327288847,-0.766355089676596,-0.7652340349625895,-0.7632844447020327
9,0.09522613,-0.7781275456641195,-0.7764559181155998,-0.7764554578108852,-0.7780750857883987,-0.7506529545138634,-0.7828186828000194,-0.7498486087615196,-0.7656961016460462,-0.765753352829174,-0.768894617560262,-0.7639680196189077,-0.7641132124542849,-0.7625717214254529,-0.7614575199578608,-0.7596116179297776
10,0.099748746,-0.7742117849560455,-0.7725586284423619,-0.7725581732238906,-0.7741587389360705,-0.7473291900789721,-0.7789845216737876,-0.7467823193749363,-0.7619075714949464,-0.7619642367364967,-0.765098820278353,-0.7601781219135375,-0.7603233147489148,-0.7587907256744209,-0.757683503776722,-0.7559417381572312
11,0.10427135,-0.7702960346377832,-0.7686613491099259,-0.7686608989776844,-0.7702423892289554,-0.7439992439979577,-0.7751517465897251,-0.7437159648187447,-0.7581214627755635,-0.7581775309718384,-0.7613050846437002,-0.7563904955697054,-0.7565356884050826,-0.7550121593828876,-0.7539120456927977,-0.752274847303957
