,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_22,eq_complex_23,eq_complex_24,eq_complex_25,eq_complex_26,eq_complex_28,eq_complex_29,eq_complex_30,eq_complex_31,eq_complex_33,eq_complex_36,eq_complex_40,eq_complex_41,eq_complex_42,eq_complex_45,eq_complex_46,eq_complex_47,eq_complex_48,eq_complex_49,eq_complex_51,eq_complex_52,eq_complex_55,eq_complex_56,eq_complex_57,eq_complex_59,eq_complex_62,eq_complex_63,eq_complex_65,eq_complex_70,eq_complex_71,eq_complex_80
324,0.6359548248997996,-0.15533980469907926,-0.15527394423631163,-0.1552777562642124,-0.1552784120897462,-0.15528384268831208,-0.15526607899044736,-0.15525959528410388,-0.15523213322364815,-0.1552348795424687,-0.1552257384594789,-0.1552017413349148,-0.15519345427314352,-0.15519636523580255,-0.15520958040450714,-0.15520351046826844,-0.1551965515246934,-0.15521171758554234,-0.15519650754167982,-0.15520396810387643,-0.15519842294660652,-0.15521839348582955,-0.1552128551772671,-0.15521543285187814,-0.15521543604175003,-0.15521543907530957,-0.15520969621847908,-0.15520965439485165,-0.15521240099741074,-0.15521299844707723,-0.15520802539688516,-0.1552049115130103,-0.15521241671681443,-0.15520550347423123,-0.15520743265545006,-0.15520675900736502,-0.15520601236560014,-0.15520485110357912,-0.15520375931811,-0.15520203218825662,-0.15520203223449797,-0.1552039009507208,-0.15520397651932782,-0.15520375878055737,-0.1551995615765043,-0.1552010595761558,-0.15519941321988956,-0.15520105792047356,-0.15520339927538218
325,0.637749368757515,-0.15533980469907926,-0.1552740189618318,-0.1552773842493424,-0.1552780205569158,-0.15528323952439554,-0.15526498000957564,-0.15525886807711792,-0.15523102138442546,-0.15523396540231918,-0.155225135207641,-0.15520232570714157,-0.1551948240660886,-0.15519798103631374,-0.15521139505865678,-0.1552051020753784,-0.1551977159529609,-0.15521319604521697,-0.15519874025947972,-0.15520562143806457,-0.15520056742038138,-0.1552200877919172,-0.15521487352521432,-0.1552172816616738,-0.15521728461749848,-0.15521728742686106,-0.1552118088818357,-0.1552117749681434,-0.1552145043030217,-0.15521511170312852,-0.15520974695618261,-0.1552067320596725,-0.1552139991646445,-0.15520726757093176,-0.15520912565902498,-0.15520845776153827,-0.1552077279516353,-0.15520675008888218,-0.15520568838864543,-0.15520348318245983,-0.15520348323149355,-0.15520577348545844,-0.15520584945434576,-0.1552055281863238,-0.1552016611506941,-0.15520310873753446,-0.15520120738958681,-0.15520312689079693,-0.15520468704837384
326,0.6395439126152305,-0.15533980469907926,-0.15527410312629575,-0.1552770294755231,-0.1552776453240361,-0.1552826501788109,-0.15526389010717917,-0.15525816435310674,-0.15522994581121388,-0.15523308574141545,-0.1552245681230293,-0.15520288648662445,-0.15519616247118836,-0.15519951800803455,-0.1552131286765511,-0.15520661197912483,-0.1551988292160182,-0.1552146221224642,-0.15520085570956346,-0.15520717418971242,-0.15520260207738257,-0.15522168834632646,-0.1552167889828499,-0.1552190293312472,-0.1552190320528822,-0.1552190346379124,-0.15521379888128137,-0.1552137733524388,-0.1552164849682491,-0.1552171022700917,-0.15521137920359554,-0.1552084583198016,-0.15521549916291633,-0.15520895090694226,-0.15521074256188033,-0.15521008014087226,-0.1552093661144946,-0.15520857201851837,-0.15520753916624838,-0.15520489106928767,-0.15520489112107247,-0.1552075766748961,-0.15520765305702058,-0.1552072319797421,-0.15520369482056082,-0.15520509305212535,-0.1552029834458791,-0.1552051282060642,-0.15520592597207342
327,0.6413384564729459,-0.15533980469907926,-0.1552741969085738,-0.15527669204074643,-0.15527728649010175,-0.1552820751177679,-0.15526281003651105,-0.15525748469888298,-0.15522890776852158,-0.15523224106206895,-0.15522403732286752,-0.15520342476663143,-0.1551974689716723,-0.15520098051109016,-0.1552147859859411,-0.1552080452391422,-0.1551998921244933,-0.15521599636879505,-0.15520286107674475,-0.15520863284971123,-0.1552045333298359,-0.15522320157052732,-0.15521860742398277,-0.15522068253160862,-0.15522068501892275,-0.155220687379496,-0.15521567372363215,-0.15521565705347423,-0.155218350509375,-0.15521897768227563,-0.15521292852220264,-0.1552100969798465,-0.1552169229071986,-0.15521055983060905,-0.1552122893194985,-0.1552116321029116,-0.15521093285164278,-0.15521032100397253,-0.15520931579353092,-0.15520625620942874,-0.15520625626393225,-0.1552093140620113,-0.1552093908713757,-0.15520887426304686,-0.15520566406579966,-0.15520701412314583,-0.15520473737668333,-0.15520706342901372,-0.15520712332916095
328,0.6431330003306613,-0.15533980469907926,-0.15527430048886143,-0.15527637203821507,-0.15527694414978105,-0.15528151480960523,-0.15526174056758293,-0.15525682970006463,-0.1552279085142742,-0.15523143182914698,-0.1552235429190353,-0.15520394186048758,-0.15519874356853047,-0.15520237300785947,-0.15521637164406824,-0.155209406889989,-0.15520090608440348,-0.1552173198630904,-0.15520476335805533,-0.15521000379895994,-0.15520636754258813,-0.15522463363320405,-0.15522033470648428,-0.15522224771170917,-0.15522224996458261,-0.15522225210058513,-0.15521744077175348,-0.15521743343213393,-0.15522010829776234,-0.1552207453274691,-0.1552144011078207,-0.15521165455089897,-0.1552182763618623,-0.15521210042601843,-0.1552137716584114,-0.15521311937640256,-0.1552124339299574,-0.1552120012344224,-0.15521102249120503,-0.1552075794873181,-0.1552075795445168,-0.1552109893373489,-0.1552110665889705,-0.1552104591160132,-0.15520757086750736,-0.15520887401830574,-0.15520646596548301,-0.15520893461588575,-0.15520828579027146
329,0.6449275441883767,-0.15533980469907926,-0.1552744140486243,-0.15527606955631673,-0.15527661839339094,-0.1552809697245172,-0.1552606824870466,-0.15525619994075943,-0.15522694929806025,-0.1552306584694561,-0.1552230850184646,-0.1552044392503933,-0.1551999866672492,-0.1552036999826731,-0.15521789018460605,-0.15521070188333505,-0.15520187295796437,-0.15521859407837343,-0.15520656930232846,-0.1552112932516839,-0.15520811095885198,-0.15522599043195082,-0.1552219765991916,-0.15522373106749432,-0.15522373308581844,-0.1552237349971473,-0.15521910717875007,-0.1552191096386445,-0.15522176549403288,-0.1552224123811447,-0.15521580292605264,-0.15521313732334138,-0.15521956523242092,-0.15521357848932155,-0.15521519504968556,-0.15521454743475094,-0.15521387485915458,-0.15521361691019636,-0.1552126634913682,-0.1552088622165294,-0.15520886227640873,-0.15521260626202987,-0.15521268397191113,-0.15521199055175358,-0.15520941758009646,-0.15521067514881356,-0.15520816672641768,-0.15521074418890854,-0.15520941941265762
330,0.6467220880460922,-0.15533980469907926,-0.15527453777053996,-0.1552757846785998,-0.1552763093068731,-0.15528044033427063,-0.1552596365980487,-0.15525559600324224,-0.15522603135933724,-0.15522992137127278,-0.15522266372349788,-0.15520491854575325,-0.15520119898489693,-0.15520496588269259,-0.1552193459812399,-0.1552119350474326,-0.15520279495102582,-0.1552198207746674,-0.15520828537110512,-0.1552125072176291,-0.1552097696482915,-0.15522727758480293,-0.1552235387300075,-0.15522513852398667,-0.15522514030766424,-0.15522514199422732,-0.15522067984422494,-0.15522069256884027,-0.1552233290043171,-0.15522398576273866,-0.1552171396847148,-0.15521455133704004,-0.15522079494951735,-0.15521499951655002,-0.15521656469396095,-0.15521592148103594,-0.15521526087678256,-0.15521517219136338,-0.15521424298593497,-0.15521010605646446,-0.15521010611901856,-0.15521416860783896,-0.1552142467929401,-0.15521347248402592,-0.15521120682638878,-0.15521242017040013,-0.155209837831228,-0.1552124948319129,-0.1552105296521816
331,0.6485166319038076,-0.15533980469907926,-0.1552746718384364,-0.1552755174837502,-0.15527601697177143,-0.1552799271119122,-0.15525860372005812,-0.15525501846762502,-0.15522515592560088,-0.15522922088402805,-0.15522227913220937,-0.1552053814493401,-0.15520238147422866,-0.1552061750751848,-0.15522074322388243,-0.15521311105973074,-0.15520367452240366,-0.1552210019132862,-0.1552099177154869,-0.15521365147839844,-0.1552113494720925,-0.15522850042888844,-0.1552250265502102,-0.1552264757269554,-0.15522647727590042,-0.15522647873761644,-0.15522216538706765,-0.15522218883695965,-0.1552248054530362,-0.15522547210846616,-0.15521841681781556,-0.15521590236324104,-0.15522197066156274,-0.15521636869986163,-0.15521788551504653,-0.15521724644158122,-0.15521659694178316,-0.15521667115864854,-0.15521576508740798,-0.15521131293981552,-0.1552113130050475,-0.15521568011121042,-0.15521575878942387,-0.1552149087036938,-0.15521294141237874,-0.15521411190300746,-0.15521147803373797,-0.15521418940556686,-0.15521162138534703
332,0.650311175761523,-0.15533980469907926,-0.1552748164372265,-0.15527526804556974,-0.15527574146521028,-0.1552794305314655,-0.15525758468866452,-0.15525446791152003,-0.1552243242105197,-0.15522855731815458,-0.1552219313386886,-0.15520582972989722,-0.15520353526196992,-0.15520733181742274,-0.15522208590442313,-0.15521423442941826,-0.15520451431114612,-0.15522213958867137,-0.15521147216481276,-0.1552147315742912,-0.1552128560608594,-0.1552296640241438,-0.1552264453110853,-0.1552277480415463,-0.15522774935568417,-0.1552277505924827,-0.1552235701305146,-0.15522360476071576,-0.1552262011679593,-0.15522687775641542,-0.15521963947813436,-0.1552171958952061,-0.15522309723373037,-0.15521769092988033,-0.15521916215977183,-0.15521852696578367,-0.15521788773432044,-0.15521811778432754,-0.15521723379964095,-0.15521248501003224,-0.15521248507795396,-0.15521714443845666,-0.15521722362858367,-0.15521630286242202,-0.15521462425854282,-0.15521575326616543,-0.1552130865957092,-0.15521583087911067,-0.15521269893865736
333,0.6521057196192385,-0.15533980469907926,-0.1552749717528393,-0.15527503643295554,-0.15527548285987441,-0.15527895106761835,-0.15525658035534726,-0.15525394490969555,-0.1552235374120384,-0.15522793094510282,-0.1552216204332872,-0.1552062652000212,-0.15520466159887808,-0.1552084402362563,-0.15522337780961676,-0.15521530948740475,-0.15520531707843976,-0.1552232359745507,-0.15521295422401082,-0.15521575279885758,-0.15521429480212015,-0.15523077316054176,-0.15522780004985584,-0.155228960555879,-0.15522896163514635,-0.15522896264696778,-0.15522490009622145,-0.15522494635538053,-0.15522752217427557,-0.1552282087406593,-0.1552208125361316,-0.1552184371453097,-0.15522417925154752,-0.15521897080235295,-0.15522039900233614,-0.15521976743044102,-0.15521913766011558,-0.15521951591115057,-0.1552186529966436,-0.1552136245678906,-0.1552136246385228,-0.15521856516003943,-0.1552186448817688,-0.15521765846205401,-0.15521625834496464,-0.1552173472274565,-0.15521466321652175,-0.1552174222758669,-0.15521376612306098
