,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_24,eq_complex_25
0,0.054522615,-1.1505639172869828,-1.137670448143706,-1.1376636850915511,-1.0435038542564414,-1.0545662946016297,-0.9866377218873955,-0.9690767336232851,-0.9691248725722189,-0.9164484955498072,-0.9212708528137512,-0.8954540100950367,-0.9126273790576439,-0.9133207420741317,-0.9141336482444394,-0.9142031497584653,-0.9142704988058249,-0.9143357862620496,-0.9189711603598412,-0.9193543287027441,-0.9189255006422463,-0.9097330633035667
1,0.059045225,-1.1424490031975094,-1.1296851165729753,-1.1296783418353442,-1.037456832018069,-1.0451708121648027,-0.9823529821630086,-0.9650910269485213,-0.9651258828523273,-0.9163297577621572,-0.9211307768255571,-0.8962363214354211,-0.912332519751964,-0.9129985160618974,-0.913789552955654,-0.9138488418622163,-0.9139061836015729,-0.9139616622563923,-0.9183956393044453,-0.9187754283625095,-0.9183572958563873,-0.9099950452774448
2,0.06356784,-1.1343340801365414,-1.121699776174011,-1.1216929897508907,-1.0313910673911468,-1.0359091385384471,-0.978078553038725,-0.9611160873382977,-0.9611403346295833,-0.9160301448072294,-0.9208060906724361,-0.8968556645487546,-0.9119382843760134,-0.9125768674824306,-0.9133459332916998,-0.9133950406562166,-0.9134424056620751,-0.9134881056118469,-0.9177205048815193,-0.9180968343663101,-0.9176894523632924,-0.910058948199232
3,0.068090454,-1.1262191588698722,-1.1137144375406933,-1.1137076394320866,-1.0253065271666228,-1.0267830264858593,-0.9738132646574004,-0.9571506925574853,-0.9571667196888023,-0.9155542299418563,-0.920301474236564,-0.897314700234817,-0.9114451876874896,-0.9120563238932847,-0.9128033327024853,-0.9128422901794803,-0.9128797096029122,-0.9129156615084565,-0.9169463856540065,-0.9173191830592089,-0.9169225982727608,-0.9099280096866252
4,0.07261306,-1.1181042519575943,-1.10572911303255,-1.105722303238477,-1.01920317950712,-1.0177940271884562,-0.9695559452578931,-0.9531936182747536,-0.9532035201980618,-0.914906538148878,-0.919621561927388,-0.8976160651183828,-0.9108537302469181,-0.911437398338365,-0.9121622797177813,-0.9121911195478325,-0.9122186251135077,-0.9122448601972152,-0.9160738932575556,-0.9164430936602971,-0.9160573447720157,-0.9096054813010012
5,0.07713568,-1.1099893199251318,-1.097743763805352,-1.097736942325777,-1.013080953294864,-1.0089434283912673,-0.9653053933691452,-0.9492436122674839,-0.9492491838177073,-0.9140915348167086,-0.9187709307234397,-0.8977623700637198,-0.9101643941625105,-0.9107205849118152,-0.911423283364103,-0.9114420383047879,-0.9114596622433292,-0.9114762122228804,-0.9151036162904115,-0.9154691621266079,-0.9150942800627097,-0.9090946309635325
6,0.08165829,-1.1018744058356584,-1.0897584322346212,-1.08975159906957,-1.0069398395226865,-1.0002323991886686,-0.9610604487059358,-0.9452994603515014,-0.9453021906591522,-0.913113633002056,-0.917754107628372,-0.8977561946013075,-0.9093776543663733,-0.9099063704920659,-0.9105868452677562,-0.9105955486928466,-0.9106033238380455,-0.9106102210217113,-0.9140361362653348,-0.91439797716429,-0.9140339851924136,-0.9083987592553291
7,0.0861809,-1.093759491746185,-1.0817731006638907,-1.081766255813363,-1.000779783123845,-0.9916618300246711,-0.9568199173007201,-0.9413599168433449,-0.9413609846210338,-0.9119771754707992,-0.91657555075018,-0.8976000886401649,-0.9084939676215997,-0.908995223265876,-0.909653447789349,-0.9096521336101173,-0.9096500933218441,-0.9096473705329465,-0.912872011668254,-0.9132301042225769,-0.9128770182404206,-0.9075212040591458
8,0.09070352,-1.0856445597137225,-1.0737877514366927,-1.073780894900663,-0.9946007287838559,-0.9832323987585504,-0.9525826038741213,-0.9374237346897134,-0.9374240045411742,-0.9106864347792998,-0.9152396492797845,-0.8972965679041945,-0.9075137771653197,-0.9079875975817451,-0.9086235590471466,-0.9086122617105389,-0.9086004398729712,-0.9085881304481651,-0.9116117847442535,-0.9119660923068712,-0.9116239210486412,-0.9064653584146161
9,0.09522613,-1.077529645624249,-1.0658024198659621,-1.0657955516444562,-0.9884026621164953,-0.9749446236106076,-0.9483473402614901,-0.9334896919106344,-0.9334897116201383,-0.9092456195529391,-0.9137507297856718,-0.8968481158011953,-0.9064375207318263,-0.906883942159256,-0.9074976412788499,-0.9074763958321616,-0.9074548269171709,-0.9074329647685832,-0.9102559914087938,-0.9106064839161628,-0.9102752290852709,-0.9052346994466753
