,x,eq_complex_3,eq_complex_15,eq_complex_26
72,0.38015077,-0.155301478380841,-0.1553942947945511,-0.15537507860135039
73,0.38467336,-0.15530089265159489,-0.1553962495020866,-0.15537475599204523
74,0.38919598,-0.15530030133490036,-0.15539814371585578,-0.15537442735692433
75,0.3937186,-0.15529970458020223,-0.1553999606786698,-0.15537410544424213
76,0.39824122,-0.15529910254771825,-0.1554016827094241,-0.15537380628604724
77,0.4027638,-0.1552984954185097,-0.1554032912661081,-0.15537355028097413
78,0.40728644,-0.1552978833710872,-0.1554047671173589,-0.15537336380469735
79,0.41180903,-0.1552972666294708,-0.15540609035253514,-0.15537328166768866
80,0.41633165,-0.15529664541003949,-0.1554072406628494,-0.15537335066354702
81,0.42085424,-0.15529601996735595,-0.15540819741082337,-0.15537363418628197
82,0.42537686,-0.15529539055951283,-0.15540893988634233,-0.15537421574423138
83,0.42989948,-0.1552947574781447,-0.15540944746610671,-0.15537519145949794
84,0.43442208,-0.1552941210357627,-0.1554096998637039,-0.15537661904852604
85,0.4389447,-0.15529348155974093,-0.15540967736446595,-0.15537834844830842
86,0.44346732,-0.15529283941037295,-0.15540936106948772,-0.1553796741479814
87,0.44798994,-0.15529219497083765,-0.15540873316161316,-0.1553791304464366
88,0.45251256,-0.1552915486512613,-0.15540777717015247,-0.15537546561734034
89,0.45703515,-0.15529090089431694,-0.1554064782494798,-0.1553697357469898
90,0.46155778,-0.15529025215793527,-0.155404823405379,-0.15536580272998526
91,0.4660804,-0.15528960294821806,-0.15540280182313082,-0.15537202250998963
92,0.470603,-0.15528895379795069,-0.15540040507541653,-0.15541530976263543
93,0.4751256,-0.15528830526949036,-0.15539762734777468,-0.15547147839321207
94,0.47964823,-0.1552876579591809,-0.155394465655626,-0.15546087860967292
95,0.48417085,-0.155287012510363,-0.1553909200962114,-0.15537165639758024
96,0.48869348,-0.15528636959636333,-0.1553869939206544,-0.15537054309420326
97,0.49321607,-0.1552857299406476,-0.15538269376497382,-0.1553304974170123
98,0.4977387,-0.1552850942901845,-0.1553780295537686,-0.1553410738686502
99,0.5022613,-0.1552844634567122,-0.1553730148192017,-0.15534299310814906
100,0.5067839,-0.15528383828323947,-0.15536766645850378,-0.15536786236200725
101,0.5113065,-0.15528321966413963,-0.1553620048241875,-0.15545303299450766
102,0.51582915,-0.15528260853601142,-0.15535605353983367,-0.15539163518100385
103,0.52035177,-0.1552820059038018,-0.15534983960408452,-0.15540029485966972
104,0.5248744,-0.15528141280881358,-0.15534339288183976,-0.15540416815705008
105,0.529397,-0.15528083035735193,-0.155336746145476,-0.15531641412889308
106,0.53391963,-0.15528025969911854,-0.15532993454718919,-0.15533521650751927
107,0.5384422,-0.15527970206089847,-0.15532299568036775,-0.15536078548974944
108,0.5429648,-0.15527915870698908,-0.15531596873547368,-0.15537693615310894
109,0.54748744,-0.1552786309738491,-0.15530889451714835,-0.15538919782310404
