p,rho,theta,sigma1,sigma2,sigma3,f
-1000.0,173.5055234471418,0.0,-877.3130677972044,-999.9999999999999,-1122.6869322027953,-30.61862178478973
-894.7368421052631,173.5055234471418,0.0,-772.0499099024676,-894.736842105263,-1017.4237743080585,-30.61862178478973
-789.4736842105264,173.5055234471418,0.0,-666.7867520077309,-789.4736842105264,-912.1606164133218,-30.61862178478973
-684.2105263157895,173.5055234471418,0.0,-561.523594112994,-684.2105263157895,-806.8974585185849,-30.61862178478973
-578.9473684210527,173.5055234471418,0.0,-456.2604362182572,-578.9473684210527,-701.6343006238482,-30.61862178478973
-473.68421052631584,173.5055234471418,0.0,-350.9972783235203,-473.6842105263158,-596.3711427291113,-30.61862178478973
-368.42105263157896,173.5055234471418,0.0,-245.7341204287834,-368.4210526315789,-491.1079848343744,-30.61862178478973
-263.1578947368422,173.5055234471418,0.0,-140.47096253404663,-263.15789473684214,-385.84482693963764,-30.61862178478973
-157.89473684210532,173.5055234471418,0.0,-35.20780463930983,-157.89473684210532,-280.5816690449008,-30.61862178478973
-52.63157894736844,173.5055234471418,0.0,70.05535325542706,-52.63157894736843,-175.3185111501639,-30.61862178478973
52.631578947368325,173.5055234471418,0.0,175.3185111501638,52.63157894736832,-70.05535325542718,-30.61862178478973
157.8947368421052,173.5055234471418,0.0,280.58166904490065,157.89473684210517,35.207804639309686,-30.61862178478973
263.1578947368421,173.5055234471418,0.0,385.8448269396376,263.1578947368421,140.47096253404658,-30.61862178478973
368.42105263157896,173.5055234471418,0.0,491.1079848343744,368.4210526315789,245.7341204287834,-30.61862178478973
473.6842105263156,173.5055234471418,0.0,596.371142729111,473.68421052631555,350.99727832352005,-30.61862178478973
578.9473684210525,173.5055234471418,0.0,701.6343006238478,578.9473684210524,456.26043621825687,-30.61862178478973
684.2105263157894,173.5055234471418,0.0,806.8974585185848,684.2105263157894,561.5235941129939,-30.61862178478973
789.4736842105262,173.5055234471418,0.0,912.1606164133216,789.4736842105261,666.7867520077307,-30.61862178478973
894.7368421052631,173.5055234471418,0.0,1017.4237743080585,894.736842105263,772.0499099024676,-30.61862178478973
1000.0,173.5055234471418,0.0,1122.6869322027953,999.9999999999999,877.3130677972044,-30.61862178478973
-1000.0,165.1110779242696,0.0523598775598298,-886.9366145297749,-992.9444520640029,-1120.118933406222,-29.13724904545935
-894.7368421052631,165.1110779242696,0.0523598775598298,-781.6734566350381,-887.681294169266,-1014.855775511485,-29.13724904545935
-789.4736842105264,165.1110779242696,0.0523598775598298,-676.4102987403014,-782.4181362745294,-909.5926176167484,-29.13724904545935
-684.2105263157895,165.1110779242696,0.0523598775598298,-571.1471408455645,-677.1549783797925,-804.3294597220115,-29.13724904545935
-578.9473684210527,165.1110779242696,0.0523598775598298,-465.8839829508277,-571.8918204850557,-699.0663018272747,-29.13724904545935
-473.68421052631584,165.1110779242696,0.0523598775598298,-360.6208250560908,-466.62866259031875,-593.8031439325378,-29.13724904545935
-368.42105263157896,165.1110779242696,0.0523598775598298,-255.3576671613539,-361.3655046955819,-488.5399860378009,-29.13724904545935
-263.1578947368422,165.1110779242696,0.0523598775598298,-150.09450926661714,-256.1023468008451,-383.2768281430641,-29.13724904545935
-157.89473684210532,165.1110779242696,0.0523598775598298,-44.83135137188032,-150.83918890610832,-278.01367024832734,-29.13724904545935
-52.63157894736844,165.1110779242696,0.0523598775598298,60.43180652285657,-45.57603101137143,-172.75051235359044,-29.13724904545935
52.631578947368325,165.1110779242696,0.0523598775598298,165.69496441759333,59.68712688336532,-67.48735445885367,-29.13724904545935
157.8947368421052,165.1110779242696,0.0523598775598298,270.95812231233015,164.95028477810217,37.77580343588318,-29.13724904545935
263.1578947368421,165.1110779242696,0.0523598775598298,376.2212802070671,270.2134426728391,143.03896133062008,-29.13724904545935
368.42105263157896,165.1110779242696,0.0523598775598298,481.4844381018039,375.47660056757593,248.3021192253569,-29.13724904545935
473.6842105263156,165.1110779242696,0.0523598775598298,586.7475959965406,480.7397584623126,353.5652771200936,-29.13724904545935
578.9473684210525,165.1110779242696,0.0523598775598298,692.0107538912773,586.0029163570493,458.82843501483035,-29.13724904545935
684.2105263157894,165.1110779242696,0.0523598775598298,797.2739117860144,691.2660742517863,564.0915929095673,-29.13724904545935
