p,rho,theta,sigma1,sigma2,sigma3,f
157.8947368421052,225.0876902348746,5.393067388662478,329.47125596643525,15.068264549182004,129.14469001069824,-14.367299376694138
52.631578947368325,252.3260410919737,1.2566370614359172,9.79691593614428,248.57142831274064,-100.47360740677992,0.0
1000.0,257.0452199216916,3.665191429188092,895.0617283950616,895.0617283950617,1209.8765432098764,-45.36092116265146
-473.68421052631584,168.8002724839431,0.942477796076938,-459.2775912425301,-362.18156839688527,-599.593471939532,-16.69453244346692
157.8947368421052,288.8835647830145,1.832595714594046,-8.892267049826927,385.7300211795784,96.84645639656398,23.85277140410208
473.6842105263156,151.25003742730746,4.607669225265029,523.9142085653133,350.8655913915279,546.2728316221055,-4.677836209091987
789.4736842105262,194.2483269697289,5.183627878423159,922.4894318225556,648.157291967912,797.7743288411109,0.0
263.1578947368421,194.2483269697289,4.241150082346221,271.4585393674268,121.84150249422802,396.17364234887145,0.0
-1000.0,268.6319636067904,5.969026041820607,-785.4559616291056,-1067.7788851587434,-1146.7651532121506,-8.308205060003836
-157.89473684210532,196.6244932230546,0.1047197551196597,-28.01253831771368,-141.1134000939593,-304.55827211464293,11.12968829564457
473.6842105263156,287.32766227309554,1.413716694115407,389.61035352828014,705.3979237955482,326.0443542551184,0.0
789.4736842105262,177.8786932573343,4.34586983746588,812.1938105582684,653.8829418486002,902.3443002247096,0.0
-263.1578947368422,204.12414523193132,5.235987755982988,-118.82032743943586,-407.4954620342485,-263.157894736842,0.0
-473.68421052631584,145.6768454973891,0.2094395102393195,-385.2911121333029,-448.9542280068171,-586.8072914388273,-25.707678617186318
-894.7368421052631,249.12894577617763,3.4033920413889422,-1038.571506012067,-947.3839830399498,-698.2550372637722,-15.901847602734758
473.6842105263156,177.87869325733422,0.890117918517108,496.404336874058,586.554826540499,338.09346816438966,0.0
684.2105263157894,287.3276622730955,5.602506898901797,915.924239585022,536.5706700445921,600.136669317754,0.0
263.1578947368421,156.0214526782269,4.45058959258554,296.12910722439005,140.1076545461633,353.2369224399729,-9.958816128397473
789.4736842105262,182.5934273515452,0.0523598775598298,914.5084869658338,797.2762901632758,656.6362755024688,-11.654899618183748
684.2105263157894,146.06263654982934,2.8797932657906435,569.0145567755794,715.0771933254089,768.5398288463798,-19.91763225679491
-578.9473684210527,132.53869259093952,0.418879020478639,-515.338782924742,-534.9313907580134,-686.5719315804027,-23.38918104545992
-473.68421052631584,186.8091312848872,0.8377580409572781,-441.9716447071939,-360.3330608223347,-618.7479260494188,15.424607170311765
-473.68421052631584,166.47619622087407,4.921828490624009,-382.7311306452624,-606.6411191171775,-431.6803818165074,4.848821249151641
789.4736842105262,268.63196360679046,1.780235837034216,642.7085309983754,1004.0177225814203,721.6947990517825,-8.308205060003836
-789.4736842105264,276.9401686667943,3.4557519189487724,-940.7779658725376,-859.3488235494372,-568.2942632096044,0.0
1000.0,174.3651166317654,3.036872898470133,869.9398838149193,1014.8815627766576,1115.1785534084229,-11.12968829564461
-157.89473684210532,135.9798812444023,2.670353755551324,-268.7696861601517,-107.48948454614998,-97.42503982001428,-18.54271107878213
