p,rho,theta,sigma1,sigma2,sigma3,I1,I2,I3,f
894.7368421052632,596.6059268940544,0.0,1316.6009387081347,894.7368421052631,472.8727455023916,2684.210526315789,2223692.7338589383,557049468.9739478,-91.17809801269638
947.3684210526316,631.70039318194,0.0,1394.0480527497896,947.3684210526314,500.6887893554734,2842.1052631578946,2492998.0822501592,661248219.6328236,-96.541515542855
1000.0,666.7948594698254,0.0,1471.4951667914445,999.9999999999999,528.5048332085553,2999.9999999999995,2777692.307692307,777692307.6923076,-101.9049330730136
1e-12,6.77621597516703e-13,0.1047197551196597,1.4476094580609472e-12,1.0578330605172597e-12,4.945574814217932e-13,3e-12,2.770414485289456e-24,7.57330284414572e-37,-1.0355956192984575e-13
52.63157894736937,33.68781395120754,0.1047197551196597,74.88438818665328,55.50673728068436,27.503611374770443,157.8947368421081,7742.814903073935,114321.18268854349,-5.14844164936051
105.26315789473772,67.37562790241445,0.1047197551196597,149.76877637330512,111.01347456136766,55.007222749540325,315.78947368421314,30971.259612295136,914569.461508321,-10.296883298720925
157.89473684210608,101.06344185362138,0.1047197551196597,224.653164559957,166.52021184205097,82.51083412431021,473.6842105263182,69685.3341276636,3086671.9325905535,-15.445324948081344
210.52631578947447,134.75125580482825,0.1047197551196597,299.53755274660887,222.02694912273432,110.0144454990802,631.5789473684234,123885.03844917944,7316555.69206647,-20.59376659744175
263.1578947368429,168.4390697560352,0.1047197551196597,374.42194093326077,277.5336864034176,137.51805687385007,789.4736842105285,193570.3725768425,14290147.836067282,-25.74220824680217
315.7894736842112,202.12688370724192,0.1047197551196597,449.30632911991245,333.04042368410086,165.0216682486201,947.3684210526334,278741.3365106528,24693375.460724216,-30.890649896162557
368.4210526315796,235.81469765844895,0.1047197551196597,524.1907173065645,388.54716096478427,192.52527962339,1105.2631578947387,379397.9302506105,39212165.66216851,-36.03909154552299
421.052631578948,269.50251160965576,0.1047197551196597,599.0751054932163,444.0538982454676,220.02889099816,1263.157894736844,495540.15379671555,58532445.53653139,-41.18753319488339
473.6842105263164,303.19032556086273,0.1047197551196597,673.9594936798683,499.5606355261509,247.53250237292988,1421.052631578949,627168.0071489678,83340142.17994404,-46.335974844243815
526.3157894736847,336.87813951206965,0.1047197551196597,748.8438818665201,555.0673728068341,275.0361137476997,1578.9473684210539,774281.4903073669,114321182.6885376,-51.484416493604236
578.947368421053,370.56595346327657,0.1047197551196597,823.728270053172,610.5741100875175,302.5397251224697,1736.842105263159,936880.6032719141,152161494.15844354,-56.63285814296464
631.5789473684214,404.25376741448326,0.1047197551196597,898.6126582398236,666.0808473682008,330.0433364972397,1894.7368421052643,1114965.346042608,197547003.6857929,-61.78129979232503
684.2105263157898,437.94158136569007,0.1047197551196597,973.4970464264754,721.5875846488841,357.54694787200964,2052.6315789473692,1308535.7186194493,251163638.3667169,-66.92974144168542
736.8421052631581,471.62939531689733,0.1047197551196597,1048.3814346131276,777.0943219295674,385.05055924677924,2210.526315789474,1517591.7210024376,313697325.29734665,-72.0781830910459
789.4736842105266,505.31720926810414,0.1047197551196597,1123.2658227997795,832.6010592102507,412.55417062154936,2368.4210526315796,1742133.3531915739,385833991.5738138,-77.2266247404063
842.1052631578949,539.0050232193112,0.1047197551196597,1198.1502109864314,888.107796490934,440.05778199631914,2526.3157894736846,1982160.615186857,468259564.2922491,-82.37506638976673
894.7368421052632,572.6928371705177,0.1047197551196597,1273.0345991730828,943.6145337716173,467.56139337108925,2684.210526315789,2237673.506988287,561659970.548784,-87.52350803912708
947.3684210526316,606.3806511217246,0.1047197551196597,1347.9189873597347,999.1212710523006,495.06500474585914,2842.105263157894,2508672.028595865,666721137.4395497,-92.67194968848749
1000.0,640.0684650729316,0.1047197551196597,1422.8033755463866,1054.6280083329839,522.568616120629,2999.9999999999995,2795156.1800095895,784128992.0606773,-97.82039133784794
