,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13
361,0.7023529476352706,0.3658510594862297,0.3658520334975516,0.3658613183571171,0.3664961549992342,0.3669520529179883,0.36591616680671535,0.36591877200727724,0.36646386291360455,0.3674464458118946,0.36744644240930663,0.36773719970497215
362,0.7041474914929859,0.3689471522872744,0.3689481262985963,0.3689573189352216,0.36958793037266713,0.37003724754859224,0.3689897718445539,0.36899148403668136,0.36953809149672834,0.3705217928281198,0.37052178955655096,0.3708087658703751
363,0.7059420353507013,0.37204324508831915,0.372044219099641,0.37205332115664436,0.37267967486468856,0.37312211924905864,0.3720633686665295,0.3720641789834862,0.37261220616324053,0.373594579022986,0.3735945758945472,0.373877304513177
364,0.7077365792084168,0.37513933788936404,0.375140311900686,0.37514932497785,0.37577138868485926,0.3762066648947488,0.37513696160924026,0.37513686586082573,0.3756862111499131,0.3766647149616252,0.37666471198760826,0.3769427098993004
365,0.7095311230661322,0.3782354306904088,0.3782364047017307,0.3782453303568271,0.3788630720442179,0.3792908814390388,0.3782105550100314,0.37820955369116355,0.3787601107146608,0.37973211979111327,0.37973211698175846,0.3800048864406426
366,0.7113256669238477,0.3813315234914537,0.38133249750277565,0.3813413372530231,0.3819547251552716,0.38237476591860675,0.38128415320616066,0.38128225149586203,0.38183390913572146,0.3827967222987079,0.3827967196629745,0.3830637499461739
367,0.7131202107815631,0.3844276162924985,0.38442859030382037,0.3844373456272802,0.38504634823198486,0.38545831545888304,0.3843577605339607,0.38435496828475096,0.3849076107108299,0.38585846195408624,0.3858584594994327,0.3861192288541199
368,0.7149147546392786,0.38752370909354344,0.3875246831048653,0.3875333554417773,0.38813794148977016,0.38854152727967006,0.3874313813280044,0.3874277130457225,0.3879812197563909,0.3889172899225123,0.3889172876546936,0.3891712654297751
369,0.7167092984969939,0.39061980189458817,0.39062077590591004,0.390629366659972,0.3912295051454764,0.39162439870092886,0.39050501992026826,0.39050049473436904,0.39105474060664547,0.39197317003522153,0.3919731679581106,0.3922198169127371
370,0.7185038423547094,0.3937158946956331,0.393716868706955,0.39372537924654866,0.39432103941737984,0.39470692714874017,0.39357868063929824,0.39357332226368985,0.3941281776128372,0.3950260797028749,0.3950260778183159,0.3952648565968342
371,0.7202983862124248,0.39681198749667784,0.3968129615079997,0.3968213931673655,0.39741254452517194,0.3977891101614351,0.3966523678093743,0.39664620449388155,0.3972015351423715,0.39807601075768606,0.39807600906538715,0.39830637482572806
372,0.7220929300701403,0.3999080802977228,0.39990905430904466,0.3999174083894081,0.4005040206899509,0.40087094539590523,0.39972608574967805,0.3997191502222413,0.4002748175779756,0.40112297020984133,0.401122968707313,0.4013443798871882
373,0.7238874739278557,0.4030041730987675,0.4030051471100894,0.4030134248807414,0.40359546813420843,0.4039524306340854,0.40279983877345876,0.40279216817319374,0.40334802931685193,0.404166980904066,0.40416697958661124,0.40437889878931593
374,0.7256820177855711,0.40610026589981224,0.40610123991113417,0.4061094426104676,0.40668688708182144,0.4070335637896181,0.4058736311872032,0.40586526698847136,0.4064211747698318,0.40720808206273024,0.4072080809234908,0.40740997790262873
