,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_10,eq_complex_12,eq_complex_13,eq_complex_15,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21
0,0.054522615,-0.7207047039087174,-0.7196798052391611,-0.7207400399239667,-0.7229870826183338,-0.7168051842959625,-0.7437972601818628,-0.7373137759932619,-0.739584234673616,-0.7256953577358292,-0.7341835558529813,-0.7288400919758498,-0.7302429505527682,-0.7321313502787414,-0.7307736732800606,-0.7324180220888922
1,0.059045225,-0.7147523882034102,-0.7137377900161819,-0.7147880829596914,-0.7168018380055093,-0.7107847694068393,-0.737804488604886,-0.7319135337449377,-0.7342424888662706,-0.7200506719319925,-0.7282954221776241,-0.7232320103872201,-0.7246985509813182,-0.7266875336700881,-0.7252557618022663,-0.7269821791998559
2,0.06356784,-0.708800065917483,-0.7077957682239705,-0.7088361267739903,-0.7106159592357958,-0.7047631849653382,-0.7317893218251867,-0.7264922756237173,-0.728876875977161,-0.7143942286435853,-0.7223961139316845,-0.7176044094254073,-0.71913175835259,-0.7212191439352773,-0.7197146423382773,-0.7215206034141142
3,0.068090454,-0.7028477449476797,-0.7018537477456054,-0.7028841794919026,-0.704429526004551,-0.6987404205293521,-0.7257518288287732,-0.7210493586273247,-0.7234866848015462,-0.7087259464657981,-0.716485555166268,-0.7119572906359339,-0.7135425689163535,-0.7157261557549683,-0.714150306805845,-0.7160332732274372
4,0.07261306,-0.6968954345068686,-0.6959117377780122,-0.6969322505640477,-0.6982426195481665,-0.692716466782112,-0.7196921017471921,-0.7155841675979375,-0.7180712355581835,-0.7030457512918867,-0.7105636761564024,-0.7062906680473273,-0.7079309930281631,-0.7102085590590002,-0.7085627616745565,-0.7105201830694424
5,0.07713568,-0.6909431056403212,-0.6899697094165683,-0.6909803112860108,-0.6920552815777747,-0.6866912755648895,-0.7136102153840278,-0.7100960795379279,-0.7126298445878482,-0.6973535385572874,-0.7046303741785764,-0.7006045303780967,-0.7022970176927695,-0.7046663221770115,-0.7029519906614119,-0.7049813064706267
6,0.08165829,-0.684990789935014,-0.6840276941935891,-0.6850283935017818,-0.6858676168609966,-0.6806648597883771,-0.7075063278124764,-0.7045845551848613,-0.7071619152064758,-0.6916492675749727,-0.6986856119755989,-0.6948989351548577,-0.6966406997925387,-0.6990994835322888,-0.6973180475683225,-0.6994166876886679
7,0.0861809,-0.6790384742297069,-0.67808567897061,-0.6790764843212461,-0.6796796837555592,-0.674637186864988,-0.7013805728181014,-0.6990490427820734,-0.7016668423920464,-0.6859328609505101,-0.6927293130262736,-0.6891739082186001,-0.6909620665308785,-0.6935080537252455,-0.6916609571411195,-0.6938263438550379
8,0.09070352,-0.6730861453631594,-0.6721436506091661,-0.6731245708661799,-0.6734915406989672,-0.6686082239940744,-0.6952331052311348,-0.6934890197287282,-0.6961440541135211,-0.6802042472603165,-0.6867614061622338,-0.6834294862059349,-0.6852611574834504,-0.6878920568712616,-0.6859807569363879,-0.6882103062705771
9,0.09522613,-0.6671338296578522,-0.6662016353861869,-0.6671726797517836,-0.6673032872370512,-0.6625779781702809,-0.689064141758539,-0.6879040303245701,-0.6905930489206008,-0.6744633991923705,-0.680781865405816,-0.677665754795505,-0.6795380625785425,-0.6822515680418575,-0.6802775351719939,-0.6825686578537167
10,0.099748746,-0.661181506055801,-0.660259612280129,-0.661220790229284,-0.6611149736959021,-0.6565464082009733,-0.682873871016586,-0.6822936051364437,-0.6850133158987038,-0.6687102499245343,-0.6747906229707464,-0.6718827647573618,-0.6737928387651094,-0.6765866311651594,-0.6745513476936161,-0.6769014510318346
11,0.10427135,-0.655229198247238,-0.6543176049402288,-0.6552689263087957,-0.6549266969392535,-0.6505135180446322,-0.676662548782078,-0.6766573479697195,-0.6794044211622122,-0.6629447819835882,-0.6687876619255865,-0.6660806210793241,-0.6680255984994117,-0.6708973462319967,-0.6688023061517397,-0.6712087949588648
12,0.10879397,-0.6492768693806905,-0.6483755765787849,-0.6493170514779399,-0.6487384908830126,-0.6444792501152936,-0.6704303881318271,-0.6709948369623551,-0.6737659095149233,-0.657166925410726,-0.6627729102579748,-0.6602593804801234,-0.6622364078990994,-0.665183768854482,-0.6630304764855699,-0.6654907550211338
13,0.11331658,-0.6433245536753833,-0.6424335613558058,-0.6433652003052371,-0.6425504633023985,-0.6384436186885818,-0.6641776966288995,-0.6653057498003666,-0.6680974291165314,-0.651376685310209,-0.6567463737755378,-0.6544191797146987,-0.6564254142804417,-0.6594460360893832,-0.6572360060600464,-0.6597474787343781
14,0.11783919,-0.6373722379700761,-0.6364915461328267,-0.6374133599987867,-0.6363626726637297,-0.6324065898398363,-0.6579047522456436,-0.659589751729788,-0.6623986200416322,-0.6455740270040832,-0.6507080166415847,-0.648560119845827,-0.6505927310865448,-0.6536842528932856,-0.6514190089461606,-0.6539790821149788
15,0.12236181,-0.6314199091035286,-0.6305495177713827,-0.6314615177842208,-0.630175177362894,-0.6263681294671826,-0.6516118524452795,-0.6538465407050152,-0.6566691592272468,-0.639758921884667,-0.644657809219256,-0.6426823122752641,-0.6447384836192631,-0.6478985372229137,-0.6455796115027704,-0.6481856947967279
16,0.12688442,-0.6254675933982216,-0.6246075025484037,-0.6255097003861335,-0.6239880767445851,-0.6203282433681119,-0.645299355823764,-0.6480758861072583,-0.650908799159821,-0.6339313861187089,-0.6385957684259939,-0.6367859178358569,-0.6388628479922382,-0.6420890585550091,-0.6397179912373645,-0.6423674986056992
17,0.13140704,-0.619515264531674,-0.6186654741869597,-0.6195578819081149,-0.6178014153138982,-0.6142868837780049,-0.6389675842805143,-0.642277540014159,-0.6451172793591813,-0.628091390579194,-0.6325218641246612,-0.6308710556240856,-0.6329659603010063,-0.6362559481014866,-0.6338342861991199,-0.6365246376440735
18,0.13592964,-0.6135629619876073,-0.6127234721024454,-0.6136061022751278,-0.6116153058341818,-0.6082440695813507,-0.6326169483987897,-0.6364513524642194,-0.6392944414728646,-0.6222389768857617,-0.626436139920511,-0.6249379203441621,-0.6270480335568416,-0.6303994144369486,-0.6279287116359422,-0.6306573340895564
19,0.14045227,-0.6076106199598195,-0.6067814306025368,-0.6076542961535603,-0.6054297514829132,-0.6021997126414205,-0.6262477647767125,-0.630597104552939,-0.6334400625209459,-0.6163740893330178,-0.6203385384675841,-0.6189866118889538,-0.6211091877257833,-0.6245195753278503,-0.6220013903960264,-0.6247657197201832
20,0.14497487,-0.6016583174157526,-0.6008394285180223,-0.6017025429939926,-0.5992449057052265,-0.596153871702098,-0.6198605227522755,-0.6247147538534091,-0.6275541002386826,-0.6104968209637927,-0.6142291574241969,-0.6130173847940907,-0.6151496985755172,-0.6186167040357963,-0.6160526012666634,-0.6188500826789478
21,0.14949748,-0.5957060017104455,-0.5948974132950433,-0.5957507906714627,-0.5930607849744873,-0.5901064717489023,-0.6134555883741807,-0.6188041628859209,-0.6216364215590655,-0.6046071413110314,-0.6081079664753585,-0.607030371893878,-0.6091697219110386,-0.6126909563017725,-0.610082503746602,-0.6129105939090282
22,0.1540201,-0.589753672843898,-0.5889553849335993,-0.5897990397278872,-0.5868774602492178,-0.5840574911235186,-0.6070334011165763,-0.612865280380777,-0.6156869838666421,-0.5987050779173677,-0.6019749961461078,-0.6010257683968085,-0.6031694772436721,-0.6067425521783579,-0.6040913213533304,-0.6069474893402913
23,0.15854271,-0.5838013571385909,-0.5830133697106202,-0.5838473170533445,-0.5806950295790942,-0.5780069348455075,-0.600594445712997,-0.606898116139031,-0.609705809931533,-0.5927906906956737,-0.5958303112063457,-0.59500380588215,-0.5971492218927528,-0.6007717504450256,-0.5980793157922777,-0.6009610442676874
