,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_24,eq_complex_26,eq_complex_27,eq_complex_28,eq_complex_29,eq_complex_33,eq_complex_34,eq_complex_35,eq_complex_37,eq_complex_43,eq_complex_44,eq_complex_46
441,0.845916456252505,-0.1553398040676838,-0.15537738776553184,-0.15533872719084543,-0.1553387249702624,-0.1553804620065391,-0.1553393286641297,-0.15535863500484967,-0.1553539488041878,-0.15535426095993538,-0.15536128529939977,-0.1553622370777053,-0.15536128730473484,-0.15535802844790844,-0.15537119538087407,-0.15536252593693436,-0.1553640807744224,-0.15537482819635115,-0.15536333706399752,-0.1553560227953902,-0.15535921576437747,-0.15535784384564025,-0.15535247253432916,-0.15536238989487117,-0.1553624465839738,-0.15535489455970278,-0.15535503536492534,-0.1553577429388663,-0.15536088983330537,-0.15535778260553934,-0.15535683329954048,-0.1553559323404295,-0.1553558472044266,-0.15535618593138234
442,0.8477110001102204,-0.1553398040676838,-0.1553787950203731,-0.1553398136953418,-0.1553398114627895,-0.15538196826102518,-0.15534214334962668,-0.15536090534548963,-0.1553556659301582,-0.15535600086973125,-0.15536297632034732,-0.15536392158338616,-0.15536296654979959,-0.1553594372999666,-0.15537244936181976,-0.15536375730839894,-0.15536552460127154,-0.15537641228248564,-0.15536510621631697,-0.1553576724508628,-0.15536057987057467,-0.15535924966971434,-0.1553540366157988,-0.1553638890229882,-0.15536394389392136,-0.15535645864117242,-0.155356599446395,-0.15535915070957396,-0.15536211695388072,-0.15535916517602943,-0.15535826385409232,-0.1553574150278868,-0.1553573393800389,-0.15535765163394785
443,0.8495055439679359,-0.1553398040676838,-0.15538018524797867,-0.15534090019734154,-0.1553408979534225,-0.1553834433324288,-0.1553449725475315,-0.1553631726699043,-0.15535737129448013,-0.15535772383613852,-0.15536465979311379,-0.15536559838529476,-0.15536463839483858,-0.15536083872354958,-0.15537369354330108,-0.155364980931128,-0.1553669634918855,-0.155377984401417,-0.15536687597212695,-0.1553593246805377,-0.15536193799919457,-0.15536065037043273,-0.15535560051505787,-0.1553653803139716,-0.15536543340360937,-0.1553580225404315,-0.15535816334565405,-0.15536055327762244,-0.1553633365374563,-0.15536054544616207,-0.15535969569100555,-0.15535889442565068,-0.1553588276353621,-0.15535911422258308
444,0.8513000878256513,-0.1553398040676838,-0.15538155698470446,-0.15534198640361885,-0.15534198414894504,-0.1553848855904082,-0.1553478154822042,-0.15536543613224793,-0.15535906453107212,-0.1553594290612656,-0.15536633538361977,-0.15536726714750715,-0.15536630250654987,-0.15536223246335717,-0.15537492776983802,-0.15536619665942694,-0.15536839728780685,-0.15537954422019895,-0.155368645888171,-0.15536097912802854,-0.15536328995901694,-0.15536204580011181,-0.15535716394178398,-0.1553668635286748,-0.1553669148736615,-0.1553595859671576,-0.15535972677238014,-0.15536195039220058,-0.1553645483457504,-0.15536192320207157,-0.1553611281856341,-0.1553603702498343,-0.15536031170262166,-0.15536057341386464
445,0.8530946316833667,-0.1553398040676838,-0.15538290873743027,-0.1553430720210278,-0.15534306975622034,-0.15538629341104856,-0.15535067137014308,-0.1553676948872283,-0.15536074527644264,-0.1553611157698328,-0.15536800275916518,-0.1553689275355232,-0.1553679585529747,-0.15536361826505496,-0.15537615188649928,-0.15536740434776852,-0.15536982583020162,-0.15538109141319703,-0.1553704155119637,-0.15536263542860093,-0.1553646355606548,-0.15536343581165468,-0.15535872660180927,-0.15536833843209952,-0.15536838806882677,-0.1553611486271829,-0.15536128943240546,-0.15536334180461514,-0.15536575214332754,-0.1553632982298441,-0.1553625606961038,-0.15536184221747026,-0.15536179131478325,-0.15536202892528386
446,0.8548891755410821,-0.1553398040676838,-0.15538423898433254,-0.15534415675658128,-0.15534415448227032,-0.15538766517882552,-0.1553535394202007,-0.15536994809048704,-0.15536241316978905,-0.15536278321042166,-0.15536966158851134,-0.15537057921635036,-0.15536960620357987,-0.15536499587534683,-0.15537736573895444,-0.1553686038508416,-0.15537124895990403,-0.15538262566230887,-0.15537218438189906,-0.1553642932092421,-0.15536597461662846,-0.1553648202585995,-0.1553602881972669,-0.1553698047934409,-0.1553698527580258,-0.15536271022264053,-0.1553628510278631,-0.15536472726846934,-0.1553669476978558,-0.15536467031571918,-0.15536399256772182,-0.1553633100467421,-0.15536326620578217,-0.15536348047547627
447,0.8566837193987976,-0.1553398040676838,-0.15538554617574651,-0.1553452403175303,-0.15534523803435485,-0.15538899928860803,-0.15535641883380283,-0.15537219489898044,-0.15536406785309617,-0.15536443065665487,-0.15537131154196285,-0.15537222185858718,-0.15537124512934042,-0.15536636504204773,-0.1553785691735262,-0.1553697950235998,-0.15537266651746093,-0.15538414665717531,-0.15537395202736554,-0.15536595208873566,-0.1553673069414377,-0.1553661989951674,-0.15536184842673909,-0.15537126238612867,-0.15537130871439372,-0.1553642704521127,-0.15536441125733527,-0.15536610653983718,-0.15536813478035688,-0.1553660392462871,-0.15536542313724921,-0.15536477345721178,-0.15536473611074866,-0.15536492778444672
448,0.858478263256513,-0.1553398040676838,-0.15538682873512247,-0.15534632241144278,-0.15534632012005056,-0.15539029414769798,-0.15535930880517088,-0.15537443447135915,-0.15536570897123436,-0.15536605740830312,-0.15537295229144957,-0.15537385513250676,-0.155372875002822,-0.1553677255141558,-0.1553797620372414,-0.15537097772130912,-0.15537407834317551,-0.15538565409538244,-0.15537571796886693,-0.15536761167774027,-0.15536863235163192,-0.15536757187630948,-0.15536340698540707,-0.1553727109878647,-0.1553727557153189,-0.1553658290107807,-0.15536596981600326,-0.15536747937743398,-0.15536931316544883,-0.1553674048086818,-0.15536685173697518,-0.15536623217004286,-0.15536620076622923,-0.1553663705737906
449,0.8602728071142284,-0.1553398040676838,-0.1553880850600789,-0.15534740274628261,-0.15534740044732978,-0.15539154817790582,-0.15536220852154706,-0.15537666596834804,-0.15536733617205728,-0.15536766279231629,-0.15537458351060834,-0.15537547871014012,-0.15537449549826318,-0.15536907704192432,-0.15538094417788229,-0.15537215179959543,-0.15537548427715078,-0.15538714768265427,-0.15537748171815025,-0.1553692715788738,-0.15536995066587872,-0.1553689387577532,-0.15536496356520305,-0.15537415038065738,-0.15537419354247872,-0.15536738559057667,-0.1553675263957992,-0.15536884554278224,-0.1553704826315809,-0.1553687667907693,-0.15536827769854278,-0.15536768590821917,-0.15536765991040327,-0.1553678085669103
450,0.8620673509719439,-0.1553398040676838,-0.15538931352355684,-0.15534848103048837,-0.15534847872463944,-0.15539275981765904,-0.1553651171634228,-0.15537888855312493,-0.15536894910649898,-0.15536924616377668,-0.15537620487486475,-0.15537709226535945,-0.15537610629165774,-0.1553704193769335,-0.15538211544403646,-0.1553733171144914,-0.15537688415933254,-0.15538862713303597,-0.15537924277834003,-0.15537093138680175,-0.15537126170503035,-0.15537029949604808,-0.15536651785496355,-0.15537558035085233,-0.1553756219818717,-0.15536893988033718,-0.15536908068555974,-0.1553702048003734,-0.15537164296126085,-0.15537012498133196,-0.15536970035648417,-0.1553691343967588,-0.15536911328329564,-0.15536924148922734
