,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_18,eq_complex_19,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_24,eq_complex_25,eq_complex_26,eq_complex_28
474,0.9051364035571142,0.166655976903211,-0.006391129367283976,-0.44840270107390534,-0.44845126289971937,-0.6631695730131761,-0.663750506262745,-0.6558382606508762,-0.6610950585791896,-0.6853198667474796,-0.7620874641072396,-0.6605537659084453,-0.7554329767588304,-0.7996912064123082,-0.8044356417590606,-0.766153441617973,-0.7684834329612374,-0.768463138929242,-0.7684705691256584,-0.7684779988532178,-0.7684300907272568,-0.7684375206946792,-0.762517311847779,-0.7643392246746824
475,0.9069309474148296,0.166655976903211,-0.0071662020197604814,-0.45555821946425723,-0.45560245120221465,-0.6735514932974191,-0.6740645420846633,-0.6668169555705606,-0.6719095333085752,-0.6961601538443721,-0.7737554227521377,-0.6704830870074606,-0.7749630489190258,-0.818030648610679,-0.8223958551684392,-0.7839373106041282,-0.7860209210420286,-0.7860028827630328,-0.7860097547852426,-0.7860166263429623,-0.7859682922629728,-0.7859751640670749,-0.7805506074256665,-0.7824033303912802
476,0.9087254912725451,0.166655976903211,-0.007941274672237014,-0.4620104357043062,-0.4620502465719838,-0.6829897239635038,-0.6834336944052185,-0.6768614910499902,-0.6817819668189113,-0.7060355741549471,-0.7838465156414521,-0.6794333070792511,-0.7929794869407957,-0.8347421898350174,-0.8387124748214276,-0.8001428344898791,-0.8019636846833722,-0.8019480472523343,-0.8019543415431158,-0.8019606353745629,-0.8019135131357494,-0.801919807229961,-0.7970478290622267,-0.7989287377626529
477,0.9105200351302605,0.166655976903211,-0.008716347324713575,-0.4677520564806268,-0.467787360270145,-0.691473664091735,-0.6918474330095971,-0.6859606088682645,-0.6907012681929193,-0.7149346574400209,-0.7923281735176615,-0.6874154991648863,-0.8094192823365242,-0.8497713133400762,-0.8533320968098188,-0.8147171427178366,-0.8162604590410915,-0.8162473527460028,-0.8162530509359145,-0.8162587486724366,-0.8162145721706129,-0.8162202701937634,-0.8119561365888194,-0.8138625163419906
478,0.912314578987976,0.166655976903211,-0.009491419977190163,-0.47277659170697195,-0.47280730692902195,-0.6989937846113402,-0.6992963014953573,-0.6941041104573569,-0.6986574172837324,-0.7228470252403629,-0.7991765060621407,-0.6944403379268693,-0.8242238589563083,-0.8630690402416201,-0.8662069492855056,-0.8276127334049039,-0.8288654977751151,-0.8288550367742298,-0.8288601217702525,-0.828865206319618,-0.8288257855484344,-0.8288308704131419,-0.8252276425182654,-0.8271566968256696
479,0.9141091228456913,0.166655976903211,-0.010266492629666668,-0.47707836186039043,-0.47710441188335395,-0.7055416390034173,-0.7057719279007041,-0.7012828683329774,-0.7056414759717548,-0.7297634029584803,-0.8043768567004961,-0.7005178587673893,-0.8373395224263025,-0.8745922976335005,-0.8772952525762083,-0.8387878303779788,-0.8397389134844153,-0.8397311946381383,-0.8397356507062679,-0.8397401063352543,-0.839707305740548,-0.8397117617155929,-0.8368197557361028,-0.8387686153317109
480,0.9159036667034068,0.166655976903211,-0.011041565282143201,-0.4806525044011225,-0.4806738175850712,-0.7111098727879759,-0.7112670341139412,-0.7074888363249363,-0.7116455982059506,-0.7356756307060998,-0.807924273006679,-0.705657240183399,-0.8487178823251069,-0.8843042431270114,-0.8865615346364315,-0.8482066979694713,-0.84884697377078,-0.8488420756469017,-0.8488458884878956,-0.8488497008980354,-0.8488254164007212,-0.8488292291866102,-0.8466954886515916,-0.8486612210755566
481,0.9176982105611222,0.166655976903211,-0.011816637934619761,-0.4834949792690082,-0.48351148909437924,-0.7156922317844095,-0.7157754440535116,-0.7127150585955355,-0.7166630388182765,-0.7405766729046719,-0.8098238670855049,-0.709866611158374,-0.8583162412693117,-0.8921745412088569,-0.8939768973460862,-0.8558399091071021,-0.856162348749498,-0.8561603308178105,-0.8561634876353603,-0.856166644031108,-0.8561527790629702,-0.8561559358599691,-0.8548237236774727,-0.8568033433051123
482,0.9194927544188376,0.166655976903211,-0.012591710587096266,-0.48560257345020186,-0.48561421864095144,-0.7192835691361252,-0.7192920906094461,-0.7169556774358831,-0.7206881611013574,-0.7444606266276471,-0.8100910364669587,-0.7131528851359413,-0.8660979453783875,-0.8981795874763641,-0.8995192298522907,-0.8616645628743487,-0.8616643065123084,-0.8616652085415515,-0.8616676981022302,-0.8616701872509085,-0.8616686281733894,-0.8616711177413725,-0.861179435428927,-0.8631699138793381
483,0.9212872982765531,0.166655976903211,-0.013366783239572855,-0.4869729046090283,-0.48697962925006666,-0.7218798510914375,-0.7218130213384083,-0.7202059398313919,-0.7237164431408931,-0.7473227286746504,-0.8087515144345122,-0.7155216218716468,-0.8720326910093925,-0.9023026775616814,-0.9031733659207699,-0.8656644484478666,-0.8653388538154503,-0.8653426954821759,-0.8653445081666027,-0.8653463204495639,-0.8653589117432765,-0.8653607244528443,-0.8657438656325569,-0.8677421424760623
484,0.9230818421342685,0.166655976903211,-0.01414185589204936,-0.48760442378087343,-0.4876061774295968,-0.7234781615342337,-0.7233354029059409,-0.7224622027891029,-0.7257444828956781,-0.7491593613691186,-0.8058412201341059,-0.7169769182164527,-0.8760967831879745,-0.9045341183835827,-0.9049311831045128,-0.8678301531198127,-0.8671788200956552,-0.8671856008109695,-0.8671867286557338,-0.8671878561102806,-0.8672163757319236,-0.8672175036063277,-0.8685046484027796,-0.8705076420824136
485,0.924876385991984,0.166655976903211,-0.014916928544525948,-0.48749641712306957,-0.4874931549148074,-0.7240767052593273,-0.7238575242709184,-0.7237219374208621,-0.7267700020195348,-0.7499680570723911,-0.8014058837812539,-0.7175213286488794,-0.8782733418047042,-0.9048712802466587,-0.9047916424287976,-0.8681591129672208,-0.867183883789383,-0.8671935827457713,-0.8671940194757652,-0.8671944558274813,-0.8672405911307612,-0.8672410278782863,-0.8694558842610867,-0.8714605031405414
