,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_12,eq_complex_15,eq_complex_16,eq_complex_20,eq_complex_21
269,0.5372549127254509,0.08101052179010551,0.08100970858709976,0.08107252523533665,0.08189787104020843,0.08219008704452753,0.0826157711395954,0.08281142377527942,0.08250799049305368,0.08245359801525283,0.08245359549706938,0.08245359749220621,0.08245341936811948,0.08245342036789612
270,0.5390494565831664,0.08410661459115044,0.08410575680440835,0.08416539538776928,0.0849931582447705,0.08529048596324418,0.08570624499357202,0.08590103559086534,0.08560363246550132,0.08554968596913243,0.08554968345095744,0.08554968524865228,0.08554946575214387,0.08554946713058692
271,0.5408440004408818,0.08720270739219518,0.08720180502171676,0.08725858398527381,0.08808840272358989,0.08839084009322656,0.0887964259860674,0.08899031212754743,0.08869898585462052,0.08864577248562877,0.08864576996746473,0.0886457715091683,0.08864550401243154,0.0886455058824491
272,0.5426385442985971,0.09029880019323994,0.09029785323902517,0.09035204604952654,0.09118360451755056,0.09149114780391468,0.0918863151994199,0.09207925501551051,0.09179405080294961,0.09174185724225545,0.09174185472410548,0.09174185593813272,0.09174153320206757,0.09174153570214488
273,0.5444330881563126,0.09339489299428486,0.09339390145633375,0.09344574469186581,0.09427876366959348,0.09459140743415373,0.094975913769387,0.09516786596340673,0.09488882750863004,0.09483793986506203,0.0948379373469298,0.09483793814636399,0.09483755230908644,0.0948375556074463
274,0.546227632014028,0.09649098579532958,0.09648994967364216,0.09653964937282328,0.09737388022471424,0.09769161729185208,0.09806522288493671,0.0982561467577561,0.09798331622536796,0.0979340199234284,0.0979340174053184,0.0979340176857029,0.09793356025385294,0.09793356455305646
275,0.5480221758717435,0.09958707859637453,0.09958599789095077,0.09963373459246777,0.10046895422996202,0.10079177565364428,0.10115424378803153,0.1013440992623228,0.10107751726238653,0.10103009692461087,0.10103009440652846,0.10103009404333665,0.10102955588629822,0.10102956142831107
276,0.5498167197294589,0.10268317139741925,0.10268204610825918,0.10272797889207658,0.10356398573443593,0.10389188076455519,0.10424297777339919,0.10443172541746237,0.10417143098436471,0.10412617030803561,0.10412616778998707,0.10412616663586008,0.10412553798300389,0.10412554505475294
277,0.5516112635871744,0.1057792641984642,0.10577809432556776,0.10582236408408663,0.10665897478928402,0.10699193083767167,0.1073314261882973,0.10751902723944717,0.10726505781136866,0.10722223943934517,0.10722223692133795,0.10722223480307994,0.10722150524413737,0.10722151418358364
278,0.5534058074448898,0.10887535699950895,0.10887414254287617,0.10891687465165772,0.10975392144769944,0.11009192405381557,0.11041959043226518,0.11060600681976296,0.11035839821876905,0.11031830360419334,0.11031830108623608,0.11031829780155727,0.11031745629022915,0.11031746749298305
279,0.5552003513026051,0.11197144980055368,0.11197019076018458,0.11201149727581056,0.11284882576491911,0.11319185856122513,0.11350747195686897,0.11369266632438418,0.11345145273715085,0.1134143620017937,0.11341435948389647,0.11341435479789366,0.11341338965879585,0.11341340358530122
280,0.5569948951603206,0.1150675426015986,0.11506623897749316,0.11510622045959365,0.11594368779822062,0.11629173247523994,0.11659507226543517,0.11677900799302285,0.11654422195221051,0.11651041373821863,0.11651041122039307,0.1165104048617579,0.11650930380080088,0.11650932098411479
281,0.558789439018036,0.11816363540264335,0.1181622871948016,0.11820103422682077,0.1190385076069187,0.11939154387799214,0.1196823929127751,0.11986503413835364,0.11963670650464237,0.11960645781945109,0.11960645530171055,0.11960644695865533,0.1196051970769518,0.11960521813114744
282,0.5605839828757515,0.12125972820368827,0.12125833541211017,0.1212959298786708,0.12213328525236378,0.12249129081810589,0.12276943550490124,0.12295074714521759,0.12272890709001658,0.12270249314419168,0.12270249062655145,0.12270247994244296,0.12270106775383377,0.12270109338305399
283,0.5623785267334669,0.12435582100473302,0.12435438362941859,0.12439089979558354,0.12522802079793766,0.12559097131040167,0.12585620169873205,0.12603614946979985,0.1258208244586435,0.12579851849641813,0.12579851597889558,0.12579850254758707,0.1257969139998713,0.1257969450080607
284,0.5641730705911824,0.12745191380577797,0.1274504318467272,0.12748593727491672,0.12832271430905173,0.12869058333561081,0.12894269320178975,0.12912124363878819,0.12891245941543053,0.1288945325377035,0.12889453002031837,0.12889451338116997,0.1288927338811212,0.12889277118246556
285,0.5659676144488978,0.1305480066068227,0.1305464800640356,0.13058103639704852,0.13141736585314243,0.1317901248400955,0.13202891177188653,0.13220603224850636,0.13200381281972545,0.13199053379928935,0.13199053128206398,0.1319905109146422,0.13198852535688818,0.13198856998698905
286,0.5677621583066133,0.13364409940786762,0.13364252828134418,0.13367619191428043,0.13451197549966956,0.13488959373558065,0.13511485921680402,0.13529051796402913,0.1350948855851522,0.1350865206739214,0.13508651815688086,0.13508649347532775,0.13508428627516633,0.13508433940298045
287,0.5695567021643286,0.13674019220891237,0.1367385764986526,0.136771399158131,0.13760654332011132,0.13798898789889233,0.13820053739396096,0.1383747035182732,0.13818567867943343,0.1381824914074435,0.138182488890616,0.13818245923767872,0.1381800143678979,0.13818007730846965
288,0.571351246022044,0.13983628500995712,0.139834624715961,0.13986665396156867,0.14070106938796217,0.14108830517170878,0.1412859482100743,0.1414585917110704,0.14127619312420506,0.14127844409015877,0.14127844157357575,0.14127840621428792,0.1412757072460525,0.1412757814740692
289,0.5731457898797595,0.14293237781100204,0.14293067293326958,0.14296195259344496,0.14379555377872888,0.14418754336032094,0.14437109362080974,0.14454218540821948,0.14436642999481894,0.14437437664795572,0.14437437413165233,0.1443743322466578,0.14437136239452025,0.14437144955871886
290,0.5749403337374749,0.14602847061204677,0.146026721150578,0.14605729170295312,0.14688999656992613,0.1472867002354035,0.14745597563042293,0.14762548754051788,0.14745639042013492,0.1474702868332045,0.14747028431721976,0.14747023499573106,0.1474669771668177,0.14746707910527268
291,0.5767348775951904,0.14912456341309172,0.1491227693678866,0.14915266827237011,0.14998439784107434,0.15038577353180094,0.150540596291394,0.15070850110277687,0.15054607558230443,0.15056617221542898,0.1505661696998062,0.150566111932189,0.15056254877960717,0.15056266753592834
292,0.5785294214529058,0.15222065621413644,0.15221881758519498,0.15224807957667152,0.15307875767369394,0.153484760948323,0.15362495770405016,0.1537912291528156,0.15363548671654143,0.1536620301717544,0.1536620276565414,0.15366196032651736,0.15365807430702305,0.15365821214749206
