,x,eq_complex_3,eq_complex_13,eq_complex_24
0,0.054522615,-0.1553282645325063,-0.15532145222205665,-0.1553580944806167
1,0.059045225,-0.15532806300548188,-0.15532266620186966,-0.15535847456690477
2,0.06356784,-0.15532785803685617,-0.1553239424307731,-0.15535885292586493
3,0.068090454,-0.1553276495723587,-0.15532527810944924,-0.15535922924367213
4,0.07261306,-0.15532743755715447,-0.15532667032650577,-0.15535960320925357
5,0.07713568,-0.15532722193441273,-0.155328116073962,-0.1553599745170942
6,0.08165829,-0.15532700264886443,-0.15532961222961333,-0.15536034286140524
7,0.0861809,-0.1553267796430209,-0.1553311555884261,-0.15536070794305623
8,0.09070352,-0.15532655285876293,-0.15533274285857893,-0.15536106946709352
9,0.09522613,-0.1553263222388933,-0.15533437065702152,-0.15536142714071885
10,0.099748746,-0.15532608772382728,-0.1553360355395099,-0.15536178067889528
11,0.10427135,-0.1553258492551723,-0.15533773398239847,-0.1553621297991504
12,0.10879397,-0.15532560677156845,-0.155339462419329,-0.15536247422813493
13,0.11331658,-0.15532536021399634,-0.15534121721075822,-0.15536281369425903
14,0.11783919,-0.15532510952101047,-0.15534299468539225,-0.15536314793492387
15,0.12236181,-0.1553248546306408,-0.15534479113416835,-0.15536347669404504
16,0.12688442,-0.15532459548214747,-0.1553466028056751,-0.15536379972024622
17,0.13140704,-0.15532433201207635,-0.15534842594169737,-0.15536411677223355
18,0.13592964,-0.15532406415946784,-0.15535025674889835,-0.1553644276127179
19,0.14045227,-0.15532379185823883,-0.15535209145911488,-0.15536473201773118
20,0.14497487,-0.15532351504854142,-0.15535392626029515,-0.15536502976398217
21,0.14949748,-0.1553232336641771,-0.15535575738956375,-0.15536532064332603
22,0.1540201,-0.1553229476410521,-0.15535758108435221,-0.15536560445362207
23,0.15854271,-0.15532265691612432,-0.15535939359861442,-0.15536588100054277
24,0.16306531,-0.15532236142491732,-0.15536119122701658,-0.1553661501003782
25,0.16758794,-0.15532206110012228,-0.15536297032046786,-0.1553664115813013
26,0.17211054,-0.155321755880954,-0.15536472723904013,-0.15536666527557555
27,0.17663316,-0.15532144569923076,-0.15536645844239116,-0.15536691103193748
28,0.18115577,-0.1553211304921727,-0.15536816042355628,-0.15536714870509594
29,0.1856784,-0.15532081019291386,-0.15536982977062813,-0.15536737816370863
30,0.190201,-0.15532048474038154,-0.15537146312234562,-0.1553675992834043
31,0.1947236,-0.15532015406803407,-0.15537305723492453,-0.15536781195518748
32,0.19924621,-0.15531981811095832,-0.1553746089523953,-0.15536801608056022
33,0.20376883,-0.1553194768053023,-0.15537611521832595,-0.15536821157242264
34,0.20829144,-0.15531913008919002,-0.1553775730806628,-0.15536839835506103
35,0.21281406,-0.15531877789822318,-0.15537897971862888,-0.1553685763669465
36,0.21733667,-0.15531842017170958,-0.15538033242428226,-0.15536874555773775
37,0.22185928,-0.1553180568473429,-0.15538162863177377,-0.15536890589139674
38,0.2263819,-0.15531768786359018,-0.15538286591454234,-0.15536905734523815
39,0.2309045,-0.15531731316314368,-0.15538404198210434,-0.15536919990903297
40,0.23542711,-0.15531693268481994,-0.15538515471358294,-0.1553693335885915
41,0.23994973,-0.15531654637104883,-0.15538620213997395,-0.1553694584031189
42,0.24447234,-0.15531615416732816,-0.1553871824549541,-0.15536957438610302
43,0.24899496,-0.1553157560171781,-0.15538809403450693,-0.15536968158722622
44,0.25351757,-0.1553153518692317,-0.15538893542592663,-0.15536978007067265
45,0.2580402,-0.1553149416694397,-0.1553897053717545,-0.1553698699175787
46,0.26256278,-0.15531452537481386,-0.15539040278995866,-0.15536995122337083
47,0.26708543,-0.15531410292700085,-0.1553910268256542,-0.15537002410347187
48,0.27160805,-0.15531367429031573,-0.1553915767949757,-0.155370088686436
49,0.27613065,-0.15531323942149455,-0.15539205224087627,-0.15537014512013617
50,0.28065327,-0.1553127982770111,-0.15539245292338102,-0.15537019357033155
51,0.2851759,-0.15531235082106262,-0.15539277881765512,-0.15537023422009952
52,0.28969848,-0.155311897026157,-0.1553930301237705,-0.15537026727058073
53,0.2942211,-0.15531143685322693,-0.15539320728262956,-0.1553702929426349
54,0.29874372,-0.15531097027992016,-0.1553933109652666,-0.15537031147495659
55,0.30326632,-0.1553104972860049,-0.15539334208898478,-0.1553703231255626
56,0.30778894,-0.1553100178492553,-0.15539330182093833,-0.1553703281717682
57,0.31231153,-0.15530953196155697,-0.15539319158439088,-0.15537032690995364
58,0.31683415,-0.15530903960796114,-0.1553930130626015,-0.15537031965566808
59,0.32135677,-0.15530854078844536,-0.15539276820974654,-0.155370306743439
60,0.3258794,-0.15530803550430278,-0.15539245925504788,-0.15537028852640614
61,0.330402,-0.1553075237684862,-0.15539208871598437,-0.15537026537609036
62,0.3349246,-0.1553070055925313,-0.15539165939837668,-0.15537023768113198
63,0.33944723,-0.15530648099465036,-0.15539117441006692,-0.15537020584649897
64,0.34396985,-0.15530595000844527,-0.1553906371816627,-0.1553701702928142
65,0.34849244,-0.15530541267311032,-0.155390051472224,-0.15537013145418327
66,0.35301507,-0.15530486902531607,-0.15538942137463924,-0.1553700897753736
67,0.3575377,-0.15530431912355588,-0.15538875136258343,-0.15537004571101426
68,0.3620603,-0.15530376303460697,-0.1553880463015779,-0.1553699997214823
69,0.3665829,-0.15530320082777307,-0.15538731147225035,-0.15536995226847095
70,0.37110552,-0.15530263258391494,-0.15538655262203355,-0.15536990381099025
71,0.37562814,-0.15530205839997008,-0.15538577602540635,-0.15536985480006882
72,0.38015077,-0.155301478380841,-0.15538498854485938,-0.15536980567116507
