,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_16,eq_complex_17,eq_complex_19
0,0.054522615,-0.6058058147334379,-0.6021378412191837,-0.6021410923732338,-0.6670826462127984,-0.597723172166061,-0.6863132572892741,-0.6793768058835881,-0.67286858486378,-0.6727330002664501,-0.6575044325376547,-0.6288633113915797,-0.6340481583321681,-0.6348094822723439,-0.6360036295776906,-0.6354909664311785
1,0.059045225,-0.5987782047296266,-0.5951470952464084,-0.5951503260203894,-0.6588038344662445,-0.5905544110932529,-0.6774045720071109,-0.6709510372930966,-0.6649333115092189,-0.664797726911889,-0.6501977100958413,-0.6223723448207223,-0.6278333379608027,-0.6285793051345461,-0.6297490124974573,-0.6293381327031106
2,0.06356784,-0.5917505869563969,-0.5881563415449699,-0.5881595519388595,-0.6505384449125261,-0.583383231727175,-0.6684908108074069,-0.6624998859557231,-0.6569641014541084,-0.6568285168567786,-0.6428781566833158,-0.6158393032861694,-0.6215730329234634,-0.6223034069541673,-0.6234483129780813,-0.6231391463865772
3,0.068090454,-0.5847229707370508,-0.581165589389264,-0.5811687794030665,-0.6422864717613718,-0.576209605379684,-0.6595725628410154,-0.6540240626485345,-0.6489615867418997,-0.6488260021445699,-0.6355453308297262,-0.6092643145607755,-0.6152664635168403,-0.6159810213387286,-0.6171007858325271,-0.616893180471945
4,0.07261306,-0.5776953669487745,-0.5741748495994196,-0.574178019233171,-0.6340479109902508,-0.5690335045210717,-0.6506504206289803,-0.6455243194097628,-0.6409264233566643,-0.6407908387593344,-0.6281987843162381,-0.6026475315307311,-0.6089128840723712,-0.6096114163807336,-0.6107057210609156,-0.6105994435225014
5,0.07713568,-0.5706677414061263,-0.5671840881693178,-0.5671872374229553,-0.6258227058136907,-0.5618548551612337,-0.6417249206655858,-0.6370013917302693,-0.6328592372077396,-0.6327236526104099,-0.6208380137849577,-0.5959890878043951,-0.6025115423330851,-0.6031938539138866,-0.6042624029148705,-0.6042571393803672
6,0.08165829,-0.5636401314023151,-0.5601933421965425,-0.560196471070111,-0.6176108831804887,-0.5546736558825254,-0.6327966912325181,-0.6284561384184615,-0.6247607572428815,-0.6246251726455516,-0.6134625832166116,-0.5892892076923868,-0.596061787160142,-0.5967276974739658,-0.5977702182619782,-0.5978655738226795
7,0.0861809,-0.5566125213985038,-0.5532025962237673,-0.5532057047172667,-0.6094124081904443,-0.5474898508805828,-0.6238662943601336,-0.6198893895912901,-0.6166316725069607,-0.616496087909631,-0.6060719943914766,-0.5825480885528236,-0.5895629574718496,-0.590212300938062,-0.591228544748602,-0.5914240444812733
8,0.09070352,-0.5495848958558556,-0.5462118347936655,-0.546214922907051,-0.6012272460800762,-0.5403033839094229,-0.6149342927230558,-0.611302009015491,-0.6084726919755052,-0.6083371073781754,-0.5986657426821225,-0.575765950221876,-0.5830144316253656,-0.5836470580113835,-0.5846368004534181,-0.5849318896985016
9,0.09522613,-0.5425572858520443,-0.5392210888208904,-0.5392241565542066,-0.5930554163846178,-0.533114245985378,-0.6060013087323164,-0.6026949497143119,-0.6002845985004124,-0.6001490139030825,-0.5912433670157825,-0.568943080241518,-0.576415673106261,-0.5770314480136326,-0.5779944898267979,-0.5783885337770167
10,0.099748746,-0.535529666524931,-0.5322303335737192,-0.5322333809269395,-0.5848968735335576,-0.5259223705126616,-0.5970678940056168,-0.5940691269356594,-0.592068129153265,-0.5919325445559351,-0.5838043424821119,-0.562079734569698,-0.5697661365124063,-0.5703649416019815,-0.5713011089998928,-0.5717933937064371
11,0.10427135,-0.528502065844422,-0.52523959687534,-0.5252426238485184,-0.5767516333473834,-0.5187277445626294,-0.5881346674436575,-0.5854255496175597,-0.5838241014119904,-0.5836885168146606,-0.5763481960062296,-0.5551762429442281,-0.5630653713029554,-0.5636471047632906,-0.5645562501619548,-0.5651459819760837
12,0.10879397,-0.5214744403017737,-0.5182488354452381,-0.5182518420383024,-0.5686196288100073,-0.511530281649583,-0.5792021570372584,-0.5767651659137653,-0.5755532671287648,-0.5754176825314349,-0.5688743755059275,-0.5482328870144304,-0.5563129054422263,-0.5568774821393396,-0.5577594843807144,-0.5584457910947745
13,0.11331658,-0.5144468302979626,-0.511258089472463,-0.5112610756854582,-0.5605008901108262,-0.504329980836844,-0.5702709972071072,-0.5680890525360589,-0.5672564944001793,-0.5671209098028495,-0.561382415763083,-0.5412500529499505,-0.5495083953496516,-0.5500557473358552,-0.5509105124794138,-0.5516924422867496
14,0.11783919,-0.5074192202941514,-0.5042673434996878,-0.5042703093326141,-0.5523953826860976,-0.4971267835486576,-0.5613417508605174,-0.5593982406764797,-0.5589346027017346,-0.5587990181044048,-0.5538717908618954,-0.5342280934442577,-0.5426514935422563,-0.5431815702049922,-0.5440090317493069,-0.5448855541062607
15,0.12236181,-0.5003915947515031,-0.497276582069586,-0.4972795275223981,-0.5443030721076318,-0.48992063084195325,-0.5524149803360239,-0.5506937828131276,-0.5505884278670854,-0.5504528432697556,-0.5463419745149886,-0.5271673822855282,-0.5357419032040114,-0.5362546715304805,-0.5370547908178782,-0.5380247964992187
16,0.12688442,-0.49336398474769194,-0.49028583609681087,-0.490288761169554,-0.5362239776300328,-0.4827115112516892,-0.5434913064203306,-0.5419768086029687,-0.5422188771368963,-0.5420832925395666,-0.5387924913169271,-0.5200683613429236,-0.5287794259238477,-0.5292748708601908,-0.5300476376303223,-0.5311099381521147
17,0.13140704,-0.4863363592050436,-0.48329507466670907,-0.48329797935933805,-0.5281580470128295,-0.47549934925647586,-0.5345712700214507,-0.5332483880595221,-0.5338267992757152,-0.5336912146783854,-0.531222801275767,-0.5129314308228944,-0.5217638557792086,-0.5222419803003052,-0.522987412786348,-0.5241407412501027
18,0.13592964,-0.47930876474006956,-0.47630434415126044,-0.47630722846386564,-0.5201053172219186,-0.46828414877622415,-0.5256555095437396,-0.524509703010588,-0.5254131506530976,-0.5252775660557677,-0.5236324514175814,-0.5057570904854373,-0.514695119441247,-0.5151559449429166,-0.5158740904764529,-0.5171171005699626
19,0.14045227,-0.4722811236585841,-0.4693135672638321,-0.4693164311962782,-0.5120656827972961,-0.4610657858316448,-0.5167445043878562,-0.5157617939704724,-0.5169787530781985,-0.5168431684808688,-0.5160208591663236,-0.4985457336161444,-0.5075730748218743,-0.5080166409931389,-0.508707575788423,-0.5100388433696794
