,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_10,eq_complex_13
0,0.054522615,-0.9886523824025881,-0.9883227900303038,-0.9883251005173193,-0.9886380200750093,-1.0053416328512992,-1.0076002767295165,-1.0068469739831691,-1.0073699367796005,-0.9989943127078951
1,0.059045225,-0.979093647588213,-0.9787673676998914,-0.978769654965947,-0.9790791394502993,-0.9954476879311751,-0.9976625938473933,-0.997352255883798,-0.9978829359565582,-0.9902458048974327
2,0.06356784,-0.9695349022061186,-0.9692119348054216,-0.9692141988504916,-0.9695202452667244,-0.9855571616460925,-0.9877287277406654,-0.9878378733036144,-0.9883729214537411,-0.9814675165669802
3,0.068090454,-0.9599761589375677,-0.9596565040237632,-0.9596587448478531,-0.9599613501127575,-0.9756700662253202,-0.9777986915933343,-0.978303791085833,-0.978839846197435,-0.9726571662929853
4,0.07261306,-0.9504174325773684,-0.9501010901445968,-0.9501033077477476,-0.9504024686865722,-0.9657864160651521,-0.9678725007634603,-0.9687499975002523,-0.969283693587027,-0.963812567307976
5,0.07713568,-0.9408586766275544,-0.9405456466860695,-0.9405478410682093,-0.9408435543884619,-0.9559061621975762,-0.9579501069731811,-0.9591764407238823,-0.9597044139401445,-0.9549315769782167
6,0.08165829,-0.9312999418131793,-0.9309902243556569,-0.9309923955168371,-0.9312846578390175,-0.9460293561621924,-0.9480315628823306,-0.9495831874660565,-0.9501020831866374,-0.9460122518660483
7,0.0861809,-0.9217412069988042,-0.9214348020252445,-0.9214369499654651,-0.921725757792601,-0.9361559752130368,-0.9381168465471954,-0.9399702537368049,-0.940476733544398,-0.9370526984989891
8,0.09070352,-0.9121824510489902,-0.9118793585667173,-0.9118814832859268,-0.9121668329987411,-0.9262859966346475,-0.9282059360579169,-0.9303376765566786,-0.9308284252091981,-0.9280511468334862
9,0.09522613,-0.9026237162346151,-0.9023239362363049,-0.9023260377345548,-0.9026079256093402,-0.9164194631787406,-0.9182988752426764,-0.9206855779857099,-0.921157310484152,-0.9190060170012513
10,0.099748746,-0.8930649687389769,-0.8927685012290234,-0.892770579506283,-0.8930490016820167,-0.9065563390399012,-0.9083956290473922,-0.9110140244018545,-0.9114634927689966,-0.9099157938961002
11,0.10427135,-0.8835062466058654,-0.8832130915754801,-0.8832151466318106,-0.8834900991305448,-0.896696662571492,-0.8984962368793417,-0.9013231757630848,-0.9017471760521605,-0.9007791726581154
12,0.10879397,-0.8739474906560512,-0.8736576481169527,-0.8736596799522722,-0.87393115863787,-0.8868403718407465,-0.8886006374552426,-0.891613114270962,-0.8920084930880061,-0.89159490246792
13,0.11331658,-0.8643887558416761,-0.8641022257865403,-0.8641042344009002,-0.8643722350141627,-0.8769875226224844,-0.8787088876713274,-0.8818840585776531,-0.8822477200976055,-0.8823619930692246
14,0.11783919,-0.8548300210273012,-0.8545468034561279,-0.854548788849528,-0.8548133069738664,-0.8671380922251921,-0.8688209656431276,-0.8721361705713009,-0.8724650829214764,-0.8730795361139463
15,0.12236181,-0.845271265077487,-0.8449913599976004,-0.8449933221699897,-0.8452543532242967,-0.8572920579878023,-0.8589368495200296,-0.8623696322450907,-0.8626608339745543,-0.8637467806534116
16,0.12688442,-0.8357125302631121,-0.8354359376671883,-0.8354378766186177,-0.8356954158728933,-0.8474494625576032,-0.8490565830117243,-0.852584710450011,-0.8528353171628256,-0.854363197830303
17,0.13140704,-0.8261537743132978,-0.8258804942086608,-0.8258824099390794,-0.8261364524756012,-0.8376102615146299,-0.8391801224254478,-0.8427816053885391,-0.8429888156502756,-0.8449283377514709
18,0.13592964,-0.8165950606343619,-0.8163250930063632,-0.8163269855158735,-0.8165775262593951,-0.8277745192205752,-0.8293075332622599,-0.8329606451694411,-0.8331217470980112,-0.8354420174194916
19,0.14045227,-0.8070362835491087,-0.8067696284197212,-0.806771497708169,-0.8070185313549953,-0.8179421260534803,-0.8194387063875823,-0.8231220034471887,-0.8232343798643997,-0.8259040488904412
20,0.14497487,-0.7974775698701728,-0.7972142272174236,-0.7972160732849631,-0.7974595943786646,-0.8081132115627772,-0.8095737727273615,-0.8132661119978095,-0.8133272474020379,-0.8163146381831077
21,0.14949748,-0.787918835055798,-0.7876588048870112,-0.7876606277335911,-0.7879006305772933,-0.7982876879013294,-0.799712645006097,-0.8033932036550155,-0.8034006887783927,-0.8066739415208415
22,0.1540201,-0.7783600791059837,-0.7781033614284838,-0.7781051610540528,-0.7783416397306187,-0.7884655541990238,-0.7898553232491792,-0.7935036164902292,-0.7934551541817498,-0.7969823586315627
23,0.15854271,-0.7688013442916088,-0.7685479390980716,-0.7685497155026806,-0.7687826638788193,-0.778646852998911,-0.7800018510478093,-0.7835977503509057,-0.783491161114543,-0.7872404893092821
24,0.16306531,-0.7592426306126727,-0.7589925378957738,-0.7589942910794747,-0.7592237027779203,-0.7688315833860375,-0.7701522283765956,-0.7736759790033982,-0.7735092058430177,-0.7774490445404454
25,0.16758794,-0.7496838535274197,-0.7494370733091318,-0.7494388032717703,-0.7496646716268156,-0.7590196576800359,-0.7603063681462376,-0.7637386053955146,-0.7635097181289754,-0.767608798006169
26,0.17211054,-0.7401251398484836,-0.739881672106834,-0.7398833788485641,-0.7401056969703996,-0.7492112051600508,-0.7504644009779913,-0.7537861688896168,-0.7534933701773998,-0.7577208864372784
27,0.17663316,-0.7305663838986696,-0.7303262286483068,-0.730327912169026,-0.730546672842546,-0.7394061164848631,-0.7406262180504324,-0.7438189833198994,-0.7434606115788065,-0.7477863475050313
28,0.18115577,-0.7210076490842945,-0.7207708063178946,-0.720772466617654,-0.7209876623492542,-0.7296044558145929,-0.730791884636103,-0.7338375543949374,-0.7334120891358125,-0.7378065289407043
29,0.1856784,-0.7114488719990413,-0.7112153417312523,-0.7112169788099494,-0.7114286017631397,-0.7198061572515102,-0.7209613355132425,-0.7238422708581194,-0.7233483357781978,-0.7277827755650257
30,0.190201,-0.7018901583201054,-0.7016599405289548,-0.7016615543867435,-0.7018695964269757,-0.7100113282184641,-0.711134679350931,-0.7138337131207451,-0.71327008104039,-0.7177167322128928
31,0.1947236,-0.6923314446411695,-0.6921045393266572,-0.6921061299635376,-0.6923105825752967,-0.7002199028181515,-0.7013118509274074,-0.703812299145804,-0.7031778942715763,-0.7076099822211503
32,0.19924621,-0.6827727098267946,-0.6825491169962448,-0.6825506844121656,-0.6827515386935046,-0.6904318585212006,-0.6914928285359399,-0.6937785047923186,-0.6930724062251548,-0.6974642613341102
33,0.20376883,-0.6732139538769804,-0.6729936735377173,-0.6729952177326273,-0.6731924643803051,-0.680647194459717,-0.6816776122019188,-0.6837328413441355,-0.6829542861885998,-0.6872814284297588
34,0.20829144,-0.6636552190626053,-0.6634382512073049,-0.663439772181255,-0.6636334014822467,-0.6708659530133356,-0.6718662453303457,-0.673675877342655,-0.6728242637185717,-0.6770634806246218
35,0.21281406,-0.6540964631127912,-0.6538828077487777,-0.653884305501717,-0.6540743072748598,-0.661088090037151,-0.6620586845331462,-0.6636081046206974,-0.6626829934312484,-0.6668124095638746
36,0.21733667,-0.6445377282984162,-0.6443273854183653,-0.6443288599503447,-0.6445152235498977,-0.6513136478811368,-0.6522549731814675,-0.6535301156163149,-0.6525312333278015,-0.6565303737102282
